35.227.229.34,api.bounceexchange.com
35.190.62.200,events.bouncex.net
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
128.116.112.44,users.roblox.com
192.229.163.146,cfg.gog.com
23.66.96.204,api1.origin.com
52.179.129.229,arc.msn.com
104.196.12.179,eg.poly.edu
20.36.218.63,settings-win.data.microsoft.com
115.223.15.228,s1.hdslb.com
172.217.9.229,mail.google.com
17.248.135.207,gateway.icloud.com
20.36.218.63,settings-win.data.microsoft.com
3.208.37.93,msmetrics.ws.sonos.com
211.234.127.21,logs.81plug.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
23.66.96.204,api1.origin.com
23.66.96.204,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
209.85.201.189,16.client-channel.google.com
75.2.53.94,capi.grammarly.com
151.139.237.32,embed-prod.vemba.io
23.10.93.204,cdn.cnn.com
52.114.132.22,v10.events.data.microsoft.com
52.202.64.48,gnar.grammarly.com
205.234.175.175,delivery.adrecover.com
192.184.68.147,secure.quantserve.com
104.104.0.241,c.aaxads.com
52.6.252.13,river.data.ea.com
172.217.7.3,update.googleapis.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
159.153.190.222,proxy.novafusion.ea.com
13.107.3.128,config.edge.skype.com
172.104.213.60,bucket.rtk.io
52.45.35.189,datarouter.ol.epicgames.com
104.17.209.9,api.golinkapi.com
172.217.3.106,wirelessdevicestats.googleapis.com
172.217.3.106,wirelessdevicestats.googleapis.com
52.37.144.240,ece4.playfabapi.com
52.109.120.18,nexusrules.officeapps.live.com
172.217.9.229,mail.google.com
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
52.6.252.13,river.data.ea.com
172.217.10.10,signaler-pa.clients6.google.com
31.13.65.174,www.instagram.com
172.217.12.138,safebrowsing.googleapis.com
52.114.77.34,browser.pipe.aria.microsoft.com
23.66.96.204,api1.origin.com
52.218.218.208,s3-us-west-2.amazonaws.com
128.116.112.44,users.roblox.com
52.218.225.155,ubp-common-us-prod.s3.amazonaws.com
104.18.59.155,njtzzrvg0lwj3bsn.info
74.120.184.204,slot1-images.wikia.nocookie.net
151.101.0.194,haikyuu.fandom.com
172.217.11.46,clients4.google.com
61.147.236.15,message.bilibili.com
61.147.236.15,message.bilibili.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.109.88.40,nexus.officeapps.live.com
23.66.96.204,api1.origin.com
34.232.40.138,datarouter.ol.epicgames.com
52.109.76.33,nexus.officeapps.live.com
172.217.6.202,chat-pa.clients6.google.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
103.126.92.132,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
52.109.124.18,nexusrules.officeapps.live.com
35.190.44.0,lsp.hackerrank.com
23.54.180.165,www.delta.com
35.190.44.0,lsp.hackerrank.com
3.218.7.59,nexus.ensighten.com
203.205.254.123,antibot.qq.com
131.253.33.254,a-ring-fallback.msedge.net
128.116.112.44,users.roblox.com
13.107.3.254,s-ring.msedge.net
204.79.197.222,fp.msedge.net
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
183.134.19.1,i0.hdslb.com
115.223.15.228,s1.hdslb.com
58.222.35.202,www.bilibili.com
58.222.35.202,www.bilibili.com
172.104.213.60,bucket.rtk.io
23.2.12.9,dldir1.qq.com
23.2.12.9,dldir1.qq.com
23.2.12.9,dldir1.qq.com
23.2.12.9,dldir1.qq.com
23.2.12.9,dldir1.qq.com
52.114.128.43,browser.pipe.aria.microsoft.com
203.205.179.231,appstore.browser.qq.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.179.129.229,arc.msn.com
14.215.140.53,p.qlogo.cn
52.114.74.44,v10.events.data.microsoft.com
203.205.235.68,cgi.qqweb.qq.com
203.205.136.169,pub.idqqimg.com
203.205.136.169,pub.idqqimg.com
203.205.136.169,pub.idqqimg.com
31.13.65.52,graph.instagram.com
