35.190.44.0,lsp.hackerrank.com
52.40.135.92,ekg.riotgames.com
17.248.187.71,gateway.icloud.com
34.73.232.153,www.overleaf.com
104.17.209.9,api.golinkapi.com
34.237.183.157,piazza.com
34.225.15.8,ping.taplytics.com
173.222.102.230,metrics.hackerrank.com
23.61.242.125,configuration.apple.com
104.244.42.193,twitter.com
192.229.163.146,cfg.gog.com
23.66.96.204,api1.origin.com
104.196.12.179,eg.poly.edu
182.92.244.228,clk.lenovo.com.cn
193.70.6.186,skribbl.io
193.70.6.186,skribbl.io
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
52.40.135.92,ekg.riotgames.com
52.114.32.8,v10.events.data.microsoft.com
151.101.201.36,cdn2.kongcdn.com
104.18.122.104,america.tas.riotgames.com
172.217.12.200,ssl.google-analytics.com
3.229.163.124,secure-sdk.imrworldwide.com
172.217.9.229,mail.google.com
52.109.124.22,nexus.officeapps.live.com
13.68.225.90,checkappexec.microsoft.com
52.40.135.92,ekg.riotgames.com
104.106.44.130,javadl-esd-secure.oracle.com
104.20.114.14,launcher.escapefromtarkov.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
209.197.3.15,maxcdn.bootstrapcdn.com
13.226.39.60,globalnav.digicomm.home.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
104.103.214.130,cloud.typography.com
104.20.115.14,www.escapefromtarkov.com
104.20.115.14,www.escapefromtarkov.com
104.20.115.14,www.escapefromtarkov.com
104.20.115.14,www.escapefromtarkov.com
104.106.44.130,javadl-esd-secure.oracle.com
54.69.225.21,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
104.20.115.14,www.escapefromtarkov.com
172.217.10.72,www.googletagmanager.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
104.244.42.72,syndication.twitter.com
192.229.173.16,cdn.syndication.twimg.com
192.229.173.16,cdn.syndication.twimg.com
104.244.42.72,syndication.twitter.com
172.217.12.206,www.youtube.com
54.194.85.165,events.appsflyer.com
87.250.250.119,mc.yandex.ru
87.250.250.119,mc.yandex.ru
87.250.250.119,mc.yandex.ru
87.250.250.119,mc.yandex.ru
211.234.127.21,logs.81plug.com
128.116.112.44,users.roblox.com
104.20.114.14,prod.escapefromtarkov.com
23.66.96.204,api1.origin.com
23.66.96.204,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
17.167.194.149,gs-loc.apple.com
17.167.194.149,gs-loc.apple.com
172.217.11.35,clientservices.googleapis.com
131.253.33.254,a-ring-fallback.msedge.net
52.201.10.115,river.data.ea.com
72.21.81.200,fp-vs.azureedge.net
23.45.180.227,fp-as.azureedge.net
204.79.197.222,fp.msedge.net
52.42.57.140,ps4updptl.us.np.community.playstation.net
216.165.47.12,www.nyu.edu
35.172.89.115,engineering.nyu.edu
35.172.89.115,engineering.nyu.edu
216.165.47.10,nyu.edu
31.13.65.7,connect.facebook.net
13.225.63.130,d14jnfavjicsbe.cloudfront.net
13.226.25.248,c.amazon-adsystem.com
13.225.62.42,rules.quantcount.com
192.184.68.188,secure.quantserve.com
104.106.75.37,c.aaxads.com
159.153.190.222,proxy.novafusion.ea.com
52.179.129.229,arc.msn.com
35.171.73.202,datarouter.ol.epicgames.com
35.244.186.129,rtkio-d.openx.net
45.79.167.169,s2s.rtk.io
69.166.1.15,apex.go.sonobi.com
100.24.86.49,g2.gumgum.com
68.67.160.26,ib.adnxs.com
208.185.50.99,fastlane.rubiconproject.com
128.116.112.44,users.roblox.com
104.16.68.69,dmx.districtm.io
208.100.17.174,ssc.33across.com
68.67.160.26,ib.adnxs.com
68.67.160.26,ib.adnxs.com
172.104.6.46,bidder.rtk.io
3.215.155.136,hb.emxdgt.com
23.66.97.77,as-sec.casalemedia.com
38.140.99.21,lockerdome.com
104.36.115.111,hbopenbid.pubmatic.com
13.226.25.248,c.amazon-adsystem.com
104.16.34.99,playerpreferences.riotgames.com
151.101.66.110,mobile-collector.newrelic.com
172.217.3.106,wirelessdevicestats.googleapis.com
172.217.3.106,wirelessdevicestats.googleapis.com
23.63.245.187,ubistatic3-a.akamaihd.net
97.107.131.27,bucket.rtk.io
97.107.131.27,bucket.rtk.io
52.40.135.92,ekg.riotgames.com
172.217.10.234,safebrowsing.googleapis.com
75.2.53.94,capi.grammarly.com
104.16.31.91,na.ledge.leagueoflegends.com
52.55.208.245,gnar.grammarly.com
184.24.156.135,us-ivt.np.community.playstation.net
35.241.26.53,config.uca.cloud.unity3d.com
162.159.130.233,discordapp.com
54.71.49.71,ece4.playfabapi.com
52.40.135.92,ekg.riotgames.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
35.241.52.229,cdp.cloud.unity3d.com
24.105.29.76,telemetry-in.battle.net
40.112.49.67,smartscreen-prod.microsoft.com
52.201.10.115,river.data.ea.com
104.17.209.9,api.golinkapi.com
128.116.112.44,users.roblox.com
172.217.9.238,www.youtube.com
68.67.160.24,ib.adnxs.com
137.116.89.182,feedback.adrecover.com
23.92.190.68,ap.lijit.com
195.244.31.11,hb-api.omnitagjs.com
104.106.75.37,bids-nv-a.aaxads.com
137.116.89.182,feedback.adrecover.com
68.67.160.24,ib.adnxs.com
68.67.160.24,ib.adnxs.com
178.128.135.80,e.serverbid.com
199.127.204.100,tag.1rx.io
23.66.97.77,as-sec.casalemedia.com
52.21.30.163,srv.stackadapt.com
23.66.98.14,z.moatads.com
35.211.114.141,us-east-sync.bidswitch.net
63.251.88.56,aa.agkn.com
3.220.206.105,bcp.crwdcntrl.net
35.211.114.141,gce-sc.bidswitch.net
204.154.111.127,tps.doubleverify.com
52.6.240.129,evm2.stackadapt.com
34.204.143.136,ping.taplytics.com
67.226.214.54,rtb-lb-event-iad-1c-tm.everesttech.net
151.101.66.49,statsf-tm.everesttech.net
151.101.2.49,displayf-tm.everesttech.net
52.25.170.114,ekg.riotgames.com
72.21.81.64,playtime.tubemogul.com
72.21.81.64,playtime.tubemogul.com
18.204.96.124,s.acexedge.com
151.101.250.49,ds.reson8.com
63.251.88.56,aa.agkn.com
104.20.131.56,mwzeom.zeotap.com
52.204.8.54,pixel.advertising.com
54.86.126.56,bpi.rtactivate.com
18.204.96.124,s.acexedge.com
35.227.230.187,gmtdmp.mookie1.com
23.10.89.229,tags.bluekai.com
34.227.43.103,p.univide.com
34.231.46.56,eb2.3lift.com
34.231.251.31,ps.eyeota.net
3.224.181.188,i.liadm.com
34.96.70.1,t.mookie1.com
35.244.186.129,us-u.openx.net
107.178.246.49,pixel.tapad.com
52.54.48.39,partners.tremorhub.com
199.187.193.166,rtb-csync.smartadserver.com
104.16.14.243,navdmp.com
69.147.92.11,ads.yahoo.com
54.165.249.36,match.sharethrough.com
147.75.39.192,loadm.exelator.com
104.81.12.105,ads.scorecardresearch.com
34.102.185.99,cm.t.tailtarget.com
3.215.147.84,thrtle.com
13.225.212.61,d.agkn.com
34.226.29.7,beacon.krxd.net
104.244.42.131,analytics.twitter.com
52.201.140.183,ad.360yield.com
31.13.65.36,www.facebook.com
52.7.102.179,mid.rkdms.com
192.184.68.169,pixel.quantserve.com
104.36.115.109,simage2.pubmatic.com
23.66.60.151,cw.addthis.com
3.218.90.66,ups.analytics.yahoo.com
54.209.235.67,match.adsrvr.org
192.184.68.169,pixel.quantserve.com
75.98.70.37,5d0b6.v.fwmrm.net
3.15.109.176,s.thebrighttag.com
52.200.227.165,caesars.demdex.net
159.127.43.73,tubemogul-sync.dotomi.com
167.114.210.129,am.adlooxtracking.com
52.68.119.165,sync-jp.im-apps.net
50.57.31.206,uipglob.semasio.net
3.210.222.230,sync.tidaltv.com
52.22.170.95,ads.everesttech.net
198.8.70.129,p.rfihub.com
192.243.232.180,adtag.primetime.adobe.com
52.0.241.166,dpm.demdex.net
23.66.97.77,dsum-sec.casalemedia.com
216.46.185.183,global.ib-ibi.com
162.159.135.233,discordapp.com
208.185.50.80,pixel.rubiconproject.com
34.198.78.143,sync.crwdcntrl.net
50.116.194.23,d.turn.com
192.35.249.120,sync.search.spotxchange.com
52.203.123.156,sandbox.bidswitch.net
18.204.96.124,s.acexedge.com
104.106.56.63,dco-assets.everestads.net
158.69.126.206,datam24.adlooxtracking.com
38.134.110.158,ads.stickyadstv.com
216.46.185.185,ib.mookie1.com
173.231.178.81,cm.adgrx.com
23.66.96.204,api1.origin.com
104.106.56.63,dco-assets.everestads.net
104.106.56.63,dco-assets.everestads.net
104.106.56.63,dco-assets.everestads.net
104.106.56.63,dco-assets.everestads.net
104.40.17.153,wdcp.microsoft.com
104.20.114.14,prod.escapefromtarkov.com
52.109.6.6,roaming.officeapps.live.com
52.218.192.192,s3-us-west-2.amazonaws.com
104.20.115.14,prod-01.escapefromtarkov.com
52.40.135.92,ekg.riotgames.com
23.66.96.16,fswitch.dl.playstation.net
52.203.123.156,sandbox.bidswitch.net
