52.218.221.16,s3-us-west-2.amazonaws.com
52.218.228.43,ubp-common-us-prod.s3.amazonaws.com
54.239.21.139,feed.browserapps.amazon.com
3.216.219.239,fls-na.amazon.com
172.217.197.108,imap.gmail.com
23.62.132.253,configuration.apple.com
34.204.117.196,scss.adobesc.com
172.217.10.106,play.googleapis.com
34.236.176.251,polka.typekit.com
162.125.19.131,bolt.dropbox.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
162.125.4.3,client.dropbox.com
162.125.4.3,client.dropbox.com
162.125.4.7,api.dropboxapi.com
17.248.187.198,p56-ckdatabase.icloud.com
172.217.197.108,imap.gmail.com
162.125.19.131,bolt.dropbox.com
162.125.19.131,bolt.dropbox.com
162.125.19.131,bolt.dropbox.com
52.109.20.3,officeclient.microsoft.com
172.217.6.205,accounts.google.com
152.195.55.22,gfwsl.geforce.com
152.195.55.22,gfwsl.geforce.com
52.230.222.68,client.wns.windows.com
52.86.216.67,accounts.adobe.com
172.217.197.108,imap.gmail.com
34.235.232.2,cc-api-data.adobe.io
34.235.232.2,cc-api-data.adobe.io
172.217.27.131,ssl.gstatic.com
172.217.27.131,ssl.gstatic.com
40.90.22.183,login.live.com
104.106.53.189,ecn.dev.virtualearth.net
104.106.53.189,ecn.dev.virtualearth.net
13.107.3.128,config.edge.skype.com
52.109.12.18,nexusrules.officeapps.live.com
52.230.222.68,client.wns.windows.com
34.235.232.2,cc-api-data.adobe.io
54.236.152.224,na1e-acc.services.adobe.com
34.235.232.2,cc-api-data.adobe.io
35.170.254.125,acp-ss-ue1.adobe.io
54.236.152.224,na1e-acc.services.adobe.com
52.22.119.233,ss-prod-ue1-notif-1.aws.adobess.com
54.236.152.224,na1e-acc.services.adobe.com
13.78.179.199,geo.prod.do.dsp.mp.microsoft.com
104.106.50.187,cdn.onenote.net
40.90.22.183,login.live.com
104.122.73.227,kv601.prod.do.dsp.mp.microsoft.com
40.90.22.183,login.live.com
3.231.119.135,cc-api-storage.adobe.io
54.236.152.224,na1e-acc.services.adobe.com
54.236.152.224,na1e-acc.services.adobe.com
20.44.121.140,ims-na1.adobelogin.com
52.2.38.227,datarouter.ol.epicgames.com
172.253.122.188,mtalk.google.com
31.13.65.36,www.facebook.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.225.62.245,a5.behance.net
3.231.119.135,cc-api-storage.adobe.io
64.202.112.31,amplifypixel.outbrain.com
64.202.112.31,tr.outbrain.com
3.231.119.135,cc-api-storage.adobe.io
40.126.7.100,login.microsoftonline.com
23.66.98.52,storeedgefd.dsx.mp.microsoft.com
172.217.10.110,hangouts.google.com
172.217.11.2,pagead2.googlesyndication.com
17.248.135.203,setup.icloud.com
104.40.91.191,smartscreen-prod.microsoft.com
40.77.224.11,storage.live.com
40.77.224.11,storage.live.com
20.44.82.31,licensing.mp.microsoft.com
172.217.10.238,play.google.com
23.66.98.52,livetileedge.dsx.mp.microsoft.com
184.24.156.135,us-prof.np.community.playstation.net
20.36.218.63,settings.data.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
151.101.2.109,cdn.polyfill.io
134.170.179.199,xsts.auth.xboxlive.com
20.44.82.31,licensing.mp.microsoft.com
172.217.6.238,clients6.google.com
172.217.6.238,clients6.google.com
20.36.244.137,title.mgt.xboxlive.com
134.170.179.199,xsts.auth.xboxlive.com
172.253.122.188,mtalk.google.com
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
52.6.44.53,nummus.robinhood.com
104.225.10.226,i2-exsfefistbewflklwkyiiwhsjdiqsd.init.cedexis-radar.net
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
151.139.244.6,gms.yoyogames.com
151.139.242.15,marketplace.yoyogames.com
172.217.11.36,www.google.com
151.139.245.4,www.yoyogames.com
18.214.147.234,accounts.yoyogames.com
104.196.12.179,manual.eg.poly.edu
172.217.9.229,mail.google.com
5.255.255.60,www.yandex.ru
5.255.255.55,yandex.ru
104.193.88.77,www.baidu.com
172.217.11.42,people-pa.clients6.google.com
172.217.11.42,people-pa.clients6.google.com
13.107.3.128,config.edge.skype.com
104.196.12.179,manual.eg.poly.edu
208.80.154.224,wikimedia.org
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
172.217.10.106,play.googleapis.com
172.217.6.238,clients4.google.com
64.202.112.31,amplifypixel.outbrain.com
64.202.112.31,tr.outbrain.com
104.225.10.227,i2-jitugkfvtqqlnwxovcrusngxrsjdjx.init.cedexis-radar.net
52.114.158.50,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
52.109.12.18,nexusrules.officeapps.live.com
149.56.126.49,funnyjunk.com
216.98.56.228,ucppropagationservice.ubi.com
13.68.93.109,slscr.update.microsoft.com
172.217.6.238,clients2.google.com
152.195.19.97,maps.windows.com
104.106.63.47,go.microsoft.com
40.90.22.187,login.live.com
52.109.6.6,roaming.officeapps.live.com
40.77.224.11,windows.policies.live.net
13.68.93.109,slscr.update.microsoft.com
40.90.22.187,login.live.com
20.44.82.31,licensing.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,dm2301.settings.live.net
13.68.93.109,slscr.update.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
64.4.54.18,fe3cr.delivery.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,dm2301.storage.live.com
20.36.218.63,settings-win.data.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
104.45.177.233,fe2cr.update.microsoft.com
106.75.240.150,api.vc.bilibili.com
106.75.240.150,api.vc.bilibili.com
13.65.85.146,tm-sdk.platinumai.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.114.158.50,v10.events.data.microsoft.com
3.221.92.5,dl-debug.dropbox.com
104.214.78.152,telecommand.telemetry.microsoft.com
104.214.78.152,telecommand.telemetry.microsoft.com
162.125.19.9,telemetry.dropbox.com
172.217.6.193,apidata.googleusercontent.com
17.248.135.239,gateway.icloud.com
17.253.15.201,mesu.apple.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
20.44.82.31,licensing.mp.microsoft.com
172.217.6.234,oauth2.googleapis.com
172.217.6.234,oauth2.googleapis.com
172.217.6.234,oauth2.googleapis.com
64.4.54.18,fe3cr.delivery.mp.microsoft.com
31.13.65.36,www.facebook.com
17.248.135.239,gateway.icloud.com
17.248.135.239,gateway.icloud.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
13.68.93.109,sls.update.microsoft.com
104.100.24.70,storecatalogrevocation.storequality.microsoft.com
104.103.218.49,geover.prod.do.dsp.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
184.24.156.135,us-ivt.np.community.playstation.net
13.78.179.199,geo.prod.do.dsp.mp.microsoft.com
104.122.73.227,cp601.prod.do.dsp.mp.microsoft.com
13.107.42.12,dm2305.storage.live.com
52.25.125.69,www.gradescope.com
52.25.125.69,www.gradescope.com
52.114.88.28,mobile.pipe.aria.microsoft.com
52.114.88.28,mobile.pipe.aria.microsoft.com
20.36.219.28,activity.windows.com
52.119.197.133,firehose.us-east-1.amazonaws.com
172.217.10.42,chat-pa.clients6.google.com
172.217.10.42,chat-pa.clients6.google.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
3.231.119.135,acp-ss-ue1.adobe.io
52.22.119.233,ss-prod-ue1-notif-1.aws.adobess.com
17.249.162.38,gsp-ssl.ls.apple.com
35.186.224.53,spclient.wg.spotify.com
24.105.29.76,telemetry-in.battle.net
35.186.224.47,dealer.spotify.com
52.230.222.68,client.wns.windows.com
40.121.3.131,wdcp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
13.68.225.90,checkappexec.microsoft.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
52.225.251.2,public.settings.family.microsoft.com
162.159.134.233,discordapp.com
162.159.134.233,cdn.discordapp.com
162.159.128.235,best.discord.media
162.159.135.233,status.discordapp.com
35.186.224.53,api.spotify.com
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
20.36.252.210,clientfd.family.microsoft.com
35.186.224.53,spclient.wg.spotify.com
140.177.16.25,www.wolframalpha.com
140.177.16.25,www.wolframalpha.com
13.225.62.56,api-cache.blizzcon.com
52.179.129.229,arc.msn.com
31.13.65.7,static.xx.fbcdn.net
52.225.251.2,public.settings.family.microsoft.com
17.248.135.210,p14-keyvalueservice.icloud.com
8.36.113.139,gfe.nvidia.com
52.225.251.2,public.settings.family.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
104.104.10.72,service.weather.microsoft.com
104.104.10.72,tile-service.weather.microsoft.com
104.104.10.72,tile-service.weather.microsoft.com
20.36.252.210,clientfd.family.microsoft.com
31.13.65.1,edge-chat.facebook.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
8.36.80.236,events.gfe.nvidia.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
8.36.80.236,events.gfe.nvidia.com
162.159.134.233,cdn.discordapp.com
35.186.224.53,api.spotify.com
162.159.134.233,discordapp.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.47,dealer.spotify.com
193.182.15.115,audio-sp-dca.spotifycdn.net
8.36.80.236,events.gfe.nvidia.com
172.217.10.106,www.googleapis.com
17.167.192.128,gs-loc.apple.com
172.217.7.14,www.youtube.com
172.217.7.3,update.googleapis.com
31.13.65.37,pixel.facebook.com
172.217.10.106,www.googleapis.com
17.248.135.244,p14-contacts.icloud.com
172.217.10.106,www.googleapis.com
172.217.10.106,www.googleapis.com
24.105.29.76,telemetry-in.battle.net
13.225.59.38,soundcloud.com
13.226.25.248,c.amazon-adsystem.com
13.225.212.38,rules.quantcount.com
192.184.68.145,secure.quantserve.com
104.106.75.37,c.aaxads.com
35.188.42.15,sentry.io
172.217.11.46,s.ytimg.com
172.217.6.234,oauth2.googleapis.com
13.225.62.104,content-signature-2.cdn.mozilla.net
23.66.96.75,filedownload.lenovo.com
52.11.143.45,search.services.mozilla.com
40.90.22.192,login.live.com
172.217.9.246,i.ytimg.com
40.126.7.99,login.microsoftonline.com
104.27.128.86,api.gifyourgame.com
172.217.12.202,fonts.googleapis.com
40.84.43.40,continuum.dds.microsoft.com
130.211.16.53,d.joinhoney.com
172.217.11.35,clientservices.googleapis.com
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
172.253.122.188,mtalk.google.com
172.217.6.205,accounts.google.com
52.6.10.250,auth.grammarly.com
172.217.6.238,clients2.google.com
172.217.7.3,update.googleapis.com
172.217.10.106,www.googleapis.com
128.116.112.44,users.roblox.com
52.212.25.23,yupmaster.gaijinent.com
52.200.53.54,data.grammarly.com
34.194.76.214,datarouter.ol.epicgames.com
128.116.112.44,assetdelivery.roblox.com
172.217.11.42,oauthaccountmanager.googleapis.com
13.225.62.10,firefox.settings.services.mozilla.com
130.211.26.229,s.joinhoney.com
205.234.175.102,c0.rbxcdn.com
3.211.167.19,f-log-extension.grammarly.io
52.43.193.8,incoming.telemetry.mozilla.org
34.214.112.79,push.services.mozilla.com
13.225.212.45,snippets.cdn.mozilla.net
52.35.6.89,incoming.telemetry.mozilla.org
52.225.251.2,public.settings.family.microsoft.com
172.217.197.157,stats.g.doubleclick.net
40.126.7.99,login.microsoftonline.com
40.126.7.99,login.microsoftonline.com
52.225.251.2,public.settings.family.microsoft.com
13.225.212.45,snippets.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
23.66.97.84,img-getpocket.cdn.mozilla.net
35.174.108.249,account-public-service-prod03.ol.epicgames.com
20.36.219.28,activity.windows.com
31.13.65.1,www.messenger.com
3.211.12.68,launcher-public-service-prod06.ol.epicgames.com
52.204.96.153,faye.getstream.io
34.234.47.193,api.stream-io-api.com
52.204.96.153,faye.getstream.io
20.36.252.210,clientfd.family.microsoft.com
40.84.43.40,aad.cs.dds.microsoft.com
151.101.1.137,res.cloudinary.com
52.217.40.76,badpanda-gg.s3.amazonaws.com
104.106.63.47,go.microsoft.com
3.230.181.133,acp-ss-ue1.adobe.io
34.192.187.24,www.netflix.com
31.13.65.7,static.xx.fbcdn.net
40.121.3.131,wdcp.microsoft.com
162.159.133.233,discordapp.com
