52.88.7.65,chat-proxy.kongregate.com
31.13.65.36,www.facebook.com
34.95.127.121,www.ojrq.net
184.28.207.63,s.click.aliexpress.com
34.96.99.245,constant-contact.evyy.net
52.44.237.42,track.omguk.com
54.156.226.97,ad.admitad.com
104.103.127.112,www.awin1.com
35.190.25.30,go.skimresources.com
159.127.43.26,www.kqzyfj.com
31.13.65.2,ad.atdmt.com
104.20.27.114,www.tradedoubler.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
35.212.127.247,click.linksynergy.com
54.203.153.221,www.pepperjamnetwork.com
159.127.43.26,www.jdoqocy.com
109.232.194.121,eultech.fnac.com
109.232.194.121,eultech.fnac.com
104.18.37.66,linksredirect.com
52.114.132.20,v10.events.data.microsoft.com
217.147.67.108,scripts.affiliatefuture.com
52.114.132.20,v10.events.data.microsoft.com
54.81.73.78,grammarly.go2cloud.org
52.114.75.78,v20.events.data.microsoft.com
54.239.25.120,firehose.us-east-1.amazonaws.com
52.4.91.75,piazza.com
31.13.65.7,static.xx.fbcdn.net
128.116.112.44,users.roblox.com
47.246.24.229,unpkg.zhimg.com
162.247.242.19,bam.nr-data.net
103.235.46.191,hm.baidu.com
103.235.46.191,hm.baidu.com
103.235.46.191,hm.baidu.com
104.193.88.77,sp0.baidu.com
24.105.29.76,telemetry-in.battle.net
52.200.224.11,adult.yourblocksite.com
13.78.180.50,array806.prod.do.dsp.mp.microsoft.com
154.8.131.191,mqtt-web.zhihu.com
52.179.129.229,arc.msn.com
34.224.151.29,secure-sdk.imrworldwide.com
13.225.62.79,api-cache.blizzcon.com
172.217.11.42,play.googleapis.com
106.75.240.150,api.vc.bilibili.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
74.125.172.23,r1---sn-ab5szn7e.googlevideo.com
20.36.219.28,activity.windows.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.7,static.xx.fbcdn.net
31.13.65.1,www.messenger.com
23.196.180.13,c.aaxads.com
13.225.70.217,c.amazon-adsystem.com
23.40.62.11,ubistatic3-a.akamaihd.net
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
104.17.209.9,api.golinkapi.com
198.200.170.196,mobile.thinkorswim.com
184.24.156.135,us-ivt.np.community.playstation.net
198.200.170.208,mobile.thinkorswim.com
104.110.252.186,iadsdk.apple.com
198.200.171.16,appdeumext.tdameritrade.com
52.40.135.92,ekg.riotgames.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
35.244.232.184,metrics.brightcove.com
144.121.138.37,plus.cnbc.com
3.223.190.7,www.trefis.com
35.153.229.157,edge.api.brightcove.com
184.169.144.177,tlc.thinkorswim.com
198.200.171.186,api.tdameritrade.com
144.121.138.37,plus.cnbc.com
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
13.225.58.146,cf-images.us-east-1.prod.boltdns.net
