20.44.82.15,collections.md.mp.microsoft.com
31.13.65.1,www.messenger.com
52.203.212.125,rtm.tnt-ea.com
52.114.74.44,v10.events.data.microsoft.com
23.34.188.163,dl.appstreaming.autodesk.com
23.34.188.163,dl.appstreaming.autodesk.com
172.217.9.229,mail.google.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.66.96.204,api1.origin.com
162.159.134.233,discordapp.com
128.116.112.44,users.roblox.com
216.165.47.12,www.nyu.edu
64.202.112.127,tr.outbrain.com
64.202.112.127,amplifypixel.outbrain.com
54.84.147.205,na1e-acc.services.adobe.com
34.196.54.216,cc-api-data.adobe.io
52.0.92.127,lm.licenses.adobe.com
34.196.54.216,cc-api-data.adobe.io
104.225.10.226,i2-minmflgpvrrurpeclmkiqqtsbciwdi.init.cedexis-radar.net
3.223.52.235,p13n.adobe.io
34.196.54.216,cc-api-data.adobe.io
34.196.54.216,cc-api-data.adobe.io
31.13.71.1,upload.facebook.com
31.13.71.1,upload.facebook.com
31.13.65.37,pixel.facebook.com
96.17.64.189,cvs.adobe.com
96.17.64.189,cvs.adobe.com
20.44.121.140,ims-prod06.adobelogin.com
34.196.54.216,cc-api-data.adobe.io
54.84.147.205,na1e-acc.services.adobe.com
34.196.54.216,cc-api-data.adobe.io
34.196.122.125,lcs-cops.adobe.io
34.196.54.216,cc-api-data.adobe.io
34.196.54.216,cc-api-data.adobe.io
96.17.65.7,us-prof.np.community.playstation.net
34.196.54.216,cc-api-data.adobe.io
34.196.54.216,cc-api-data.adobe.io
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
54.84.147.205,na1e-acc.services.adobe.com
54.84.147.205,na1e-acc.services.adobe.com
54.84.147.205,na1e-acc.services.adobe.com
34.196.54.216,cc-api-data.adobe.io
52.203.115.70,ars.oobesaas.adobe.com
23.34.188.163,dl.appstreaming.autodesk.com
34.238.74.93,www.netflix.com
96.17.65.7,us-prof.np.community.playstation.net
23.34.188.163,dl.appstreaming.autodesk.com
96.17.65.7,asm.np.community.playstation.net
23.62.24.212,livearea.api.np.km.playstation.net
23.62.24.100,us-evnt-edge.np.community.playstation.net
64.202.112.127,tr.outbrain.com
23.34.188.163,dl.appstreaming.autodesk.com
104.124.102.28,us-fllw.np.community.playstation.net
23.34.188.163,dl.appstreaming.autodesk.com
23.34.188.163,dl.appstreaming.autodesk.com
23.53.253.4,api1.origin.com
216.165.47.12,www.nyu.edu
23.53.253.4,secure.download.dm.origin.com
23.53.253.4,secure.download.dm.origin.com
23.53.253.4,secure.download.dm.origin.com
104.107.191.50,dl.appstreaming.autodesk.com
104.124.102.28,us-tpy.np.community.playstation.net
23.66.97.81,trophy01.np.community.playstation.net
14.215.140.25,p.qlogo.cn
151.139.245.4,www.yoyogames.com
172.217.11.36,www.google.com
151.139.244.6,gms.yoyogames.com
34.239.7.127,accounts.yoyogames.com
151.139.242.15,marketplace.yoyogames.com
104.193.88.77,www.baidu.com
77.88.55.66,www.yandex.ru
14.215.140.25,p.qlogo.cn
5.255.255.60,yandex.ru
172.217.222.109,imap.gmail.com
104.17.209.9,api.golinkapi.com
96.17.65.7,us-prof.np.community.playstation.net
