172.217.3.106,people-pa.googleapis.com
40.90.22.183,login.live.com
104.16.10.33,store.na2.lol.riotgames.com
35.186.224.53,spclient.wg.spotify.com
31.13.71.52,graph.instagram.com
31.13.71.52,graph.instagram.com
23.246.7.181,ipv4-c353-nyc001-ix.1.oca.nflxvideo.net
24.105.29.76,telemetry-in.battle.net
104.16.31.91,na.ledge.leagueoflegends.com
52.11.101.210,recofriender.leagueoflegends.com
23.40.62.40,am-a.akamaihd.net
23.40.62.40,am-a.akamaihd.net
104.17.166.5,pft.leagueoflegends.com
23.78.211.199,frontpage.na.leagueoflegends.com
172.217.6.238,www.youtube.com
23.40.62.32,lolstatic-a.akamaihd.net
23.40.62.32,lolstatic-a.akamaihd.net
23.40.62.32,lolstatic-a.akamaihd.net
23.40.62.32,lolstatic-a.akamaihd.net
172.217.11.46,s.ytimg.com
23.40.62.32,lolstatic-a.akamaihd.net
104.16.36.99,fs.riotgames.com
23.78.161.205,oembed.leagueoflegends.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
23.246.7.199,ipv4-c371-nyc001-ix.1.oca.nflxvideo.net
23.246.7.190,ipv4-c362-nyc001-ix.1.oca.nflxvideo.net
35.160.15.72,ekg.riotgames.com
35.160.15.72,ekg.riotgames.com
35.160.15.72,ekg.riotgames.com
162.159.134.233,discordapp.com
23.40.62.40,am-a.akamaihd.net
23.40.62.40,am-a.akamaihd.net
35.160.15.72,ekg.riotgames.com
35.160.15.72,ekg.riotgames.com
35.160.15.72,ekg.riotgames.com
104.16.31.91,na.ledge.leagueoflegends.com
172.217.12.142,tools.google.com
172.217.10.138,home-devices.googleapis.com
23.246.7.199,ipv4-c371-nyc001-ix.1.oca.nflxvideo.net
23.246.7.199,ipv4-c371-nyc001-ix.1.oca.nflxvideo.net
23.246.7.199,ipv4-c371-nyc001-ix.1.oca.nflxvideo.net
23.246.7.199,ipv4-c371-nyc001-ix.1.oca.nflxvideo.net
44.230.197.219,ekg.riotgames.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.218.160.92,s3-us-west-2.amazonaws.com
52.218.160.70,ubp-common-us-prod.s3.amazonaws.com
54.239.31.63,feed.browserapps.amazon.com
3.225.236.41,fls-na.amazon.com
52.94.233.180,titan.service.amazonbrowserapp.com
104.16.35.99,playerpreferences.riotgames.com
23.246.7.180,ipv4-c352-nyc001-ix.1.oca.nflxvideo.net
44.230.197.219,ekg.riotgames.com
23.248.167.13,static.zhihu.com
3.224.214.85,rtm.tnt-ea.com
