31.13.65.51,graph.oculus.com
104.89.0.44,us-prof.np.community.playstation.net
52.114.6.47,v10.events.data.microsoft.com
172.217.10.234,safebrowsing.googleapis.com
52.203.228.33,datarouter.ol.epicgames.com
152.195.12.135,liveupdate.symantec.com
104.89.0.44,us-prof.np.community.playstation.net
104.17.58.91,rl-cdn.psyonix.com
172.217.6.195,p2-lyp6p5ludnw24-z6xzuw4bnsxcvlng-444951-s1-v6exp3-v4.metric.gstatic.com
104.17.58.91,rl-cdn.psyonix.com
104.17.58.91,rl-cdn.psyonix.com
52.114.132.74,self.events.data.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.35.252.98,ekg.riotgames.com
52.203.212.125,rtm.tnt-ea.com
170.33.8.154,gs.arknights.global
151.101.202.248,heads-fa.scdn.co
17.125.249.7,p22-buy.itunes.apple.com
151.101.202.248,audio4-fa.scdn.co
107.21.60.113,www.netflix.com
203.205.179.229,mttstr.beacon.qq.com
52.72.109.87,push.prod.netflix.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
204.79.197.200,platform.bing.com
173.222.100.177,www.zhihu.com
52.114.75.78,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
13.107.3.128,config.edge.skype.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
40.67.188.15,userpresence.xboxlive.com
193.182.15.116,audio-sp-dca-13.spotifycdn.net
203.205.254.110,support.weixin.qq.com
52.109.6.6,roaming.officeapps.live.com
173.222.102.63,c.go-mpulse.net
52.35.252.98,ekg.riotgames.com
104.16.31.91,na.ledge.leagueoflegends.com
172.217.7.10,safebrowsing.googleapis.com
75.2.53.94,capi.grammarly.com
35.186.224.47,dealer.spotify.com
65.55.44.109,vortex.data.microsoft.com
173.222.100.177,www.zhihu.com
52.35.252.98,ekg.riotgames.com
140.143.214.102,zhihu-web-analytics.zhihu.com
13.226.39.101,desktop.tidal.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
203.205.136.105,pub.idqqimg.com
52.114.128.10,mobile.pipe.aria.microsoft.com
104.101.148.55,presence.gog.com
20.36.218.63,settings-win.data.microsoft.com
162.159.134.233,discordapp.com
128.116.112.44,users.roblox.com
203.205.136.105,pub.idqqimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
114.112.36.130,drive.wps.cn
152.195.12.135,liveupdate.symantec.com
76.223.7.58,metrics-collector.s-onetag.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.114.75.78,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
40.67.188.15,presence-heartbeat.xboxlive.com
13.225.62.95,api-cache.blizzcon.com
35.186.224.53,spclient.wg.spotify.com
54.213.188.61,R5-ps4-sub.stryder.respawn.com
151.101.202.248,seeded-session-images.scdn.co
151.101.202.248,o.scdn.co
13.107.42.12,bn1301.storage.live.com
162.125.4.3,client.dropbox.com
162.125.19.131,bolt.dropbox.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
216.165.47.12,www.nyu.edu
52.73.246.59,www.netflix.com
13.226.36.226,d3cv4a9a9wh0bt.cloudfront.net
54.149.226.138,r5-ps4-sub5.stryder.respawn.com
17.142.171.8,gs-loc.apple.com
17.142.171.8,gs-loc.apple.com
162.159.133.233,discordapp.com
52.114.74.43,mobile.pipe.aria.microsoft.com
151.101.202.248,o.scdn.co
151.101.202.248,o.scdn.co
40.91.72.120,presence-heartbeat.xboxlive.com
35.227.237.213,www.feelinsonice.com
52.109.6.6,roaming.officeapps.live.com
35.186.197.135,app-analytics.snapchat.com
54.201.25.171,st-lb.sc-jpl.com
3.210.25.111,us-east1-aws.api.snapchat.com
31.13.65.7,platform-lookaside.fbsbx.com
151.101.202.248,thisis-images.scdn.co
151.101.202.248,misc.scdn.co
151.101.202.248,t.scdn.co
151.101.202.248,lineup-images.scdn.co
128.116.112.44,users.roblox.com
13.91.131.5,directory.services.live.com
23.78.170.154,profile.live.com
40.91.72.120,presence-heartbeat.xboxlive.com
104.96.220.115,steamcdn-a.akamaihd.net
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
20.36.218.63,settings-win.data.microsoft.com
52.114.132.23,v10.events.data.microsoft.com
104.96.220.129,steamcdn-a.akamaihd.net
104.96.220.129,steamcdn-a.akamaihd.net
104.96.220.129,steamcdn-a.akamaihd.net
52.25.170.114,ekg.riotgames.com
52.109.120.19,nexusrules.officeapps.live.com
151.101.202.248,t.scdn.co
35.186.224.47,dealer.spotify.com
35.241.52.229,cdp.cloud.unity3d.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.40.206.234,www.gradescope.com
52.40.206.234,www.gradescope.com
173.222.100.177,www.zhihu.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
162.125.19.130,telemetry.dropbox.com
103.126.92.133,interface.music.163.com
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
184.28.88.219,api1.origin.com
128.116.112.44,users.roblox.com
172.217.11.46,app-measurement.com
17.248.135.82,gateway.icloud.com
69.28.62.188,chassis-cdn.appcloudcdn.com
69.28.62.188,app-cdn.2q10.com
172.217.11.46,app-measurement.com
54.225.147.125,tracking.overwolf.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
31.13.65.36,www.facebook.com
31.13.65.1,www.messenger.com
124.156.189.121,ssl.ptlogin2.qq.com
49.51.20.228,www.wegame.com.cn
35.161.157.250,ece4.playfabapi.com
31.13.65.7,static.xx.fbcdn.net
60.205.234.210,ldc.lenovo.com.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
172.217.160.68,www.google.com
172.217.160.68,www.google.com
172.217.6.205,accounts.google.com
216.165.47.12,www.nyu.edu
172.217.10.234,oauthaccountmanager.googleapis.com
172.217.6.234,people-pa.googleapis.com
172.217.6.238,clients4.google.com
172.217.11.10,www.googleapis.com
172.217.11.10,www.googleapis.com
172.217.10.33,lh3.googleusercontent.com
151.101.202.248,o.scdn.co
211.234.127.21,logs.81plug.com
184.28.89.119,livetileedge.dsx.mp.microsoft.com
184.28.89.119,livetileedge.dsx.mp.microsoft.com
162.159.130.233,discordapp.com
35.166.227.255,R5-ps4-sub.stryder.respawn.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
60.205.234.210,ldc.lenovo.com.cn
31.13.65.7,static.xx.fbcdn.net
17.248.142.84,gateway.icloud.com
49.51.20.228,www.wegame.com.cn
17.248.142.84,gateway.icloud.com
52.179.129.229,arc.msn.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
23.63.245.187,lol.secure.dyn.riotcdn.net
184.28.89.119,livetileedge.dsx.mp.microsoft.com
34.226.40.58,datarouter.ol.epicgames.com
52.13.229.94,ekg.riotgames.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.71.52,i.instagram.com
31.13.71.52,i.instagram.com
31.13.71.52,i.instagram.com
31.13.71.52,i.instagram.com
31.13.71.52,i.instagram.com
31.13.71.3,edge-mqtt.facebook.com
31.13.65.1,graph.facebook.com
31.13.71.52,graph.instagram.com
54.165.193.153,datarouter.ol.epicgames.com
216.98.62.45,msr-public-ubiservices.ubi.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
52.3.169.18,www.netflix.com
104.16.33.99,data.riotgames.com
70.37.74.6,checkappexec.microsoft.com
172.217.11.35,clientservices.googleapis.com
52.13.229.94,ekg.riotgames.com
104.16.33.99,data.riotgames.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
104.101.147.160,contentstorage.osi.office.net
52.109.6.39,messaging.office.com
104.20.114.14,launcher.escapefromtarkov.com
24.105.29.76,telemetry-in.battle.net
104.20.115.14,www.escapefromtarkov.com
104.20.115.14,www.escapefromtarkov.com
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
172.217.10.40,www.googletagmanager.com
104.20.115.14,www.escapefromtarkov.com
104.20.115.14,www.escapefromtarkov.com
104.244.42.8,syndication.twitter.com
172.217.12.174,www.youtube.com
87.250.251.119,mc.yandex.ru
72.21.91.70,cdn.syndication.twimg.com
72.21.91.70,cdn.syndication.twimg.com
104.20.115.14,www.escapefromtarkov.com
87.250.251.119,mc.yandex.ru
87.250.251.119,mc.yandex.ru
87.250.251.119,mc.yandex.ru
52.109.16.4,odc.officeapps.live.com
13.91.131.5,directory.services.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.96.88.98,outlook.office365.com
104.104.88.25,profile.live.com
52.96.70.242,autodiscover-s.outlook.com
172.217.10.229,gmail.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
104.96.220.122,steamcdn-a.akamaihd.net
104.96.220.122,steamcdn-a.akamaihd.net
104.96.220.122,steamcdn-a.akamaihd.net
172.217.12.138,people-pa.clients6.google.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
184.28.88.219,api1.origin.com
104.16.1.92,na.ledge.leagueoflegends.com
35.190.88.7,sessions.bugsnag.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.218.208.129,production-gradescope-uploads.s3-us-west-2.amazonaws.com
128.116.112.44,users.roblox.com
104.96.220.129,steamcdn-a.akamaihd.net
104.96.220.129,steamcdn-a.akamaihd.net
104.96.220.129,steamcdn-a.akamaihd.net
52.109.12.70,pptsgs.officeapps.live.com
152.199.4.33,az764295.vo.msecnd.net
152.199.4.33,az764295.vo.msecnd.net
216.98.62.45,msr-public-ubiservices.ubi.com
104.20.114.14,prod.escapefromtarkov.com
23.10.92.253,csla.np.community.playstation.net
23.66.101.7,us-ivt.np.community.playstation.net
23.78.207.239,account.np.ac.playstation.net
23.66.101.121,commerce.api.np.km.playstation.net
52.109.6.6,roaming.officeapps.live.com
104.18.59.155,njtzzrvg0lwj3bsn.info
20.36.218.63,settings-win.data.microsoft.com
59.111.239.62,httpdns.n.netease.com
52.205.64.125,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
52.179.129.229,arc.msn.com
35.186.224.47,dealer.spotify.com
13.225.59.45,api-v2.soundcloud.com
173.222.100.177,www.zhihu.com
52.114.32.24,v10.events.data.microsoft.com
184.28.88.219,api1.origin.com
34.224.234.200,datarouter.ol.epicgames.com
130.211.16.53,d.joinhoney.com
184.28.88.219,api1.origin.com
128.116.112.44,users.roblox.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
114.112.36.130,drive.wps.cn
59.111.239.62,httpdns.n.netease.com
23.51.107.215,m8.music.126.net
173.222.102.63,c.go-mpulse.net
35.241.26.53,config.uca.cloud.unity3d.com
52.114.74.43,mobile.pipe.aria.microsoft.com
162.159.135.233,discordapp.com
114.112.36.130,drive.wps.cn
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
20.36.218.63,settings-win.data.microsoft.com
104.27.178.218,freevpn.zone
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
20.36.218.63,settings-win.data.microsoft.com
35.241.52.229,cdp.cloud.unity3d.com
52.114.32.7,v10.events.data.microsoft.com
184.28.88.219,api1.origin.com
184.28.88.219,secure.download.dm.origin.com
184.28.88.219,secure.download.dm.origin.com
184.28.88.219,secure.download.dm.origin.com
184.28.88.219,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
104.196.12.179,eg.poly.edu
130.211.16.53,d.joinhoney.com
17.248.135.237,p23-keyvalueservice.icloud.com
35.186.224.53,spclient.wg.spotify.com
54.89.43.5,datarouter.ol.epicgames.com
13.107.3.128,config.edge.skype.com
52.6.252.13,river.data.ea.com
13.107.3.128,config.edge.skype.com
54.239.21.125,identity.browserapps.amazon.com
52.24.75.243,R5-ps4-sub.stryder.respawn.com
159.153.191.240,accounts.ea.com
104.20.43.93,cdn.datatables.net
31.13.65.7,static.xx.fbcdn.net
203.205.136.169,pub.idqqimg.com
52.114.32.7,v20.events.data.microsoft.com
159.153.190.222,proxy.novafusion.ea.com
104.20.114.14,prod.escapefromtarkov.com
184.28.88.219,api1.origin.com
34.199.31.71,rtm.tnt-ea.com
52.114.32.7,v10.events.data.microsoft.com
104.74.67.171,init.itunes.apple.com
17.248.187.205,gateway.icloud.com
17.56.48.13,books-edge.apple.com
17.167.195.10,gsp10-ssl.apple.com
184.26.36.56,init.itunes.apple.com
104.89.2.192,xp.apple.com
17.167.195.10,gsp10-ssl.apple.com
17.167.195.10,gsp10-ssl.apple.com
17.167.195.10,gsp10-ssl.apple.com
23.66.100.147,xp.apple.com
184.26.36.56,bag.itunes.apple.com
184.26.36.56,pd.itunes.apple.com
52.179.129.229,arc.msn.com
23.66.100.147,xp.apple.com
52.114.74.45,mobile.pipe.aria.microsoft.com
52.114.74.45,mobile.pipe.aria.microsoft.com
17.248.135.112,gateway.icloud.com
104.101.148.55,content-system.gog.com
52.6.252.13,river.data.ea.com
17.56.48.13,books-analytics-events.apple.com
54.149.219.187,r5-ps4-sub5.stryder.respawn.com
162.159.129.233,discordapp.com
104.20.114.14,prod.escapefromtarkov.com
40.114.54.223,otf.msn.com
104.96.220.112,steamcdn-a.akamaihd.net
104.96.220.112,steamcdn-a.akamaihd.net
104.96.220.112,steamcdn-a.akamaihd.net
17.248.135.112,gateway.icloud.com
17.248.135.112,gateway.icloud.com
151.101.202.248,i.scdn.co
54.80.77.89,www.netflix.com
52.114.158.53,v20.events.data.microsoft.com
104.20.114.14,prod.escapefromtarkov.com
