172.217.160.106,chat-pa.clients6.google.com
31.13.65.36,www.facebook.com
128.116.112.44,users.roblox.com
40.70.184.83,ieonlinews.microsoft.com
52.5.0.90,a930d5f40bd349f5aa8379db6c399dec-7736390f98ba.cdn.forter.com
52.5.0.90,a930d5f40bd349f5aa8379db6c399dec-7736390f98ba.cdn.forter.com
162.247.242.20,bam.nr-data.net
13.226.39.32,js.prd.fusionapi.autodesk.com
172.217.9.229,mail.google.com
52.109.6.6,roaming.officeapps.live.com
204.79.197.200,www.bing.com
103.126.92.132,interface.music.163.com
59.111.239.62,httpdns.n.netease.com
172.217.12.170,instantmessaging-pa.googleapis.com
162.125.19.130,telemetry.dropbox.com
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
173.222.100.177,www.zhihu.com
128.238.77.21,vital.engineering.nyu.edu
68.67.179.173,ib.adnxs.com
52.21.30.163,srv.stackadapt.com
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
103.126.92.133,interface.music.163.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.99.65,ucsb230-esxi-16.poly.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
35.227.80.0,reflector.makerbot.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
140.172.138.18,nomads.ncep.noaa.gov
13.110.67.55,d.la1-c2-ia5.salesforceliveagent.com
128.238.77.21,vital.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.99.61,ucsb230-esxi-12.poly.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.66.231,sync.nickgregory.me
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.63.17,uppir.poly.edu
162.159.133.233,discordapp.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.77.21,vital.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
65.55.44.109,vortex.data.microsoft.com
128.238.77.21,vital.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
134.170.179.84,client-strings.xboxlive.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
172.217.11.10,securetoken.googleapis.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.66.231,sync.nickgregory.me
128.238.62.193,grok.osiris.cyber.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
103.235.46.191,hm.baidu.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
172.217.10.3,ssl.gstatic.com
172.217.10.3,ssl.gstatic.com
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
13.110.68.55,d.la1-c2-ia5.salesforceliveagent.com
172.217.7.10,safebrowsing.googleapis.com
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.77.21,vital.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.11,ingestion1-sonyc.engineering.nyu.edu
128.238.182.12,ingestion2-sonyc.engineering.nyu.edu
