183.111.26.20,img-playnetwork.pstatic.net
182.162.192.96,game.naver.com
101.79.137.157,navergame-phinf.pstatic.net
72.37.164.113,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
101.79.137.157,navergame-phinf.pstatic.net
101.79.137.157,navergame-phinf.pstatic.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.112,ks-foundation.secure.dyn.riotcdn.net
72.37.164.113,ks-foundation.secure.dyn.riotcdn.net
17.248.135.121,p49-content.icloud.com
172.217.9.229,mail-ads.google.com
35.161.179.71,ekg.riotgames.com
13.107.21.200,platform.bing.com
23.66.101.14,s.pstatic.net
175.158.20.100,ssl.phinf.net
175.158.20.100,ssl.phinf.net
128.116.112.44,users.roblox.com
13.225.212.78,cf-st.sc-cdn.net
182.162.192.96,game.naver.com
182.162.192.96,game.naver.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.33.99,data.riotgames.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.120.50,auth.riotgames.com
35.161.179.71,ekg.riotgames.com
23.221.73.145,os-vh.akamaihd.net
13.226.39.93,na.op.gg
72.37.164.112,riot-client.dyn.riotcdn.net
17.253.15.202,mesu.apple.com
72.37.164.113,bacon.secure.dyn.riotcdn.net
72.37.164.112,lol.secure.dyn.riotcdn.net
35.161.157.250,ece4.playfabapi.com
151.139.128.10,hb.vntsm.com
23.66.100.253,wcs.naver.net
103.126.92.132,interface.music.163.com
151.139.128.10,hb.vntsm.com
59.111.239.62,httpdns.n.netease.com
31.13.65.7,connect.facebook.net
52.52.238.239,analytics.developer.riotgames.com
31.13.65.7,connect.facebook.net
