31.13.65.36,www.facebook.com
24.105.29.76,telemetry-in.battle.net
68.67.179.122,ib.adnxs.com
148.153.38.118,api.bilibili.com
164.52.34.38,data.bilibili.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
222.88.93.85,sdk1xyajs-data.xycdn.com
13.225.212.61,js.prd.fusionapi.autodesk.com
34.205.124.222,api.us-east-1.aiv-delivery.net
172.217.10.42,play.googleapis.com
222.88.93.85,sdk1xyajs-data.xycdn.com
172.217.3.110,www.google-analytics.com
222.88.93.85,sdk1xyajs-data.xycdn.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
31.13.65.7,scontent.xx.fbcdn.net
44.230.197.219,ekg.riotgames.com
184.84.68.43,go.microsoft.com
172.217.10.243,cloud.bluestacks.com
13.107.42.12,dm2305.storage.live.com
52.114.74.43,mobile.pipe.aria.microsoft.com
52.114.74.43,mobile.pipe.aria.microsoft.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
34.196.201.71,datarouter.ol.epicgames.com
222.88.93.85,sdk1xyajs-data.xycdn.com
184.28.206.172,itunes.apple.com
44.230.197.219,ekg.riotgames.com
222.88.93.85,sdk1xyajs-data.xycdn.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
148.153.38.118,message.bilibili.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
34.192.142.203,ec.razerzone.com
172.217.12.138,securetoken.googleapis.com
172.217.10.234,safebrowsing.googleapis.com
17.248.187.138,p31-caldav.icloud.com
17.248.135.15,p31-caldav.icloud.com
128.116.112.44,users.roblox.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
13.225.203.39,api-v2.soundcloud.com
52.96.58.98,outlook.office365.com
13.226.39.13,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
222.88.93.85,sdk1xyajs-data.xycdn.com
23.54.176.133,gspe35-ssl.ls.apple.com
172.253.122.109,imap.gmail.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
44.230.197.219,ekg.riotgames.com
151.101.130.167,static.twitchcdn.net
151.101.202.167,polyfill.twitchsvc.net
151.101.202.167,www.twitch.tv
172.217.7.10,firebasestorage.googleapis.com
52.96.40.242,outlook.office365.com
52.179.129.229,arc.msn.com
44.230.197.219,ekg.riotgames.com
17.253.97.202,mesu.apple.com
52.217.42.22,s3.amazonaws.com
52.217.42.22,s3.amazonaws.com
44.230.197.219,ekg.riotgames.com
40.90.22.190,login.live.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
24.105.29.76,telemetry-in.battle.net
54.239.21.139,feed.browserapps.amazon.com
34.194.124.42,fls-na.amazon.com
172.217.11.46,google.com
54.239.23.96,horizonte.browserapps.amazon.com
34.194.124.42,fls-na.amazon.com
128.116.112.44,users.roblox.com
222.88.93.85,sdk1xyajs-data.xycdn.com
