52.109.2.11,ols.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.225.62.25,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.217.11.46,clients4.google.com
54.229.248.56,ws1.dashlane.com
35.186.224.25,login5.spotify.com
34.233.139.100,scss.adobesc.com
34.199.213.18,www.fscta65w.com
52.0.128.157,cc-api-data.adobe.io
34.205.108.122,acp-ss-ue1.adobe.io
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
34.205.108.122,acp-ss-ue1.adobe.io
35.186.224.47,dealer.spotify.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
31.13.65.7,platform-lookaside.fbsbx.com
35.175.20.205,cc-api-data.adobe.io
52.203.189.247,acp-ss-ue1.adobe.io
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.203.189.247,acp-ss-ue1.adobe.io
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
13.226.38.153,slack.com
180.169.106.30,casper.saschina.org
34.199.213.18,www.fscta65w.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.47,dealer.spotify.com
172.253.122.188,mtalk.google.com
128.116.112.44,users.roblox.com
17.57.144.164,courier.push.apple.com
17.253.97.202,mesu.apple.com
52.48.250.64,logs.dashlane.com
17.248.187.202,gateway.icloud.com
172.253.122.188,mtalk.google.com
13.225.212.114,js.prd.fusionapi.autodesk.com
31.13.65.1,edge-chat.messenger.com
17.57.144.165,courier.push.apple.com
13.225.62.161,a.slack-edge.com
151.101.0.106,b.slack-edge.com
184.28.89.53,gspe1-ssl.ls.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
180.169.106.30,casper.saschina.org
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,api.onedrive.com
52.179.129.229,arc.msn.com
23.43.253.52,api1.origin.com
52.179.129.229,arc.msn.com
203.205.136.105,pub.idqqimg.com
54.144.64.206,saas-mil.userreplay.net
172.217.6.238,clients4.google.com
35.186.224.53,spclient.wg.spotify.com
72.22.185.208,steamusercontent-a.akamaihd.net
17.253.15.207,valid.apple.com
17.164.1.38,lcdn-locator.apple.com
17.248.135.89,p23-sharedstreams.icloud.com
130.211.16.53,d.joinhoney.com
52.45.208.102,datarouter.ol.epicgames.com
23.192.14.136,www.rakuten.com
3.228.164.50,acp-ss-ue1.adobe.io
52.34.212.185,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
143.204.142.84,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
35.186.224.25,login5.spotify.com
35.186.224.53,spclient.wg.spotify.com
54.239.21.139,feed.browserapps.amazon.com
3.224.158.140,fls-na.amazon.com
54.239.23.96,horizonte.browserapps.amazon.com
3.224.158.140,fls-na.amazon.com
99.84.126.64,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
3.208.161.52,account-public-service-prod03.ol.epicgames.com
172.217.10.133,inbox.google.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
13.33.46.225,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
35.241.52.229,cdp.cloud.unity3d.com
52.218.216.0,s3-us-west-2.amazonaws.com
52.218.229.99,ubp-common-us-prod.s3.amazonaws.com
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
104.16.3.92,na.ledge.leagueoflegends.com
104.16.34.99,data.riotgames.com
172.253.63.108,imap.gmail.com
128.116.112.44,users.roblox.com
52.114.32.7,v10.events.data.microsoft.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
17.249.121.246,api.smoot.apple.com
184.28.206.172,init.itunes.apple.com
23.217.196.136,xp.apple.com
23.43.56.203,play.itunes.apple.com
99.84.126.93,js.prd.fusionapi.autodesk.com
17.248.135.244,p27-keyvalueservice.icloud.com
17.248.135.235,p13-keyvalueservice.icloud.com.cn
52.179.129.229,arc.msn.com
13.56.173.11,eb.bluestacks.com
54.183.72.7,eb.bluestacks.com
34.241.95.186,c.jabmo.app
172.217.6.202,android.googleapis.com
34.241.95.186,c.jabmo.app
172.217.10.106,play.googleapis.com
172.217.10.106,play.googleapis.com
172.217.10.106,play.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
20.36.218.63,settings-win.data.microsoft.com
54.87.181.63,datarouter.ol.epicgames.com
99.84.126.2,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
52.203.212.125,rtm.tnt-ea.com
40.90.22.184,login.live.com
99.84.126.93,js.prd.fusionapi.autodesk.com
23.192.53.13,www.autodesk.com
35.168.215.6,developer.api.autodesk.com
34.234.224.52,autodesk.evergage.com
172.217.10.8,ssl.google-analytics.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
172.217.10.234,safebrowsing.googleapis.com
31.13.71.1,www.messenger.com
52.114.132.20,v20.events.data.microsoft.com
34.68.125.225,rpc.znly.co
162.159.129.233,discordapp.com
162.159.134.233,discordapp.com
17.248.135.202,gateway.icloud.com
52.179.129.229,arc.msn.com
52.210.34.63,yupmaster.gaijinent.com
13.107.3.128,config.edge.skype.com
172.217.12.161,lh3.googleusercontent.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
52.72.42.117,spocs.getpocket.com
104.124.101.72,getpocket.cdn.mozilla.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
52.210.34.63,yupmaster.gaijinent.com
52.210.34.63,yupmaster.gaijinent.com
52.210.34.63,yupmaster.gaijinent.com
104.20.83.98,warthunder.com
52.210.34.63,yupmaster.gaijinent.com
52.225.251.2,public.settings.family.microsoft.com
52.216.225.112,badpanda-gg.s3.amazonaws.com
52.210.34.63,yupmaster.gaijinent.com
52.225.251.2,public.settings.family.microsoft.com
143.204.144.181,aws-yup-distr-01.gaijinent.com
52.210.34.63,yupmaster.gaijinent.com
20.36.252.210,clientfd.family.microsoft.com
185.40.155.13,cdnnow-distr.gaijinent.com
17.253.97.201,valid.apple.com
143.204.142.20,d3cv4a9a9wh0bt.cloudfront.net
13.33.87.79,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
143.204.142.13,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.53,spclient.wg.spotify.com
52.210.34.63,yupmaster.gaijinent.com
104.20.83.98,warthunder.com
52.210.34.63,yupmaster.gaijinent.com
52.210.34.63,yupmaster.gaijinent.com
128.116.112.44,users.roblox.com
52.87.118.227,www.netflix.com
52.179.129.229,arc.msn.com
99.84.126.112,js.prd.fusionapi.autodesk.com
150.109.206.144,dlied1.qq.com
150.109.206.144,dlied1.qq.com
150.109.206.144,dlied1.qq.com
150.109.206.144,dlied1.qq.com
150.109.206.144,dlied1.qq.com
150.109.206.144,dlied1.qq.com
104.126.112.194,api1.origin.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.71.36,www.facebook.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
211.234.127.21,logs.81plug.com
52.114.132.20,v10.events.data.microsoft.com
34.241.95.186,c.jabmo.app
34.241.95.186,c.jabmo.app
52.179.129.229,arc.msn.com
23.192.5.235,c.go-mpulse.net
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
172.217.10.138,www.googleapis.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
128.116.112.44,users.roblox.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
172.217.3.106,www.googleapis.com
35.165.58.36,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
173.194.175.109,imap.gmail.com
34.239.213.224,datarouter.ol.epicgames.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
173.194.175.109,imap.gmail.com
99.84.126.73,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
173.194.175.109,imap.gmail.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
173.194.175.109,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
173.194.175.109,imap.gmail.com
72.22.185.200,steamcdn-a.akamaihd.net
72.22.185.200,steamcdn-a.akamaihd.net
72.22.185.200,steamcdn-a.akamaihd.net
128.116.112.44,users.roblox.com
104.126.112.194,api1.origin.com
99.84.126.62,js.prd.fusionapi.autodesk.com
52.179.129.229,arc.msn.com
104.16.1.92,na.ledge.leagueoflegends.com
128.238.1.31,vepsc-vm-01.poly.edu
128.238.1.31,vepsc-vm-01.poly.edu
216.165.47.12,www.nyu.edu
34.241.95.186,c.jabmo.app
34.241.95.186,c.jabmo.app
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
143.204.147.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
128.116.112.44,users.roblox.com
172.217.12.142,tools.google.com
172.217.10.42,home-devices.googleapis.com
13.225.62.12,js.prd.fusionapi.autodesk.com
17.248.135.244,gateway.icloud.com
52.179.129.229,arc.msn.com
172.217.12.170,wirelessdevicestats.googleapis.com
172.217.12.170,wirelessdevicestats.googleapis.com
172.217.3.106,safebrowsing.googleapis.com
130.211.16.53,d.joinhoney.com
23.22.31.114,datarouter.ol.epicgames.com
172.217.9.238,www.youtube.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.174,calendar.google.com
52.96.87.210,outlook.office365.com
172.217.12.174,calendar.google.com
128.116.112.44,users.roblox.com
52.96.69.2,outlook.office365.com
40.97.188.242,outlook.office365.com
13.225.62.111,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.179.129.229,arc.msn.com
13.33.46.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.36,www.facebook.com
128.116.112.44,users.roblox.com
172.217.11.42,remotedesktop-pa.googleapis.com
172.217.11.42,remotedesktop-pa.googleapis.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
13.226.39.32,js.prd.fusionapi.autodesk.com
52.54.131.67,g44.p4.webrootcloudav.com
172.217.9.234,securetoken.googleapis.com
35.174.218.21,polka.typekit.com
52.179.129.229,arc.msn.com
23.43.56.49,steamcdn-a.akamaihd.net
23.43.56.49,steamcdn-a.akamaihd.net
23.43.56.49,steamcdn-a.akamaihd.net
128.116.112.44,users.roblox.com
18.208.48.150,datarouter.ol.epicgames.com
13.226.39.71,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.218.228.43,ubp-common-us-prod.s3.amazonaws.com
52.218.250.96,s3-us-west-2.amazonaws.com
52.179.129.229,arc.msn.com
172.217.10.110,www.youtube.com
13.225.205.224,www.flickr.com
31.13.65.36,www.facebook.com
128.116.112.44,users.roblox.com
172.217.7.3,update.googleapis.com
23.78.182.45,www.autodesk.com
13.225.62.39,js.prd.fusionapi.autodesk.com
31.13.65.1,www.messenger.com
184.25.98.186,iphone-ld.apple.com
52.179.129.229,arc.msn.com
54.154.110.130,c.jabmo.app
54.154.110.130,c.jabmo.app
128.1.102.20,sqimg.qq.com
52.113.194.132,config.teams.microsoft.com
103.235.46.232,baike.baidu.com
103.235.46.232,baike.baidu.com
103.235.46.232,baike.baidu.com
180.163.198.48,fex.bdstatic.com
113.113.67.49,bkssl.bdimg.com
113.113.67.49,bkssl.bdimg.com
113.113.67.49,bkssl.bdimg.com
113.113.67.49,bkssl.bdimg.com
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
58.254.181.35,bkimg.cdn.bcebos.com
