104.25.139.23,manganelo.com
104.16.3.92,na.ledge.leagueoflegends.com
104.27.204.92,bu2.mkklcdnbuv1.com
104.27.188.119,platform.bidgear.com
31.13.65.36,www.facebook.com
88.214.193.146,ssp-nj.webtradehub.com
34.214.172.133,exchange.adtrue.com
37.157.2.236,adx.adform.net
74.119.119.139,gum.criteo.com
54.71.54.95,track.adtrue.com
8.28.7.84,simage4.pubmatic.com
104.36.115.78,sshowads.pubmatic.com
104.36.115.78,sshowads.pubmatic.com
8.28.7.84,simage4.pubmatic.com
74.121.142.178,mathid.mathtag.com
74.119.119.149,csm.va.us.criteo.net
88.214.193.146,ssp-nj.webtradehub.com
88.214.193.146,ssp-nj1.webtradehub.com
74.119.119.139,gum.criteo.com
88.214.193.146,ssp-nj1.webtradehub.com
172.217.10.72,www.googletagmanager.com
104.17.31.205,run-syndicate.com
190.93.246.34,runative-syndicate.com
213.174.153.229,wvhba6470p.com
104.36.115.78,sshowads.pubmatic.com
104.36.115.78,sshowads.pubmatic.com
104.16.212.59,cdn.runative-syndicate.com
213.174.153.231,allmyverygreatlife.com
68.67.160.184,secure.adnxs.com
213.196.2.2,r.remarketingpixel.com
23.40.28.254,aktrack.pubmatic.com
213.174.153.231,allmygoodlife.com
68.67.179.121,nym1-ib.adnxs.com
23.40.28.254,aktrack.pubmatic.com
213.174.153.231,allmygoodlife.com
188.42.162.137,eu.dspmulti.com
188.42.160.69,my.rtmark.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.9.229,mail.google.com
54.186.31.197,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
216.165.46.10,newclasses.nyu.edu
17.134.127.250,gs-loc.apple.com
23.194.120.195,api1.origin.com
17.252.194.199,gs-loc.apple.com
216.165.46.10,newclasses.nyu.edu
52.179.129.229,arc.msn.com
162.247.242.19,bam.nr-data.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
216.165.46.10,newclasses.nyu.edu
54.194.104.181,slug.onelink.me
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
23.40.30.102,xp.apple.com
