199.232.38.2,updates.bravesoftware.com
23.78.182.45,www.autodesk.com
13.225.62.53,js.prd.fusionapi.autodesk.com
52.179.129.229,arc.msn.com
23.40.28.187,sun.hac.lp1.d4c.nintendo.net
13.225.212.82,broker.lp1.npns.srv.nintendo.net
174.129.140.160,app-a05.lp1.npns.srv.nintendo.net
72.21.91.70,pbs.twimg.com
72.21.91.70,pbs.twimg.com
72.21.91.70,pbs.twimg.com
72.21.91.70,pbs.twimg.com
13.225.62.111,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
54.213.79.121,video-edge-41682c.pdx01.abs.hls.ttvnw.net
23.51.189.20,swdist.apple.com
3.211.167.19,f-log-extension.grammarly.io
13.107.136.9,nyu0-my.sharepoint.com
17.57.144.52,courier.push.apple.com
99.83.135.170,capi.grammarly.com
31.13.65.1,edge-chat.messenger.com
31.13.65.1,www.messenger.com
52.114.7.36,mobile.pipe.aria.microsoft.com
17.248.135.83,p10-caldav.icloud.com
17.142.169.199,gsp64-ssl.ls.apple.com
23.43.56.193,play.itunes.apple.com
23.43.56.185,se2.itunes.apple.com
17.248.135.119,api.apple-cloudkit.com
35.186.224.53,spclient.wg.spotify.com
31.13.65.7,platform-lookaside.fbsbx.com
35.161.182.116,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
17.253.15.204,pancake.apple.com
23.194.120.77,r4.res.office365.com
13.107.3.128,config.edge.skype.com
172.217.10.42,play.googleapis.com
13.107.3.128,config.edge.skype.com
172.217.12.138,gem-pa.googleapis.com
172.217.6.205,accounts.google.com
52.22.141.140,account-public-service-prod03.ol.epicgames.com
104.17.167.30,downloads.nordcdn.com
104.18.58.155,njtzzrvg0lwj3bsn.info
104.18.58.155,njtzzrvg0lwj3bsn.info
3.213.117.216,srv-2020-03-03-16.pixel.parsely.com
172.217.10.10,www.googleapis.com
35.168.30.237,launcher-public-service-prod06.ol.epicgames.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
23.78.200.111,webql-redesign.cnbcfm.com
152.195.54.20,services.gfe.nvidia.com
52.97.142.2,cf24e09447cd494494c707fe73150ba8.fp.measure.office.com
152.195.54.20,services.gfe.nvidia.com
172.217.10.42,play.googleapis.com
172.217.12.138,gem-pa.googleapis.com
152.195.54.20,services.gfe.nvidia.com
52.114.132.23,v10.events.data.microsoft.com
152.195.54.20,services.gfe.nvidia.com
20.36.218.63,settings-win.data.microsoft.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
52.108.16.17,waconatm.officeapps.live.com
52.114.132.23,v10.events.data.microsoft.com
13.107.18.11,outlook.office.com
13.107.6.163,upload.fp.measure.office.com
52.177.166.224,client.wns.windows.com
35.186.224.47,dealer.spotify.com
40.90.22.183,login.live.com
172.217.10.131,ssl.gstatic.com
151.101.2.109,license.piriform.com
40.69.216.129,geo.prod.do.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
5.62.38.204,ipm-provider.ff.avast.com
23.59.238.117,kv801.prod.do.dsp.mp.microsoft.com
8.36.113.137,events.gfe.nvidia.com
35.186.224.47,dealer.spotify.com
23.59.238.117,cp801.prod.do.dsp.mp.microsoft.com
23.59.238.117,disc801.prod.do.dsp.mp.microsoft.com
23.192.69.74,steam-chat.com
8.36.113.137,events.gfe.nvidia.com
104.20.11.222,filters.adtidy.org
172.253.122.188,mtalk.google.com
88.99.186.150,notification.adblockplus.org
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
35.186.224.25,login5.spotify.com
31.13.65.7,platform-lookaside.fbsbx.com
94.130.168.30,easylist-downloads.adblockplus.org
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
13.107.3.128,config.edge.skype.com
35.186.224.47,dealer.spotify.com
172.217.6.238,clients4.google.com
172.217.7.3,update.googleapis.com
172.217.6.225,clients2.googleusercontent.com
94.130.168.30,easylist-downloads.adblockplus.org
77.234.42.94,shepherd.ff.avast.com
104.117.55.94,go.microsoft.com
52.179.129.229,arc.msn.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
23.51.184.143,store.steampowered.com
40.77.224.8,windows.policies.live.net
162.159.134.234,gateway.discord.gg
172.217.10.110,chrome.google.com
172.217.7.3,update.googleapis.com
169.54.206.44,realtime.services.disqus.com
34.254.166.198,push.prod.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
52.212.136.196,www.netflix.com
5.62.48.126,auth.ff.avast.com
162.159.128.235,best.discord.media
162.159.133.233,status.discordapp.com
162.159.134.233,discordapp.com
52.205.199.154,sstats.adobe.com
5.62.40.213,analytics.ff.avast.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
40.114.105.100,inference.location.live.net
104.20.24.197,api.reasonsecurity.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
34.210.241.6,mc-001.bytefence.com
172.217.10.238,play.google.com
52.177.166.224,skydrive.wns.windows.com
5.62.38.143,ipm-provider.ff.avast.com
172.253.122.188,mtalk.google.com
162.159.134.233,discordapp.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
23.40.30.102,xp.apple.com
23.43.56.193,play.itunes.apple.com
172.253.122.188,mtalk.google.com
52.212.136.196,www.netflix.com
52.114.132.73,v20.events.data.microsoft.com
172.217.10.10,www.googleapis.com
31.13.65.1,www.messenger.com
23.51.184.143,store.steampowered.com
172.217.12.162,googleads.g.doubleclick.net
35.153.197.208,nc-unit2-mqtt.nordvpn.com
172.217.12.142,www.google-analytics.com
13.68.93.109,slscr.update.microsoft.com
17.248.135.176,gateway-carry.icloud.com
162.254.192.100,cm1-iad1.cm.steampowered.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
13.226.39.81,js.prd.fusionapi.autodesk.com
199.109.99.203,steamcdn-a.akamaihd.net
199.109.99.203,steamcdn-a.akamaihd.net
199.109.99.203,steamcdn-a.akamaihd.net
23.43.56.201,steamstore-a.akamaihd.net
23.43.56.201,steamstore-a.akamaihd.net
23.43.56.201,steamstore-a.akamaihd.net
52.7.111.248,datarouter-prod.ak.epicgames.com
13.68.93.109,slscr.update.microsoft.com
52.114.132.73,v10.events.data.microsoft.com
172.232.7.35,www3.corsair.com
17.253.97.207,mesu.apple.com
17.242.160.23,gsp57-ssl-revgeo.ls.apple.com
23.192.75.231,api.steampowered.com
52.179.129.229,arc.msn.com
3.213.117.216,srv-2020-03-03-16.pixel.parsely.com
35.186.224.53,api.spotify.com
35.174.247.247,kessel-ws.parsecgaming.com
13.225.62.108,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
162.159.130.233,discordapp.com
17.142.169.199,gsp64-ssl.ls.apple.com
172.217.12.142,tools.google.com
172.217.6.234,home-devices.googleapis.com
104.20.24.197,api.reasonsecurity.com
148.153.64.18,api.vc.bilibili.com
35.186.224.47,dealer.spotify.com
23.51.188.134,apis.playstove.com
104.20.24.197,api.reasonsecurity.com
52.168.20.22,client.teamviewer.com
211.234.127.21,logs.81plug.com
31.13.65.36,www.facebook.com
34.214.172.133,exchange.adtrue.com
37.157.4.24,adx.adform.net
