18.205.44.71,f-log-extension.grammarly.io
172.217.10.234,signaler-pa.clients6.google.com
172.217.6.202,signaler-pa.clients6.google.com
128.238.77.21,vital.engineering.nyu.edu
23.194.122.92,livetileedge.dsx.mp.microsoft.com
104.31.70.211,cdn.frankerfacez.com
3.232.43.106,countly.globaldelight.net
35.168.38.214,userstylesapi.com
104.25.57.99,cdn.betterttv.net
31.13.65.36,www.facebook.com
52.203.212.125,rtm.tnt-ea.com
128.238.77.21,vital.engineering.nyu.edu
151.101.250.167,www.twitch.tv
151.101.202.214,api.twitch.tv
151.101.202.167,gql.twitch.tv
151.101.202.214,api.twitch.tv
151.101.202.167,gql.twitch.tv
23.51.166.214,cvp.twitch.tv
52.11.3.237,pubsub-edge.twitch.tv
52.42.72.73,irc-ws.chat.twitch.tv
23.160.0.254,usher.ttvnw.net
158.69.253.60,sockets.betterttv.net
31.13.65.7,external.xx.fbcdn.net
158.69.253.60,sockets.betterttv.net
13.225.212.89,supervisor.ext-twitch.tv
104.25.58.99,api.betterttv.net
104.25.58.99,api.betterttv.net
104.25.58.99,api.betterttv.net
104.25.58.99,api.betterttv.net
104.25.58.99,api.betterttv.net
151.101.130.167,static.twitchcdn.net
104.18.57.100,api.ffzap.com
158.69.219.9,catbag.frankerfacez.com
31.13.65.7,scontent.xx.fbcdn.net
184.72.104.138,duckduckgo.com
107.167.110.211,sitecheck.opera.com
107.167.110.211,af.opera.com
13.226.39.114,d4uvtfdr04uq6raoenvj7m86gdk16v.ext-twitch.tv
13.226.39.114,d4uvtfdr04uq6raoenvj7m86gdk16v.ext-twitch.tv
13.225.62.80,extension-files.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.225.62.77,panels-images.twitch.tv
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.218.219.19,science-output.s3.amazonaws.com
13.225.212.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
54.239.21.68,twitch.amazon.com
52.11.3.237,pubsub-edge.twitch.tv
35.165.119.189,profile.accounts.firefox.com
52.27.184.130,token.services.mozilla.com
44.229.5.205,api.accounts.firefox.com
52.42.72.73,irc-ws.chat.twitch.tv
54.84.109.188,external-content.duckduckgo.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
151.101.1.16,m.media-amazon.com
158.69.253.60,sockets.betterttv.net
23.221.202.56,c.go-mpulse.net
52.223.246.248,video-edge-c8ea10.atl01.abs.hls.ttvnw.net
158.69.253.60,sockets.betterttv.net
52.223.246.48,video-edge-c2a778.atl01.abs.hls.ttvnw.net
13.225.212.87,extensions-discovery-images.twitch.tv
144.217.242.150,pog.frankerfacez.com
13.68.93.109,slscr.update.microsoft.com
13.226.39.81,js.prd.fusionapi.autodesk.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
52.158.238.42,arc.msn.com
52.114.7.36,v10.events.data.microsoft.com
172.217.10.10,www.googleapis.com
44.228.193.254,connect.prod.eml.twitch.a2z.com
104.25.159.7,www.linuxquestions.org
104.25.159.7,www.linuxquestions.org
107.167.110.211,speeddials.opera.com
104.17.65.4,cdnjs.cloudflare.com
104.27.147.99,account.thequestionsnetwork.org
172.217.10.8,ssl.google-analytics.com
172.217.10.234,safebrowsing.googleapis.com
170.33.8.154,gs.arknights.global
35.186.224.53,api.spotify.com
35.186.224.47,dealer.spotify.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
54.187.207.122,us-west-2.prod.twitchcmelolapiservice.s.twitch.a2z.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
13.225.57.36,ddragon.leagueoflegends.com
52.114.7.36,v10.events.data.microsoft.com
52.114.7.36,v10.events.data.microsoft.com
