72.21.81.200,fp-vs.azureedge.net
107.167.119.133,desktop-qualityclient-sub.osp.opera.software
104.20.50.83,st.bebi.com
172.64.193.2,cdn.siteswithcontent.com
104.31.82.105,www.animefreak.tv
185.85.238.131,st10.anime1.com
13.107.4.254,c-ring.msedge.net
204.79.197.222,fp.msedge.net
31.13.65.36,www.facebook.com
185.85.238.131,st10.anime1.com
31.13.65.36,www.facebook.com
31.13.65.1,www.messenger.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
52.158.238.42,arc.msn.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.7,static.xx.fbcdn.net
204.79.197.200,www.bing.com
204.79.197.200,www.bing.com
40.90.22.185,login.live.com
40.90.22.185,login.live.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
13.107.18.11,substrate.office.com
52.96.9.178,outlook.office365.com
13.107.3.254,s-ring.msedge.net
13.107.4.254,c-ring.msedge.net
13.107.136.254,spo-ring.msedge.net
204.79.197.222,47bec08252dff974a00e852e7f464420.clo.footprintdns.com
13.107.255.13,peer1-ash.msedge.net
34.210.98.137,oss.hpconnected.com
13.225.62.19,static.dataservices.hp.com
54.244.24.105,mq.dataservices.hp.com
104.16.1.92,na.ledge.leagueoflegends.com
148.153.38.118,api.vc.bilibili.com
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
17.252.226.85,gs-loc.apple.com
52.39.184.153,sdk-api-v1.singular.net
17.167.194.149,gs-loc.apple.com
175.207.6.114,netmarbleslog.netmarble.com
175.207.6.111,netmarbleslog.netmarble.com
17.248.187.68,stats.gc.apple.com
34.235.218.231,init.supersonicads.com
13.225.62.104,outcome-ssp.supersonicads.com
13.225.206.37,networksdk.ssacdn.com
23.47.146.53,itunes.apple.com
13.225.206.37,networksdk.ssacdn.com
209.197.3.24,code.jquery.com
31.13.65.1,graph.facebook.com
31.13.65.36,www.facebook.com
13.225.206.37,networksdk.ssacdn.com
209.197.3.24,code.jquery.com
13.225.206.37,networksdk.ssacdn.com
23.193.217.201,www.ssacdn.com
13.225.62.59,logs.supersonic.com
13.226.39.8,rv-gateway.supersonicads.com
175.207.6.111,netmarbleslog.netmarble.com
23.51.181.149,sgimage.netmarble.com
13.225.206.37,networksdk.ssacdn.com
13.226.39.60,v.ssacdn.com
13.225.62.100,platform.ssacdn.com
13.225.212.46,cx.ssacdn.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.225.212.46,cx.ssacdn.com
13.225.212.46,cx.ssacdn.com
31.13.65.7,external-atl3-1.xx.fbcdn.net
13.225.62.104,outcome-ssp.supersonicads.com
172.217.10.14,www.youtube.com
175.207.6.111,netmarbleslog.netmarble.com
172.217.11.46,s.ytimg.com
23.47.146.53,init.itunes.apple.com
175.207.6.111,netmarbleslog.netmarble.com
172.217.12.194,googleads.g.doubleclick.net
172.217.7.6,static.doubleclick.net
96.17.64.147,xp.apple.com
23.43.56.81,client-api.itunes.apple.com
23.47.146.53,bag.itunes.apple.com
23.47.146.53,apps.mzstatic.com
23.43.56.193,play.itunes.apple.com
23.47.146.53,sf-api-token-service.itunes.apple.com
52.158.238.42,arc.msn.com
17.248.135.213,p10-caldav.icloud.com
175.207.6.111,netmarbleslog.netmarble.com
31.13.65.36,fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
13.226.39.80,js.prd.fusionapi.autodesk.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
96.17.64.147,xp.apple.com
17.32.194.2,gsa.apple.com
23.40.30.102,xp.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.248.187.70,gateway.icloud.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
172.217.10.234,safebrowsing.googleapis.com
17.57.144.165,courier.push.apple.com
31.13.65.1,www.messenger.com
35.241.52.229,cdp.cloud.unity3d.com
172.217.10.46,app-measurement.com
23.208.40.205,mobileauth-rest.netmarble.com
23.208.40.205,mobileauth-rest.netmarble.com
17.248.135.203,profile.gc.apple.com
17.248.187.140,profile.gc.apple.com
17.248.187.140,profile.gc.apple.com
17.125.249.6,p28-buy.itunes.apple.com
175.207.6.111,netmarbleslog.netmarble.com
175.207.6.111,netmarbleslog.netmarble.com
175.207.6.111,netmarbleslog.netmarble.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
17.248.185.74,gateway-carry.icloud.com
172.64.193.2,cdn.siteswithcontent.com
104.31.82.105,www.animefreak.tv
104.20.51.83,st.bebi.com
13.225.203.37,soundcloud.com
23.78.182.45,www.autodesk.com
23.40.30.102,xp.apple.com
151.101.2.62,www.usatoday.com
23.43.59.210,play.itunes.apple.com
172.217.10.66,adservice.google.com
172.217.10.129,tpc.googlesyndication.com
52.205.243.180,pixel.adsafeprotected.com
88.214.194.64,colossusssp.com
52.119.197.183,aax.amazon-adsystem.com
23.193.216.69,js-sec.indexww.com
35.244.186.129,gannett-d.openx.net
172.217.10.66,www.googletagservices.com
13.226.39.45,cdn.adsafeprotected.com
74.119.119.151,bidder.criteo.com
68.67.179.87,ib.adnxs.com
104.36.115.111,hbopenbid.pubmatic.com
172.217.10.34,securepubads.g.doubleclick.net
152.199.5.3,adserver.adtechus.com
151.101.2.2,trc.taboola.com
165.227.252.242,e.serverbid.com
151.101.1.194,confiant-integrations.global.ssl.fastly.net
151.101.2.2,cdn.taboola.com
13.225.62.66,static.adsafeprotected.com
172.217.3.102,s0.2mdn.net
172.217.6.234,imasdk.googleapis.com
192.35.249.123,search.spotxchange.com
52.2.110.219,tlx.3lift.com
23.193.216.69,as-sec.casalemedia.com
13.225.202.14,c.amazon-adsystem.com
74.119.119.131,static.criteo.net
69.166.1.15,apex.go.sonobi.com
34.234.188.193,ads.adaptv.advertising.com
152.199.5.3,adserver.adtechus.com
35.211.168.6,sofia.trustx.org
151.101.2.2,images.taboola.com
151.101.2.2,modes.taboola.com
151.101.202.217,static.scroll.com
8.43.72.52,fastlane.rubiconproject.com
31.13.65.36,www.facebook.com
52.71.171.101,sp.usatoday.com
35.172.176.5,www.summerhamster.com
173.194.66.108,imap.gmail.com
173.194.66.108,imap.gmail.com
68.67.179.87,ib.adnxs.com
152.199.4.210,tags.tiqcdn.com
152.199.4.210,tags.tiqcdn.com
34.193.184.144,dpm.demdex.net
52.205.243.180,pixel.adsafeprotected.com
35.190.72.21,api.rlcdn.com
34.235.254.111,match.adsrvr.org
