54.77.24.36,www.netflix.com
17.167.194.149,gs-loc.apple.com
17.167.192.128,gs-loc.apple.com
104.18.58.155,njtzzrvg0lwj3bsn.info
13.225.62.25,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
68.67.179.91,nym1-ib.adnxs.com
37.157.2.235,adx.adform.net
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
74.125.172.55,r1---sn-ab5szn7s.googlevideo.com
74.125.172.55,r1---sn-ab5szn7s.googlevideo.com
149.56.126.50,funnyjunk.com
35.160.15.72,ekg.riotgames.com
17.248.135.78,p62-keyvalueservice.icloud.com
52.216.177.187,a360-statusdashboard.s3.amazonaws.com
13.225.212.12,ui-dls360.autodesk.com
31.13.65.36,www.facebook.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
23.194.122.92,livetileedge.dsx.mp.microsoft.com
13.107.3.128,config.edge.skype.com
52.179.129.229,arc.msn.com
52.114.158.91,v10.events.data.microsoft.com
23.194.120.195,api1.origin.com
74.125.172.23,r1---sn-ab5szn7e.googlevideo.com
74.125.172.23,r1---sn-ab5szn7e.googlevideo.com
17.173.66.104,p14-buy.itunes.apple.com
17.248.135.12,p42-keyvalueservice.icloud.com
17.248.135.9,gateway.icloud.com
104.26.9.210,coronavirus.1point3acres.com
104.20.37.161,client.crisp.chat
172.217.10.72,www.googletagmanager.com
172.217.6.238,www.youtube.com
104.20.36.161,image.crisp.chat
104.20.36.161,settings.crisp.chat
172.217.10.78,www.google-analytics.com
74.125.192.154,stats.g.doubleclick.net
47.52.174.92,api.1point3acres.com
172.217.11.34,googleads.g.doubleclick.net
172.217.11.38,static.doubleclick.net
172.217.12.214,i.ytimg.com
172.217.11.1,yt3.ggpht.com
23.47.147.197,configuration.ls.apple.com
17.248.187.205,p42-fmfmobile.icloud.com
23.51.191.198,cl4.apple.com
23.51.191.198,cl2.apple.com
17.248.187.70,p42-fmip.icloud.com
203.205.239.154,open.weixin.qq.com
23.51.191.198,cl5.apple.com
13.225.62.12,js.prd.fusionapi.autodesk.com
148.153.64.18,api.vc.bilibili.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.56.12.41,gsp64-ssl.ls.apple.com
17.167.192.231,gsp64-ssl.ls.apple.com
209.85.232.109,imap.gmail.com
209.85.232.109,imap.gmail.com
173.194.175.109,imap.gmail.com
172.217.10.74,www.googleapis.com
17.57.144.8,courier.push.apple.com
172.217.10.74,www.googleapis.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
172.217.10.74,www.googleapis.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
172.217.10.74,www.googleapis.com
52.179.129.229,arc.msn.com
172.217.10.74,www.googleapis.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
52.5.203.137,datarouter.ol.epicgames.com
172.217.9.234,wirelessdevicestats.googleapis.com
172.217.9.234,wirelessdevicestats.googleapis.com
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
185.199.111.153,www.politiscales.net
104.17.65.4,cdnjs.cloudflare.com
107.167.110.216,sitecheck.opera.com
17.56.12.41,gsp64-ssl.ls.apple.com
23.51.191.198,cl3.apple.com
17.188.164.254,init.push.apple.com
54.229.118.21,hydra.easyanticheat.net
34.230.234.167,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
52.114.74.44,self.events.data.microsoft.com
151.101.0.194,www.strawpoll.me
52.179.129.229,arc.msn.com
149.56.126.50,funnyjunk.com
52.114.88.22,v10.events.data.microsoft.com
104.18.45.69,memeworld.funnyjunk.com
104.18.45.69,bigmemes.funnyjunk.com
149.56.126.50,funnyjunk.com
107.167.110.216,sitecheck.opera.com
104.18.44.69,securelogin4.funnyjunk.com
144.217.180.139,bigcdnjs1.funnyjunk.com
172.217.10.10,oauthaccountmanager.googleapis.com
172.217.6.234,www.googleapis.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
23.193.216.119,iphone-ld.apple.com
17.253.15.203,valid.apple.com
17.248.187.207,gateway.icloud.com
17.248.187.144,metrics.icloud.com
13.225.212.55,js.prd.fusionapi.autodesk.com
72.21.91.70,ton.twimg.com
72.21.91.70,ton.twimg.com
104.18.45.69,memeworld.funnyjunk.com
104.18.45.69,bigmemes.funnyjunk.com
149.56.126.50,funnyjunk.com
104.16.120.50,auth.riotgames.com
216.98.62.23,msr-public-ubiservices.ubi.com
104.16.199.132,entitlements.auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.24.250,pas.geo.si.riotgames.com
52.89.126.68,ekg.riotgames.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
13.226.39.71,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
23.21.193.169,duckduckgo.com
54.75.239.212,staticcdn.duckduckgo.com
