20.36.218.63,settings.data.microsoft.com
52.25.170.114,ekg.riotgames.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
13.65.85.146,tm-sdk.platinumai.net
104.214.18.134,pla-prod-scu-sb-ns-ingest-02.servicebus.windows.net
52.71.235.116,developer.api.autodesk.com
52.46.132.133,firehose.us-east-1.amazonaws.com
52.114.7.39,browser.pipe.aria.microsoft.com
23.51.184.143,store.steampowered.com
52.114.158.102,v10.events.data.microsoft.com
172.217.12.174,play.google.com
172.217.12.174,play.google.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
192.229.163.146,cfg.gog.com
104.117.55.26,content-system.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
192.229.210.97,cdn.gog.com
