40.121.3.131,wdcp.microsoft.com
172.217.11.10,wirelessdevicestats.googleapis.com
172.217.11.10,wirelessdevicestats.googleapis.com
104.102.252.182,cdnapisec.kaltura.com
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
13.225.212.33,kaltura.annoto.net
13.226.39.110,app.annoto.net
104.102.252.182,cdnapisec.kaltura.com
13.225.70.162,cfvod.kaltura.com
13.225.70.162,cfvod.kaltura.com
13.225.70.162,cfvod.kaltura.com
13.225.70.162,cfvod.kaltura.com
13.225.70.162,cfvod.kaltura.com
35.165.115.120,analytics.kaltura.com
13.225.212.24,dba.annoto.net
38.81.32.37,stats.kaltura.com
38.81.32.37,stats.kaltura.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.225.210.127,d21j7etzkdo9k9.cloudfront.net
13.225.210.127,d21j7etzkdo9k9.cloudfront.net
13.225.210.127,d21j7etzkdo9k9.cloudfront.net
35.165.115.120,analytics.kaltura.com
18.196.189.167,auth.annoto.net
13.225.70.162,cfvod.kaltura.com
13.226.36.172,dvfqxoi8ar2lj.cloudfront.net
13.226.36.172,dvfqxoi8ar2lj.cloudfront.net
13.225.210.127,d21j7etzkdo9k9.cloudfront.net
18.196.189.167,auth.annoto.net
18.194.71.89,api.annoto.net
18.194.71.89,api.annoto.net
18.194.71.89,api.annoto.net
18.194.71.89,api.annoto.net
13.225.62.115,assets.annoto.net
35.165.115.120,analytics.kaltura.com
52.29.80.192,insights.annoto.net
18.194.71.89,api.annoto.net
18.194.71.89,api.annoto.net
52.29.80.192,insights.annoto.net
172.217.197.109,imap.gmail.com
52.29.80.192,insights.annoto.net
52.29.80.192,insights.annoto.net
104.16.31.91,na.ledge.leagueoflegends.com
52.217.42.22,s3.amazonaws.com
165.227.125.54,www.legaladviser.us
172.217.11.10,www.googleapis.com
165.227.125.54,www.legaladviser.us
148.153.64.18,api.vc.bilibili.com
172.217.9.229,mail.google.com
130.211.16.53,d.joinhoney.com
172.217.9.234,www.googleapis.com
172.217.197.109,imap.gmail.com
172.217.6.193,apidata.googleusercontent.com
38.74.193.98,kaf.newclasses.nyu.edu
13.225.58.42,cdn1.orgsync.com
38.74.193.98,kaf.newclasses.nyu.edu
172.217.197.109,imap.gmail.com
13.225.210.127,d21j7etzkdo9k9.cloudfront.net
13.225.212.115,images.dowjones.com
13.111.42.1,click.email.dowjones.com
31.13.65.7,scontent.xx.fbcdn.net
104.16.253.5,static.hubspot.com
104.16.249.5,track.hubspot.com
104.17.131.180,www.ny-engineers.com
104.17.203.204,eventtracking.hubapi.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.225.70.162,cfvod.kaltura.com
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
31.13.65.36,www.facebook.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.202,fonts.googleapis.com
13.111.36.252,click.em.greyhound.com
104.110.154.210,image.em.greyhound.com
104.110.154.210,image.em.greyhound.com
172.217.197.109,imap.gmail.com
52.179.129.229,arc.msn.com
13.226.39.80,js.prd.fusionapi.autodesk.com
38.74.193.98,kaf.newclasses.nyu.edu
13.226.39.8,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
69.192.108.239,api1.origin.com
23.192.23.98,imgssl.constantcontact.com
23.192.23.98,files.constantcontact.com
40.97.190.2,outlook.office365.com
38.74.193.98,kaf.newclasses.nyu.edu
172.217.11.19,cloud.bluestacks.com
13.107.18.11,outlook.office.com
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
52.31.182.100,www.netflix.com
17.248.185.172,gateway.icloud.com
18.194.71.89,api.annoto.net
170.33.8.154,gs.arknights.global
31.13.65.14,video-atl3-1.xx.fbcdn.net
69.192.108.239,api1.origin.com
38.74.193.98,kaf.newclasses.nyu.edu
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.9.229,mail.google.com
38.74.193.98,kaf.newclasses.nyu.edu
38.74.193.98,kaf.newclasses.nyu.edu
162.159.133.233,discordapp.com
13.225.70.162,cfvod.kaltura.com
38.74.193.98,kaf.newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.3.106,securetoken.googleapis.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
38.74.193.98,kaf.newclasses.nyu.edu
23.48.21.29,www.census.gov
69.192.109.111,assets.adobedtm.com
38.74.193.98,kaf.newclasses.nyu.edu
172.217.10.10,signaler-pa.clients6.google.com
172.217.10.10,signaler-pa.clients6.google.com
38.74.193.98,kaf.newclasses.nyu.edu
172.217.11.36,www.google.com
13.226.36.120,d3cegil552nnks.cloudfront.net
52.216.176.125,s3.amazonaws.com
