34.68.125.225,rpc.znly.co
17.142.171.8,gs-loc.apple.com
184.50.214.117,cache.api.intel.com
184.50.214.117,cache.api.intel.com
184.50.214.117,cache.api.intel.com
23.47.223.91,javadl-esd-secure.oracle.com
52.179.129.229,arc.msn.com
23.47.223.91,javadl-esd-secure.oracle.com
104.18.59.155,njtzzrvg0lwj3bsn.info
13.225.212.45,snippets.cdn.mozilla.net
13.225.212.45,snippets.cdn.mozilla.net
107.20.240.232,ac.duckduckgo.com
172.217.3.106,play.googleapis.com
34.241.244.104,www.netflix.com
34.241.244.104,www.netflix.com
13.226.39.8,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.217.6.238,clients4.google.com
172.217.7.3,update.googleapis.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
13.225.212.61,js.prd.fusionapi.autodesk.com
173.194.77.94,beacons2.gvt2.com
66.218.87.15,geo.yahoo.com
18.222.40.151,beacons-prodga.c2s-sa-production.aws.oath.cloud
69.147.92.12,beap-bc.yahoo.com
119.28.164.152,dlied1.qq.com
119.28.164.152,dlied1.qq.com
119.28.164.152,dlied1.qq.com
17.248.135.172,gateway.icloud.com
119.28.164.152,dlied1.qq.com
17.248.135.40,gateway-asset.icloud-content.com
119.28.164.152,dlied1.qq.com
119.28.164.152,dlied1.qq.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.131,beacons.gcp.gvt2.com
172.217.12.202,fonts.googleapis.com
17.249.121.246,api.smoot.apple.com
23.47.146.53,init.itunes.apple.com
52.179.129.229,arc.msn.com
52.109.76.30,nexusrules.officeapps.live.com
172.217.10.238,contacts.google.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.10.42,play.googleapis.com
172.217.11.35,settings.crashlytics.com
23.47.146.53,init.itunes.apple.com
23.40.30.102,xp.apple.com
17.125.249.8,p28-buy.itunes.apple.com
54.243.156.248,e.crashlytics.com
54.243.155.198,e.crashlytics.com
23.47.146.53,bag.itunes.apple.com
23.47.146.53,itunes.apple.com
17.248.187.73,gateway-carry.icloud.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
17.248.135.43,p11-keyvalueservice.icloud.com
13.107.3.128,config.edge.skype.com
148.153.64.18,api.vc.bilibili.com
170.33.8.154,gs.arknights.global
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
40.67.188.15,presence-heartbeat.xboxlive.com
54.88.130.39,datarouter.ol.epicgames.com
54.236.207.251,datarouter.ol.epicgames.com
31.13.65.1,graph.facebook.com
52.179.129.229,arc.msn.com
20.36.218.63,settings-win.data.microsoft.com
34.225.169.10,rtm.tnt-ea.com
13.226.39.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.217.10.106,chat-pa.clients6.google.com
13.226.39.32,js.prd.fusionapi.autodesk.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
52.46.128.67,firehose.us-east-1.amazonaws.com
23.40.28.191,api1.origin.com
104.18.108.14,ebookcentral.proquest.com
172.253.63.95,fcm-stream.googleapis.com
34.230.234.167,spocs.getpocket.com
23.194.118.18,getpocket.cdn.mozilla.net
23.21.193.199,external-content.duckduckgo.com
104.16.16.221,quizlet.com
208.80.154.224,en.wikipedia.org
208.80.154.240,upload.wikimedia.org
208.80.154.240,upload.wikimedia.org
208.80.154.240,upload.wikimedia.org
208.80.154.240,upload.wikimedia.org
208.80.154.240,upload.wikimedia.org
216.165.46.10,newclasses.nyu.edu
172.217.7.10,safebrowsing.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.9.229,mail.google.com
52.179.129.229,arc.msn.com
172.217.11.46,clients2.google.com
40.91.72.120,presence-heartbeat.xboxlive.com
104.20.45.197,api1.reasonsecurity.com
148.153.64.18,api.vc.bilibili.com
216.176.184.42,rateyourmusic.com
104.236.97.159,e.snmc.io
104.236.97.159,e.snmc.io
173.222.102.63,c.go-mpulse.net
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
35.165.119.189,profile.accounts.firefox.com
44.229.5.205,api.accounts.firefox.com
104.16.3.92,na.ledge.leagueoflegends.com
13.225.212.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
