151.139.128.10,hb.vntsm.com
31.13.65.7,connect.facebook.net
52.9.24.249,analytics.developer.riotgames.com
31.13.65.7,connect.facebook.net
103.235.46.191,hm.baidu.com
13.225.62.10,firefox.settings.services.mozilla.com
143.204.147.107,content-signature-2.cdn.mozilla.net
8.43.72.97,pixel.rubiconproject.com
52.179.129.229,arc.msn.com
13.225.212.60,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
210.89.160.128,wcs.naver.com
31.13.65.36,www.facebook.com
210.89.160.128,wcs.naver.com
23.47.147.197,configuration.ls.apple.com
68.67.160.24,ib.adnxs.com
52.10.101.255,ekg.riotgames.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
104.16.120.50,auth.riotgames.com
23.218.107.74,lol.secure.dyn.riotcdn.net
104.16.120.50,auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
17.248.135.104,gateway.icloud.com
52.55.119.155,riotp0use1.www.vivox.com
172.232.19.139,lol.secure.dyn.riotcdn.net
104.16.11.33,lq.na2.lol.riotgames.com
54.76.99.188,www.netflix.com
104.18.24.250,us.vts.si.riotgames.com
52.55.119.155,riotp0use1.www.vivox.com
68.67.179.165,secure.adnxs.com
50.31.142.127,sync.outbrain.com
54.243.168.158,sync.jivox.com
54.175.87.114,ups.analytics.yahoo.com
124.146.215.48,tg.socdm.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
151.80.29.101,id5-sync.com
13.225.62.12,js.prd.fusionapi.autodesk.com
104.16.3.92,na.ledge.leagueoflegends.com
104.17.155.2,clubs.leagueoflegends.com
104.25.58.99,cdn.betterttv.net
104.18.96.33,acs.leagueoflegends.com
104.17.48.19,na1.cap.riotgames.com
104.17.48.19,na1.cap.riotgames.com
104.16.2.92,na.ledge.leagueoflegends.com
104.16.2.92,na.ledge.leagueoflegends.com
104.16.34.99,playerpreferences.riotgames.com
52.11.18.161,po-service.usw2.leagueoflegends.com
52.10.101.255,ekg.riotgames.com
172.65.244.155,na2.chat.si.riotgames.com
104.17.142.21,loadouts.na2.leagueoflegends.com
172.253.63.188,mtalk.google.com
172.217.9.229,mail.google.com
104.16.2.92,na.ledge.leagueoflegends.com
104.18.122.104,america.tas.riotgames.com
