13.107.6.171,word-view.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.62.111,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
13.107.42.12,d.docs.live.net
17.167.194.47,gsp85-ssl.ls.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.167.192.231,gsp64-ssl.ls.apple.com
216.165.46.10,newclasses.nyu.edu
13.107.136.9,nyu0-my.sharepoint.com
17.57.144.164,courier.push.apple.com
13.107.136.9,nyu0-my.sharepoint.com
54.201.13.152,ekg.riotgames.com
172.217.6.234,remotedesktop-pa.googleapis.com
172.217.6.234,remotedesktop-pa.googleapis.com
216.165.47.12,www.nyu.edu
104.16.1.92,na.ledge.leagueoflegends.com
17.167.192.231,gsp64-ssl.ls.apple.com
13.107.136.9,nyu0-my.sharepoint.com
13.226.36.226,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
68.67.179.165,ib.adnxs.com
68.67.178.15,nym1-ib.adnxs.com
52.179.129.229,arc.msn.com
192.184.68.169,pixel.quantcount.com
192.184.68.179,exch.quantserve.com
192.184.68.145,pixel.quantserve.com
40.67.188.15,presence-heartbeat.xboxlive.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.64.18,api.bilibili.com
47.246.24.231,i0.hdslb.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
17.248.135.108,gateway.icloud.com
164.52.33.179,data.bilibili.com
13.225.212.104,broker.lp1.npns.srv.nintendo.net
23.55.235.19,upos-hz-mirrorakam.akamaized.net
34.201.43.110,app-b01.lp1.npns.srv.nintendo.net
47.246.24.231,i0.hdslb.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
52.2.231.4,acp-ss-ue1.adobe.io
148.153.38.118,cm.bilibili.com
13.107.42.12,d.docs.live.net
148.153.38.118,cm.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.219.28,activity.windows.com
13.107.136.9,nyu0-my.sharepoint.com
23.67.199.95,service.weather.microsoft.com
164.52.33.179,data.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
164.52.33.179,data.bilibili.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
148.153.38.118,message.bilibili.com
5.62.45.28,uib.ff.avast.com
45.57.91.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
54.76.99.188,www.netflix.com
44.230.197.219,ekg.riotgames.com
52.114.158.91,v10.events.data.microsoft.com
