23.40.28.147,definitionupdates.microsoft.com
172.217.12.170,play.googleapis.com
52.179.129.229,arc.msn.com
144.217.180.139,bigcdnjs1.funnyjunk.com
104.16.2.92,na.ledge.leagueoflegends.com
192.99.103.81,bigcdnjs2.funnyjunk.com
54.68.32.148,R5-ps4-sub.stryder.respawn.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.62.39,js.prd.fusionapi.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
198.27.121.189,bigcdnjs4.funnyjunk.com
13.65.85.146,tm-sdk.platinumai.net
198.27.121.189,bigcdnjs4.funnyjunk.com
13.226.39.13,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
13.107.42.12,d.docs.live.net
13.107.3.128,config.edge.skype.com
13.107.136.9,nyu0-my.sharepoint.com
149.56.126.50,funnyjunk.com
13.88.28.53,v10.events.data.microsoft.com
52.10.101.255,ekg.riotgames.com
104.18.45.69,securelogin4.funnyjunk.com
149.56.126.50,funnyjunk.com
107.167.110.211,sitecheck.opera.com
144.217.180.139,bigcdnjs1.funnyjunk.com
104.18.45.69,bigmemes.funnyjunk.com
34.238.237.214,datarouter.ol.epicgames.com
13.107.136.9,nyu0-my.sharepoint.com
198.27.121.189,bigcdnjs4.funnyjunk.com
148.153.64.18,message.bilibili.com
144.217.180.139,bigcdnjs1.funnyjunk.com
23.221.202.56,c.go-mpulse.net
192.99.103.81,bigcdnjs2.funnyjunk.com
172.217.10.138,people-pa.clients6.google.com
172.217.10.138,people-pa.clients6.google.com
144.217.180.139,bigcdnjs1.funnyjunk.com
79.125.108.59,duckduckgo.com
68.67.160.23,ib.adnxs.com
172.217.10.78,play.google.com
185.167.164.51,a2.adform.net
13.107.136.9,nyu0-my.sharepoint.com
68.67.178.10,nym1-ib.adnxs.com
192.184.68.154,exch.quantserve.com
192.184.68.145,pixel.quantcount.com
192.184.68.146,pixel.quantserve.com
192.184.68.146,pixel.quantserve.com
23.40.30.30,www.microsoft.com
104.18.45.69,securelogin4.funnyjunk.com
192.99.103.81,bigcdnjs2.funnyjunk.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.128.10,self.events.data.microsoft.com
52.114.128.10,self.events.data.microsoft.com
