52.32.39.255,R5-ps4-sub.stryder.respawn.com
13.107.42.12,d.docs.live.net
20.36.218.63,settings-win.data.microsoft.com
13.226.39.50,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.226.39.50,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.9.229,mail.google.com
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
23.78.182.45,www.autodesk.com
104.40.91.191,smartscreen-prod.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
162.125.35.135,d.dropbox.com
34.224.54.40,developer.api.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.158.92,v20.events.data.microsoft.com
13.225.62.39,js.prd.fusionapi.autodesk.com
52.114.158.92,v20.events.data.microsoft.com
68.67.179.173,ib.adnxs.com
148.153.64.18,message.bilibili.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
23.221.202.56,c.go-mpulse.net
162.159.133.233,discordapp.com
148.153.38.118,api.vc.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.38.118,api.vc.bilibili.com
159.153.191.240,accounts.ea.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.42.12,d.docs.live.net
52.34.208.16,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.37.97.149,r5-ps4-sub3.stryder.respawn.com
52.114.7.36,mobile.pipe.aria.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
104.46.116.119,enterprise.activity.windows.com
170.33.8.154,gs.arknights.global
40.126.7.97,login.microsoftonline.com
104.17.143.21,loadouts.na2.leagueoflegends.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
35.171.101.168,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
52.34.208.16,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
