45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.114.158.92,v10.events.data.microsoft.com
172.217.10.234,play.googleapis.com
52.179.129.229,arc.msn.com
172.217.11.10,remotedesktop-pa.googleapis.com
172.217.11.10,remotedesktop-pa.googleapis.com
104.16.33.99,playerpreferences.riotgames.com
52.34.208.16,ekg.riotgames.com
13.107.21.200,www.bing.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.3.101,mail.google.com
34.209.144.169,R5-ps4-sub.stryder.respawn.com
31.13.66.4,graph.facebook.com
162.159.129.233,discordapp.com
128.238.155.11,128.238.155.11
13.107.42.12,d.docs.live.net
128.238.155.11,128.238.155.11
52.34.208.16,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.212.123,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
40.91.72.120,presence-heartbeat.xboxlive.com
162.159.130.232,media.discordapp.net
13.107.136.9,nyu0-my.sharepoint.com
13.226.39.32,js.prd.fusionapi.autodesk.com
23.40.28.191,api1.origin.com
68.67.179.173,ib.adnxs.com
13.107.136.9,nyu0-my.sharepoint.com
52.34.208.16,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
52.179.129.229,arc.msn.com
20.36.219.28,activity.windows.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.9.24.249,analytics.developer.riotgames.com
148.153.38.118,api.vc.bilibili.com
13.107.42.12,d.docs.live.net
13.225.212.63,api-cache.blizzcon.com
52.109.6.6,roaming.officeapps.live.com
13.226.36.61,d3cv4a9a9wh0bt.cloudfront.net
13.107.136.9,nyu0-my.sharepoint.com
