40.70.184.83,ieonlinews.microsoft.com
52.109.6.6,roaming.officeapps.live.com
20.36.219.28,activity.windows.com
13.225.212.61,js.prd.fusionapi.autodesk.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
13.107.136.9,nyu0-my.sharepoint.com
17.248.135.112,gateway.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.38.118,api.vc.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.33.245.178,ekg.riotgames.com
13.107.42.12,d.docs.live.net
52.179.129.229,arc.msn.com
52.109.6.6,roaming.officeapps.live.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.107.136.9,nyu0-my.sharepoint.com
45.57.90.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
52.25.95.45,ekg.riotgames.com
52.114.76.35,v20.events.data.microsoft.com
104.16.2.92,na.ledge.leagueoflegends.com
13.107.136.9,nyu0-my.sharepoint.com
35.166.227.255,R5-ps4-sub.stryder.respawn.com
13.107.136.9,nyu0-my.sharepoint.com
23.40.30.29,us-ivt.np.community.playstation.net
172.217.3.110,www.youtube.com
13.225.205.224,www.flickr.com
31.13.65.36,www.facebook.com
13.107.136.9,nyu0-my.sharepoint.com
52.211.151.14,www.netflix.com
23.246.7.185,occ-0-1001-2430.1.nflxso.net
52.211.151.14,www.netflix.com
52.211.151.14,www.netflix.com
52.211.151.14,www.netflix.com
52.211.151.14,www.netflix.com
13.107.136.9,nyu0-my.sharepoint.com
68.67.179.153,ib.adnxs.com
23.78.182.45,www.autodesk.com
13.226.39.112,na.op.gg
23.221.202.56,c.go-mpulse.net
172.217.12.197,mail.google.com
13.225.212.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
35.168.239.35,developer.api.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.42.12,d.docs.live.net
52.34.152.98,ekg.riotgames.com
23.246.7.176,ipv4-c348-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
148.153.38.118,message.bilibili.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.62.51,js.prd.fusionapi.autodesk.com
23.208.48.118,event.api.np.km.playstation.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
52.42.57.140,ps4updptl.us.np.community.playstation.net
13.107.136.9,nyu0-my.sharepoint.com
