104.16.0.92,na.ledge.leagueoflegends.com
52.41.38.113,ekg.riotgames.com
52.41.38.113,ekg.riotgames.com
52.114.158.92,v10.events.data.microsoft.com
23.221.200.35,xp.apple.com
104.16.35.99,playerpreferences.riotgames.com
45.57.91.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
54.194.5.178,www.netflix.com
52.41.38.113,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.158.92,v10.events.data.microsoft.com
52.109.6.6,roaming.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.35.35.115,R5-ps4-sub.stryder.respawn.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.252.129,g.live.com
23.221.200.109,oneclient.sfx.ms
23.221.200.109,oneclient.sfx.ms
52.114.75.79,mobile.pipe.aria.microsoft.com
52.114.75.79,mobile.pipe.aria.microsoft.com
13.107.42.12,d.docs.live.net
68.67.179.113,ib.adnxs.com
68.67.179.90,nym1-ib.adnxs.com
52.5.33.89,vop.sundaysky.com
209.205.217.82,sync.spotim.market
204.2.255.240,anp.valassisdigital.io
68.67.179.113,ib.adnxs.com
54.246.129.36,sync.widespace.com
68.67.160.26,secure.adnxs.com
13.113.166.193,sync.ad-stir.com
13.226.39.18,ib.3lift.com
13.225.62.56,img.3lift.com
13.225.62.56,img.3lift.com
34.205.240.68,eb2.3lift.com
13.225.62.56,img.3lift.com
192.132.33.46,bttrack.com
34.237.248.89,pm.w55c.net
13.226.39.63,secure-gl.imrworldwide.com
185.184.10.30,us.creativecdn.com
209.15.36.34,pixel-sync.sitescout.com
34.195.221.13,dpm.demdex.net
74.6.138.75,pr-bh.ybp.yahoo.com
192.184.68.191,cms.quantserve.com
31.13.65.36,www.facebook.com
34.198.175.64,geo.moatads.com
3.214.228.175,mb.moatads.com
4.16.74.235,ar.voicefive.com
34.238.105.89,beacon.krxd.net
23.2.58.81,sb.voicefive.com
18.210.53.133,m.dlx.addthis.com
18.210.53.133,m.dlx.addthis.com
18.210.53.133,m.dlx.addthis.com
18.210.53.133,m.dlx.addthis.com
18.210.53.133,m.dlx.addthis.com
52.113.194.132,config.teams.microsoft.com
23.221.202.83,api1.origin.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
13.226.39.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.179.129.229,arc.msn.com
104.17.166.5,pft.leagueoflegends.com
104.122.146.69,content-system.gog.com
52.114.128.10,v20.events.data.microsoft.com
148.153.64.18,message.bilibili.com
52.41.38.113,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
52.114.128.10,v20.events.data.microsoft.com
52.114.158.92,v20.events.data.microsoft.com
192.229.163.146,cfg.gog.com
52.114.158.92,v20.events.data.microsoft.com
52.114.75.79,mobile.pipe.aria.microsoft.com
52.114.75.79,mobile.pipe.aria.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.218.63,settings-win.data.microsoft.com
52.41.38.113,ekg.riotgames.com
52.114.158.92,v10.events.data.microsoft.com
20.36.219.28,activity.windows.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.128.10,v20.events.data.microsoft.com
13.226.39.81,js.prd.fusionapi.autodesk.com
8.36.80.192,events.gfe.nvidia.com
52.114.158.92,v10.events.data.microsoft.com
13.107.42.12,d.docs.live.net
13.107.136.9,nyu0-my.sharepoint.com
68.67.179.113,ib.adnxs.com
68.67.179.90,nym1-ib.adnxs.com
185.167.164.49,c1.adform.net
34.207.47.120,magnetic.t.domdex.com
52.41.38.113,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
162.159.134.233,discordapp.com
162.159.130.232,media.discordapp.net
35.186.224.47,dealer.spotify.com
