20.36.219.28,activity.windows.com
37.157.4.23,adx.adform.net
192.229.163.146,cfg.gog.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.11.36,www.google.com
17.248.135.246,p62-keyvalueservice.icloud.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.9.225,geo0.ggpht.com
216.58.217.35,id.google.com
172.217.11.46,encrypted-tbn0.gstatic.com
23.43.169.146,configuration.ls.apple.com
172.217.6.238,clients1.google.com
172.217.11.36,www.google.com
172.217.7.1,cdn.ampproject.org
172.217.7.1,cdn.ampproject.org
3.213.108.194,ioms.bfmio.com
52.42.130.9,r5-ps4-sub3.stryder.respawn.com
23.194.121.5,aktrack.pubmatic.com
162.125.36.1,d.dropbox.com
172.217.6.193,lh5.googleusercontent.com
172.217.12.162,adservice.google.com
172.217.12.162,googleads.g.doubleclick.net
13.107.136.9,nyu0-my.sharepoint.com
54.213.180.225,sn.webrootcloudav.com
13.107.136.9,nyu0-my.sharepoint.com
131.253.33.254,a-ring-fallback.msedge.net
13.107.136.9,nyu0-my.sharepoint.com
13.226.39.81,js.prd.fusionapi.autodesk.com
23.221.202.56,c.go-mpulse.net
54.213.180.225,sn.webrootcloudav.com
17.167.192.231,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
13.225.212.39,api-cache.blizzcon.com
172.217.6.238,dl.google.com
13.107.136.9,nyu0-my.sharepoint.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
137.221.106.104,nydus.battle.net
137.221.106.104,nydus.battle.net
137.221.106.104,nydus.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
23.192.17.167,configuration.ls.apple.com
23.48.20.53,radio-activity.itunes.apple.com
52.179.129.229,arc.msn.com
35.186.224.47,dealer.spotify.com
52.109.6.6,roaming.officeapps.live.com
13.107.42.12,d.docs.live.net
13.107.42.12,d.docs.live.net
137.221.106.14,us.api.blizzard.com
68.67.179.164,ib.adnxs.com
23.218.107.27,blzprofile.akamaized.net
72.21.206.141,aax-us-east.amazon-adsystem.com
72.21.206.141,aax.amazon-adsystem.com
72.21.206.141,aax.amazon-adsystem.com
13.107.136.9,nyu0-my.sharepoint.com
204.154.111.142,rtb2.doubleverify.com
52.108.16.21,us6-rtc.officeapps.live.com
204.154.111.142,tps601.doubleverify.com
204.154.111.142,tps601.doubleverify.com
45.57.90.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
54.194.87.208,www.netflix.com
13.107.136.9,nyu0-my.sharepoint.com
24.105.29.76,telemetry-in.battle.net
204.154.111.142,tps30.doubleverify.com
72.21.206.141,aax-us-east.amazon-adsystem.com
137.221.106.104,nydus.battle.net
172.217.10.106,play.googleapis.com
52.114.132.23,self.events.data.microsoft.com
204.154.111.142,tps10215.doubleverify.com
137.221.106.102,us.battle.net
17.167.192.231,gsp64-ssl.ls.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
54.70.153.121,R5-ps4-sub.stryder.respawn.com
204.154.111.142,tps10215.doubleverify.com
23.20.19.72,m.dlx.addthis.com
23.218.107.184,bnetus-a.akamaihd.net
23.218.107.184,bnetus-a.akamaihd.net
23.218.107.184,bnetus-a.akamaihd.net
204.154.111.142,tps10204.doubleverify.com
143.166.11.227,cloud.dell.com
216.165.47.12,www.nyu.edu
143.166.11.227,cloud.dell.com
134.170.179.199,xsts.auth.xboxlive.com
13.107.3.128,config.edge.skype.com
134.170.179.199,xsts.auth.xboxlive.com
23.193.217.189,livetileedge.dsx.mp.microsoft.com
23.193.217.189,livetileedge.dsx.mp.microsoft.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.12.142,www.google-analytics.com
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
172.217.11.42,passwordsleakcheck-pa.googleapis.com
23.218.107.184,bnetus-a.akamaihd.net
24.105.29.76,telemetry-in.battle.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.218.107.169,bnetcmsus-a.akamaihd.net
23.218.107.169,bnetcmsus-a.akamaihd.net
23.218.107.169,bnetcmsus-a.akamaihd.net
23.218.107.169,bnetcmsus-a.akamaihd.net
23.218.107.169,bnetcmsus-a.akamaihd.net
172.217.197.154,stats.g.doubleclick.net
23.218.107.169,bnetcmsus-a.akamaihd.net
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.6.193,lh5.googleusercontent.com
172.217.11.36,www.google.com
148.153.38.118,api.vc.bilibili.com
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
