13.107.42.254,l-ring.msedge.net
13.107.4.254,c-ring.msedge.net
172.253.122.188,mtalk.google.com
172.217.7.3,update.googleapis.com
204.79.197.222,f2de7b7fbc13e923d09233c1b9017289.clo.footprintdns.com
13.225.62.108,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
40.126.2.34,login.microsoftonline.com
52.218.246.19,ubp-common-us-prod.s3.amazonaws.com
52.218.216.128,s3-us-west-2.amazonaws.com
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
20.36.219.28,activity.windows.com
104.16.189.22,static-cfl.twitchcdn.net
148.153.38.118,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
40.126.2.34,login.microsoftonline.com
13.107.42.12,d.docs.live.net
52.114.132.22,self.events.data.microsoft.com
104.47.43.26,dataservice.protection.outlook.com
13.107.136.9,nyu0-my.sharepoint.com
104.47.66.16,nam12b.dataservice.protection.outlook.com
172.217.12.138,www.googleapis.com
104.47.43.26,dataservice.protection.outlook.com
104.47.66.16,nam12b.dataservice.protection.outlook.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
17.252.194.199,gs-loc.apple.com
17.252.194.199,gs-loc.apple.com
35.186.220.184,collector-pxo97ybh4j.px-cloud.net
23.40.30.102,xp.apple.com
17.142.171.8,gs-loc.apple.com
35.172.81.156,rtm.tnt-ea.com
104.47.43.26,dataservice.protection.outlook.com
52.109.6.11,nleditor.osi.office.net
104.47.66.16,nam12b.dataservice.protection.outlook.com
52.179.129.229,arc.msn.com
172.217.10.234,safebrowsing.googleapis.com
17.248.135.118,p40-caldav.icloud.com
17.248.135.118,p40-caldav.icloud.com
104.47.43.26,dataservice.protection.outlook.com
40.126.2.34,login.microsoftonline.com
104.47.66.16,nam12b.dataservice.protection.outlook.com
104.47.47.26,syncservice.protection.outlook.com
17.248.187.207,gateway.icloud.com
104.47.66.16,nam12.dataservice.protection.outlook.com
13.107.136.9,nyu0-my.sharepoint.com
23.47.146.53,configuration.apple.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
159.153.191.240,accounts.ea.com
52.109.12.6,odc.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
52.179.129.229,arc.msn.com
40.91.72.120,presence-heartbeat.xboxlive.com
13.226.39.32,js.prd.fusionapi.autodesk.com
104.47.35.22,dataservice.protection.outlook.com
104.47.59.144,nam12b.dataservice.protection.outlook.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
104.47.35.22,dataservice.protection.outlook.com
104.47.55.144,nam12b.dataservice.protection.outlook.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
20.36.218.63,settings-win.data.microsoft.com
158.69.246.185,www.watch2gether.com
35.186.224.47,dealer.spotify.com
13.225.212.56,quantcast.mgr.consensu.org
104.17.64.4,cdnjs.cloudflare.com
13.225.62.82,static.quantcast.mgr.consensu.org
158.69.246.185,www.watch2gether.com
17.188.164.254,init.push.apple.com
94.130.23.95,w2g-mtrx.watch2gether.com
116.203.249.242,video.watch2gether.com
17.57.144.53,courier.push.apple.com
158.69.246.185,poldi.watch2gether.com
17.248.187.204,p40-keyvalueservice.icloud.com
13.107.42.12,d.docs.live.net
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
17.248.187.76,gateway.icloud.com
17.248.187.6,edge-189.usnyc.icloud-content.com
17.248.135.214,p47-content.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
3.223.250.182,rtm.tnt-ea.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
54.77.121.183,www.netflix.com
52.114.88.29,v20.events.data.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
35.153.94.18,ase.autodesk.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
116.203.249.242,video.watch2gether.com
34.199.253.74,userstylesapi.com
52.179.129.229,arc.msn.com
54.70.197.187,R5-ps4-sub.stryder.respawn.com
172.217.12.206,www.youtube.com
31.13.66.35,www.facebook.com
13.225.205.224,www.flickr.com
13.107.136.9,nyu0-my.sharepoint.com
144.202.7.252,ssm-host-us-nyc-29.zeusaihe.tk
149.28.48.43,ssm-host-us-nyc-20.zeusaihe.tk
68.183.152.175,ssm-host-us-nyc-23.zeusaihe.tk
45.77.109.164,ssm-host-us-nyc-28.zeusaihe.tk
23.105.149.146,ssm-host-us-nyc-16.zeusaihe.tk
45.77.109.164,ssm-host-us-nyc-28.zeusaihe.tk
45.77.109.164,ssm-host-us-nyc-28.zeusaihe.tk
144.202.7.252,ssm-host-us-nyc-29.zeusaihe.tk
144.202.7.252,ssm-host-us-nyc-29.zeusaihe.tk
151.101.250.167,gql.twitch.tv
23.160.0.254,usher.ttvnw.net
