52.21.75.104,fw.adsafeprotected.com
172.217.12.166,s0.2mdn.net
23.221.200.126,cdn.doubleverify.com
23.208.62.226,tag.researchnow.com
23.202.38.73,sb.scorecardresearch.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
23.221.202.87,code.createjs.com
216.165.46.10,newclasses.nyu.edu
148.153.38.118,api.bilibili.com
104.17.148.7,wikibuy.com
104.17.148.7,track.wikibuy.com
164.52.33.179,data.bilibili.com
18.208.47.87,p.dlx.addthis.com
52.72.233.84,p.placed.com
3.225.187.51,tracker.samplicio.us
172.217.10.138,ajax.googleapis.com
204.154.111.110,tps30.doubleverify.com
52.210.69.14,push.prod.netflix.com
74.119.119.151,bidder.criteo.com
204.154.111.110,tps.doubleverify.com
204.154.111.110,tps10202.doubleverify.com
172.217.11.19,cloud.bluestacks.com
204.154.111.131,tps10241.doubleverify.com
23.221.202.83,api1.origin.com
17.56.12.41,gsp64-ssl.ls.apple.com
104.18.97.33,acs.leagueoflegends.com
17.248.132.21,gateway-carry.icloud.com
17.248.142.87,gateway-carry.icloud.com
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
35.164.116.34,ekg.riotgames.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
52.11.105.241,ekg.riotgames.com
104.16.10.33,store.na2.lol.riotgames.com
104.17.142.21,loadouts.na2.leagueoflegends.com
172.217.10.238,play.google.com
23.246.7.190,occ-0-1001-2430.1.nflxso.net
34.247.250.51,www.netflix.com
34.247.250.51,www.netflix.com
34.247.250.51,www.netflix.com
148.153.64.18,api.bilibili.com
35.164.116.34,ekg.riotgames.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
52.11.105.241,ekg.riotgames.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
104.16.37.99,playerpreferences.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
23.192.18.217,radio-activity.itunes.apple.com
104.244.42.1,twitter.com
104.16.33.99,playerpreferences.riotgames.com
52.179.129.229,arc.msn.com
13.107.42.12,d.docs.live.net
116.203.249.242,video.watch2gether.com
52.41.8.68,ekg.riotgames.com
52.11.105.241,ekg.riotgames.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
17.248.187.140,gateway.icloud.com
104.16.31.91,na.ledge.leagueoflegends.com
52.41.8.68,ekg.riotgames.com
52.11.105.241,ekg.riotgames.com
20.36.219.28,activity.windows.com
23.221.202.56,c.go-mpulse.net
52.216.140.102,s3.amazonaws.com
52.216.140.102,s3.amazonaws.com
20.36.218.63,settings-win.data.microsoft.com
40.90.22.183,login.live.com
131.253.14.229,skyapi.live.net
17.248.142.87,gateway-carry.icloud.com
204.154.111.131,tps10202.doubleverify.com
204.154.111.131,tps10241.doubleverify.com
40.77.224.11,storage.live.com
40.77.224.11,storage.live.com
35.165.119.189,profile.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
44.229.5.205,api.accounts.firefox.com
13.225.212.54,firefox.settings.services.mozilla.com
52.41.8.68,ekg.riotgames.com
172.217.12.138,chat-pa.clients6.google.com
172.217.12.138,chat-pa.clients6.google.com
34.235.79.187,acp-ss-ue1.adobe.io
148.153.64.18,api.bilibili.com
52.11.105.241,ekg.riotgames.com
164.52.33.179,data.bilibili.com
23.78.208.225,www.cnbc.com
23.221.200.35,xp.apple.com
23.43.56.203,play.itunes.apple.com
23.78.200.111,static-redesign.cnbcfm.com
23.221.201.164,mps.cnbc.com
172.217.10.69,mail.google.com
204.154.111.131,tps10241.doubleverify.com
23.221.200.101,surf.nbcuni.com
23.21.109.191,usasync01.admantx.com
209.234.224.22,ad.wsod.com
23.221.200.101,mps.nbcuni.com
35.244.144.168,tag.bounceexchange.com
151.101.200.157,static.ads-twitter.com
192.184.68.199,pixel.quantserve.com
172.217.10.234,taskassist-pa.clients6.google.com
172.217.7.10,appswaldo-pa.clients6.google.com
31.13.66.19,connect.facebook.net
172.217.7.10,appswaldo-pa.clients6.google.com
3.219.244.74,osimg.nbcuni.com
52.72.8.164,nbcu.demdex.net
162.208.117.45,api.sail-personalize.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
5.62.44.161,uib.ff.avast.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
52.72.121.223,srv-2020-03-03-21.config.parsely.com
104.244.42.3,analytics.twitter.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
172.217.10.66,adservice.google.com
104.244.42.133,t.co
18.235.185.188,www.vilynx.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
31.13.66.35,www.facebook.com
13.226.39.11,public.vilynx.com
3.94.63.211,srv-2020-03-03-21.pixel.parsely.com
148.153.64.18,www.bilibili.com
23.221.200.101,pix.nbcuni.com
35.186.249.84,acidpigs.com
31.13.66.35,www.facebook.com
23.221.203.163,secure.insightexpressai.com
23.221.201.161,z.moatads.com
34.232.170.197,api.parsely.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
148.153.38.118,api.live.bilibili.com
148.153.64.18,cm.bilibili.com
54.152.156.12,geo.moatads.com
54.152.156.12,mb.moatads.com
148.153.64.18,cm.bilibili.com
204.154.111.131,tps10276.doubleverify.com
148.153.64.18,cm.bilibili.com
148.153.64.18,cm.bilibili.com
148.153.64.18,cm.bilibili.com
204.154.111.131,tps10241.doubleverify.com
148.153.64.18,cm.bilibili.com
148.153.64.18,cm.bilibili.com
52.11.105.241,ekg.riotgames.com
148.153.64.18,cm.bilibili.com
148.153.64.18,cm.bilibili.com
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.198,ipv4-c370-nyc001-ix.1.oca.nflxvideo.net
23.246.7.198,ipv4-c370-nyc001-ix.1.oca.nflxvideo.net
148.153.64.18,cm.bilibili.com
40.90.22.192,login.live.com
204.154.111.131,tps30.doubleverify.com
49.51.74.31,broadcast.chat.bilibili.com
204.154.111.131,tps10247.doubleverify.com
13.226.39.80,js.prd.fusionapi.autodesk.com
164.52.33.179,data.bilibili.com
148.153.64.18,cm.bilibili.com
148.153.64.18,cm.bilibili.com
68.67.160.75,ib.adnxs.com
137.116.89.182,feedback.adrecover.com
68.67.160.75,ib.adnxs.com
195.244.31.11,hb-api.omnitagjs.com
72.251.238.254,ap.lijit.com
72.251.238.254,ap.lijit.com
23.221.203.181,as-sec.casalemedia.com
23.210.87.120,bids-nv-a.aaxads.com
23.210.87.120,bids-nv-a.aaxads.com
23.210.87.120,bids-nv-a.aaxads.com
23.210.87.120,bids-nv-a.aaxads.com
204.154.111.131,tps10225.doubleverify.com
17.248.135.17,metrics.icloud.com
52.11.105.241,ekg.riotgames.com
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
35.186.224.47,dealer.spotify.com
204.154.111.131,tps10247.doubleverify.com
172.217.6.234,chat-pa.clients6.google.com
172.217.6.234,chat-pa.clients6.google.com
52.41.8.68,ekg.riotgames.com
52.11.105.241,ekg.riotgames.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
17.248.187.142,p62-keyvalueservice.icloud.com
