40.79.70.158,array503.prod.do.dsp.mp.microsoft.com
52.169.83.3,geo.prod.do.dsp.mp.microsoft.com
216.165.46.10,newclasses.nyu.edu
23.246.7.211,ipv4-c383-nyc001-ix.1.oca.nflxvideo.net
23.246.7.211,ipv4-c383-nyc001-ix.1.oca.nflxvideo.net
23.246.7.182,ipv4-c354-nyc001-ix.1.oca.nflxvideo.net
23.246.7.182,ipv4-c354-nyc001-ix.1.oca.nflxvideo.net
23.246.7.211,ipv4-c383-nyc001-ix.1.oca.nflxvideo.net
23.246.7.211,ipv4-c383-nyc001-ix.1.oca.nflxvideo.net
23.246.7.211,ipv4-c383-nyc001-ix.1.oca.nflxvideo.net
203.205.254.152,p.qlogo.cn
170.33.8.154,gs.arknights.global
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
151.101.202.167,gql.twitch.tv
52.179.129.229,arc.msn.com
104.17.29.249,static-cdn.jtvnw.net
23.40.30.29,us-ivt.np.community.playstation.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
148.153.38.118,message.bilibili.com
13.107.3.128,config.edge.skype.com
40.122.160.14,v10.events.data.microsoft.com
128.238.155.11,128.238.155.11
31.13.71.1,graph.facebook.com
40.122.160.14,v10.events.data.microsoft.com
128.238.155.11,128.238.155.11
162.159.133.233,discordapp.com
162.159.133.233,discordapp.com
162.159.133.233,discordapp.com
162.159.134.232,media.discordapp.net
162.159.134.232,media.discordapp.net
172.217.3.106,safebrowsing.googleapis.com
203.205.232.101,szsupport.weixin.qq.com
13.107.42.12,d.docs.live.net
203.205.254.110,u.weixin.qq.com
203.205.254.110,support.weixin.qq.com
13.107.136.9,nyu0-my.sharepoint.com
150.109.206.115,res.wx.qq.com
13.225.62.56,api-cache.blizzcon.com
104.16.1.92,na.ledge.leagueoflegends.com
40.122.160.14,v10.events.data.microsoft.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.226.39.81,js.prd.fusionapi.autodesk.com
23.40.30.29,us-prof.np.community.playstation.net
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
52.13.229.94,ekg.riotgames.com
148.153.38.118,api.vc.bilibili.com
162.125.35.135,d.dropbox.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
52.114.158.50,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
35.186.224.47,dealer.spotify.com
20.36.218.63,settings-win.data.microsoft.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.194.5.178,www.netflix.com
