172.217.12.202,people-pa.clients6.google.com
13.225.62.25,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
35.186.224.47,dealer.spotify.com
23.193.217.97,us-prof.np.community.playstation.net
172.217.10.238,play.google.com
13.107.136.9,nyu0-my.sharepoint.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.179.154,nym1-ib.adnxs.com
185.167.164.43,c1.adform.net
23.43.254.253,us-tpy.np.community.playstation.net
13.107.42.12,d.docs.live.net
23.193.216.175,livearea.api.np.km.playstation.net
23.193.217.97,us-prof.np.community.playstation.net
23.193.217.97,us-evnt-edge.np.community.playstation.net
96.6.24.107,trophy01.np.community.playstation.net
13.225.62.51,js.prd.fusionapi.autodesk.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
52.25.95.45,ekg.riotgames.com
148.153.38.118,api.vc.bilibili.com
96.6.25.143,static-resource.np.community.playstation.net
31.13.66.4,www.messenger.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
172.217.10.226,googleads.g.doubleclick.net
96.6.27.162,theia.dl.playstation.net
104.40.91.191,checkappexec.microsoft.com
23.193.217.97,us-ivt.np.community.playstation.net
96.6.27.162,theia.dl.playstation.net
23.193.217.97,asm.np.community.playstation.net
23.193.216.175,sf.api.np.km.playstation.net
23.193.217.97,us-prof.np.community.playstation.net
52.119.197.133,firehose.us-east-1.amazonaws.com
13.225.64.107,d3cv4a9a9wh0bt.cloudfront.net
52.119.197.133,firehose.us-east-1.amazonaws.com
52.119.197.133,firehose.us-east-1.amazonaws.com
40.91.72.120,presence-heartbeat.xboxlive.com
35.186.224.53,spclient.wg.spotify.com
149.56.126.48,funnyjunk.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.3.106,play.googleapis.com
172.217.10.37,mail.google.com
52.114.77.34,v10.events.data.microsoft.com
31.13.66.63,graph.instagram.com
31.13.66.63,graph.instagram.com
104.17.209.9,api.golinkapi.com
131.253.33.254,a-ring-fallback.msedge.net
52.96.88.18,outlook.office365.com
104.17.209.9,api.golinkapi.com
13.107.18.11,outlook.office.com
162.159.129.233,discordapp.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
96.6.24.107,trophy01.np.community.playstation.net
104.81.10.66,gs-sec.ww.np.dl.playstation.net
96.6.24.124,s.activision.com
104.105.236.250,init.itunes.apple.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,graph.instagram.com
31.13.66.10,edge-mqtt.facebook.com
52.40.23.104,ps4updptl.us.np.community.playstation.net
13.107.136.9,nyu0-my.sharepoint.com
31.13.66.4,graph.facebook.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
52.179.129.229,arc.msn.com
23.193.216.175,activity.api.np.km.playstation.net
23.193.217.97,us-prof.np.community.playstation.net
23.208.48.118,event.api.np.km.playstation.net
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
23.193.217.97,us-prof.np.community.playstation.net
23.193.216.175,sn.api.np.km.playstation.net
68.67.179.154,nym1-ib.adnxs.com
68.67.179.154,nym1-ib.adnxs.com
185.167.164.43,c1.adform.net
13.107.42.12,d.docs.live.net
23.193.217.97,asm.np.community.playstation.net
68.67.160.24,ib.adnxs.com
104.81.10.66,gs-sec.ww.np.dl.playstation.net
23.193.217.97,asm.np.community.playstation.net
23.193.217.97,asm.np.community.playstation.net
23.193.216.175,commerce.api.np.km.playstation.net
172.217.10.42,chat-pa.clients6.google.com
172.217.10.42,chat-pa.clients6.google.com
216.165.47.40,globalhome.nyu.edu
52.114.77.34,v10.events.data.microsoft.com
96.6.27.66,api1.origin.com
148.153.64.18,api.vc.bilibili.com
13.225.206.153,slack.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
23.208.55.25,auth.api.np.ac.playstation.net
20.36.218.63,settings-win.data.microsoft.com
34.68.125.225,rpc.znly.co
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
17.167.194.149,gs-loc.apple.com
185.34.107.15,ops4-ps4-auth3.prod.demonware.net
185.34.107.137,ops4-ps4-qbl.prod.demonware.net
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.66.63,graph.instagram.com
31.13.66.35,www.facebook.com
52.218.192.74,ubp-common-us-prod.s3.amazonaws.com
52.218.213.120,s3-us-west-2.amazonaws.com
