17.142.169.200,gsp64-ssl.ls.apple.com
151.101.1.67,www.cnn.com
151.101.1.67,www.cnn.com
23.246.7.180,occ-0-1001-2430.1.nflxso.net
52.7.136.152,logx.optimizely.com
151.101.65.67,www.i.cdn.cnn.com
23.10.93.204,cdn.cnn.com
23.10.93.204,cdn.cnn.com
23.10.93.204,cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.40.28.198,cdn.optimizely.com
23.10.93.204,i.cdn.cnn.com
52.113.194.132,config.teams.microsoft.com
35.186.224.25,login5.spotify.com
172.217.7.14,play.google.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
23.78.199.149,a125375509.cdn.optimizely.com
40.90.22.187,login.live.com
96.6.26.62,widgets.outbrain.com
35.244.144.168,tag.bounceexchange.com
52.114.36.4,v10.events.data.microsoft.com
104.17.65.4,cdnjs.cloudflare.com
104.18.252.222,widgets.tree.com
13.225.208.80,cdn.segment.com
52.7.136.152,logx.optimizely.com
209.197.3.15,maxcdn.bootstrapcdn.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
52.52.16.210,agility.cnn.com
209.197.3.15,maxcdn.bootstrapcdn.com
104.18.253.222,widgets.staging.tree.com
104.18.253.222,widgets.staging.tree.com
70.37.74.6,smartscreen-prod.microsoft.com
34.98.72.95,assets.bounceexchange.com
64.202.112.127,log.outbrainimg.com
70.37.74.6,smartscreen-prod.microsoft.com
74.119.119.131,static.criteo.net
151.101.0.175,cdn.krxd.net
52.86.52.185,www.ugdturner.com
96.6.24.95,js-sec.indexww.com
13.226.39.27,cdn.adsafeprotected.com
13.225.64.127,d2uap9jskdzp2.cloudfront.net
94.237.120.136,cnn.sdk.beemray.com
52.89.79.226,api.segment.io
96.6.26.62,widgets.outbrain.com
96.6.26.62,widgets.outbrain.com
96.6.26.62,widgets.outbrain.com
96.6.26.62,widgets.outbrain.com
23.59.156.203,images2.zemanta.com
23.59.156.203,images2.zemanta.com
23.59.156.203,images2.zemanta.com
23.59.156.203,images2.zemanta.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,amplify-imp.outbrain.com
104.81.12.105,sb.scorecardresearch.com
104.81.12.105,sb.scorecardresearch.com
34.231.75.255,dpm.demdex.net
64.202.112.127,mcdp-nydc1.outbrain.com
35.227.229.34,cnn.bounceexchange.com
54.175.5.93,match.adsrvr.org
34.95.69.49,i.clean.gg
54.88.45.3,mid.rkdms.com
13.225.64.62,dw7nrwnn2bkh1.cloudfront.net
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
34.196.181.155,turner2.demdex.net
52.205.199.154,smetrics.cnn.com
192.243.250.58,cm.everesttech.net
34.231.75.255,dpm.demdex.net
52.6.19.82,zion.api.cnn.io
52.6.19.82,zion.api.cnn.io
64.202.112.127,mcdp-nydc1.outbrain.com
35.190.62.200,events.bouncex.net
151.101.0.175,consumer.krxd.net
192.35.249.127,sync.search.spotxchange.com
54.173.202.101,usermatch.krxd.net
68.67.160.26,ib.adnxs.com
68.67.160.26,ib.adnxs.com
107.23.99.139,r.nexac.com
3.214.173.45,sync.crwdcntrl.net
8.43.72.43,fastlane.rubiconproject.com
8.43.72.43,fastlane.rubiconproject.com
8.43.72.43,fastlane.rubiconproject.com
8.43.72.43,fastlane.rubiconproject.com
208.185.50.90,token.rubiconproject.com
34.226.28.110,beacon.krxd.net
34.226.28.110,beacon.krxd.net
54.85.228.218,segment-data-us-east.zqtk.net
74.119.119.151,bidder.criteo.com
54.227.219.230,pixel.adsafeprotected.com
23.221.224.211,s.cdn.turner.com
3.211.248.153,r.dlx.addthis.com
104.81.12.105,sb.scorecardresearch.com
63.251.28.128,bea4.v.fwmrm.net
68.67.160.114,nym1-ib.adnxs.com
68.67.160.114,nym1-ib.adnxs.com
52.70.218.114,rum.optimizely.com
185.167.164.43,c1.adform.net
104.20.185.68,geolocation.onetrust.com
96.6.24.95,as-sec.casalemedia.com
68.67.179.164,ib.adnxs.com
34.225.200.104,errors.client.optimizely.com
31.13.66.19,connect.facebook.net
68.67.179.166,secure.adnxs.com
75.98.70.71,bea4.cnn.com
52.94.232.32,s.amazon-adsystem.com
156.154.200.36,aa.agkn.com
35.244.161.200,getliner.com
96.6.24.95,as-sec.casalemedia.com
151.101.250.167,gql.twitch.tv
23.38.167.80,steamcdn-a.akamaihd.net
23.43.56.186,steamstore-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
96.6.27.46,z.moatads.com
23.38.167.80,steamcdn-a.akamaihd.net
52.0.102.5,ads.celtra.com
104.127.38.215,sb.voicefive.com
54.200.110.108,pixel.mtrcs.samba.tv
54.175.204.148,pixel.moatads.com
13.226.39.14,cache-ssl.celtra.com
54.200.110.108,pixel.mtrcs.samba.tv
54.200.110.108,pixel.mtrcs.samba.tv
204.154.111.118,tps.doubleverify.com
3.132.156.117,geo.moatads.com
54.227.219.230,pixel.adsafeprotected.com
23.40.28.77,sa.scorecardresearch.com
23.40.28.77,sa.scorecardresearch.com
23.40.28.77,sa.scorecardresearch.com
54.194.5.178,www.netflix.com
54.194.5.178,www.netflix.com
52.204.255.228,track.celtra.com
54.82.219.113,dt.adsafeprotected.com
23.246.7.180,occ-0-1001-2430.1.nflxso.net
13.226.39.14,cache-ssl.celtra.com
52.204.255.228,track.celtra.com
13.225.212.114,js.prd.fusionapi.autodesk.com
54.194.5.178,www.netflix.com
63.251.28.128,bea4.v.fwmrm.net
34.239.57.46,ml314.com
23.208.46.198,eus.rubiconproject.com
204.154.111.118,tps10243.doubleverify.com
204.154.111.118,tps10264.doubleverify.com
204.154.111.143,tps10235.doubleverify.com
64.202.112.127,log.outbrainimg.com
35.186.224.53,api.spotify.com
13.107.42.12,d.docs.live.net
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
34.68.125.225,rpc.znly.co
52.179.129.229,arc.msn.com
68.67.179.90,nym1-ib.adnxs.com
68.67.179.90,nym1-ib.adnxs.com
172.217.11.36,www.google.com
104.26.15.12,cdn0.match2one.net
185.167.164.51,c1.adform.net
204.154.111.118,tps10243.doubleverify.com
204.154.111.143,tps10235.doubleverify.com
204.154.111.118,tps10264.doubleverify.com
104.83.66.10,api.steampowered.com
13.226.39.16,streamapi.majorleaguegaming.com
162.159.130.232,media.discordapp.net
13.226.39.66,streamapi.majorleaguegaming.com
13.226.39.66,streamapi.majorleaguegaming.com
13.226.39.66,streamapi.majorleaguegaming.com
54.86.129.194,ping.chartbeat.net
17.248.135.142,edge-007.usnyc.icloud-content.com
17.248.135.142,edge-007.usnyc.icloud-content.com
24.105.29.76,telemetry-in.battle.net
64.30.224.206,ws.audioscrobbler.com
23.40.30.29,us-prof.np.community.playstation.net
17.248.135.213,p40-content.icloud.com
17.248.135.213,p40-content.icloud.com
17.248.135.13,p14-keyvalueservice.icloud.com
104.17.88.51,www.change.org
172.217.10.74,addons-pa.clients6.google.com
172.217.6.202,addons-pa.clients6.google.com
23.51.184.143,store.steampowered.com
23.38.167.33,steamcdn-a.akamaihd.net
17.164.1.38,lcdn-locator.apple.com
104.83.66.10,steamcommunity.com
104.83.66.10,steamcommunity.com
104.83.66.10,steamcommunity.com
104.83.66.10,steamcommunity.com
104.83.66.10,steamcommunity.com
17.248.187.208,edge-024.usnyc.icloud-content.com
104.83.66.10,steamcommunity.com
172.217.12.162,googleads.g.doubleclick.net
204.79.197.200,bat.bing.com
17.248.187.208,edge-024.usnyc.icloud-content.com
104.83.66.10,steamcommunity.com
104.83.66.10,steamcommunity.com
172.217.10.78,www.google-analytics.com
104.17.88.51,www.change.org
172.217.10.68,www.google.com
74.125.192.155,stats.g.doubleclick.net
31.13.71.36,www.facebook.com
172.217.9.237,accounts.google.com
23.43.56.192,steamcommunity-a.akamaihd.net
52.206.2.145,logx.optimizely.com
17.248.131.240,p66-content.icloud.com
17.248.135.242,p44-content.icloud.com
35.186.224.47,dealer.spotify.com
13.68.225.90,checkappexec.microsoft.com
17.248.131.240,p64-content.icloud.com
17.248.135.242,p40-content.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.194.155.146,www.netflix.com
172.217.9.234,maps.googleapis.com
69.28.62.188,chassis-cdn.appcloudcdn.com
69.28.62.188,app-cdn.2q10.com
162.159.133.233,discordapp.com
192.0.78.179,blog.counter-strike.net
13.225.212.123,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
151.101.202.214,api.twitch.tv
23.38.167.80,steamcdn-a.akamaihd.net
192.0.78.179,blog.counter-strike.net
104.17.26.249,static-cdn.jtvnw.net
104.17.26.249,static-cdn.jtvnw.net
104.17.26.249,static-cdn.jtvnw.net
172.217.10.40,www.googletagmanager.com
172.217.12.202,fonts.googleapis.com
192.0.76.3,stats.wp.com
31.13.66.4,www.messenger.com
151.101.200.157,platform.twitter.com
104.83.12.27,counter-strike.net
172.217.12.142,www.google-analytics.com
104.244.42.136,syndication.twitter.com
104.16.127.199,www.cadence.com
104.16.127.199,www.cadence.com
172.217.10.72,www.googletagmanager.com
34.96.102.137,dev.visualwebsiteoptimizer.com
96.6.24.59,assets.adobedtm.com
208.111.132.51,video.limelight.com
69.164.0.0,assets.video.limelight.com
13.90.95.14,secure.perk0mean.com
172.217.10.78,www.google-analytics.com
172.217.11.36,www.google.com
172.217.11.36,www.google.com
54.88.178.249,tracking.leadlander.com
52.45.244.162,match.adsrvr.org
13.226.39.21,vidassets.terminus.services
209.197.3.15,maxcdn.bootstrapcdn.com
74.125.192.155,stats.g.doubleclick.net
23.51.182.90,munchkin.marketo.net
13.225.212.29,app.cdn.lookbookhq.com
172.217.3.106,fonts.googleapis.com
34.234.23.242,omniture-dc-sec.cadence.com
104.16.127.199,www.cadence.com
52.202.34.30,dpm.demdex.net
23.246.7.190,ipv4-c362-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
17.248.135.108,p40-content.icloud.com
52.45.208.102,datarouter.ol.epicgames.com
69.164.0.128,s2.mfs.video.llnw.net
69.164.0.128,s2.mfs.video.llnw.net
17.248.135.108,p52-content.icloud.com
17.248.142.118,p10-caldav.icloud.com
104.26.10.156,api.rss2json.com
192.28.147.68,070-bii-206.mktoresp.com
17.248.135.200,p30-content.icloud.com
104.17.209.9,api.golinkapi.com
34.206.98.142,jukebox.pathfactory.com
17.248.187.78,p64-content.icloud.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
23.40.30.29,us-prof.np.community.playstation.net
68.67.160.114,nym1-ib.adnxs.com
151.101.1.194,clarium.global.ssl.fastly.net
34.195.69.171,fw.adsafeprotected.com
34.196.170.105,pixel.adsafeprotected.com
208.185.50.36,beacon-us-iad3.rubiconproject.com
198.148.27.140,bh.contextweb.com
3.14.227.65,s.thebrighttag.com
13.225.212.77,yummy.consumable.com
13.226.39.17,ca-times.brightspotcdn.com
13.226.39.17,ca-times.brightspotcdn.com
13.226.39.17,ca-times.brightspotcdn.com
172.217.10.106,addons-pa.clients6.google.com
35.186.236.204,mpp.vindicosuite.com
34.192.170.136,sync.intentiq.com
52.44.5.76,dt.adsafeprotected.com
68.67.179.164,ib.adnxs.com
199.127.207.7,sync.1rx.io
208.185.50.80,pixel.rubiconproject.com
13.78.180.90,array805.prod.do.dsp.mp.microsoft.com
13.225.62.84,cm.smadex.com
54.36.123.232,id5-sync.com
34.239.215.228,match.rundsp.com
13.225.212.77,yummy.consumable.com
23.48.215.232,api.deezer.com
52.114.77.34,self.events.data.microsoft.com
23.40.30.29,us-ivt.np.community.playstation.net
23.40.30.89,communities.api.playstation.com
52.35.252.98,ekg.riotgames.com
172.217.3.106,safebrowsing.googleapis.com
13.107.42.12,d.docs.live.net
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
52.114.32.25,v10.events.data.microsoft.com
23.40.30.29,asm.np.community.playstation.net
23.40.30.29,us-ivt.np.community.playstation.net
52.218.216.251,ubp-common-us-prod.s3.amazonaws.com
52.218.221.216,s3-us-west-2.amazonaws.com
68.67.179.90,nym1-ib.adnxs.com
52.179.129.229,arc.msn.com
31.13.66.35,www.facebook.com
52.87.16.138,logx.optimizely.com
104.83.12.27,steam-chat.com
52.87.16.138,logx.optimizely.com
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
104.17.209.9,api.golinkapi.com
17.248.135.175,gateway.icloud.com
104.83.12.27,steam-chat.com
17.248.132.189,gateway.icloud.com
13.225.59.45,api-v2.soundcloud.com
104.91.190.48,cl2.apple.com
17.42.254.13,p14-buy.itunes.apple.com
