59.111.0.200,mumu.nie.netease.com
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
13.107.3.128,config.edge.skype.com
68.67.160.24,nym1-ib.adnxs.com
13.107.3.128,config.edge.skype.com
68.67.160.24,nym1-ib.adnxs.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
185.167.164.51,c1.adform.net
104.72.77.16,pic3.zhimg.com
23.246.7.182,occ-0-1001-2430.1.nflxso.net
52.51.164.52,www.netflix.com
52.51.164.52,www.netflix.com
68.67.178.15,ib.adnxs.com
13.107.42.12,d.docs.live.net
3.84.65.95,www.altium.com
35.160.15.72,ekg.riotgames.com
52.35.183.78,ekg.riotgames.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
104.17.174.5,lol.secure.dyn.riotcdn.net
13.225.212.114,js.prd.fusionapi.autodesk.com
24.105.29.76,telemetry-in.battle.net
104.18.96.33,acs.leagueoflegends.com
17.132.6.78,us-east-1.blobstore.apple.com
151.101.250.167,gql.twitch.tv
17.248.135.118,edge-085.usnyc.icloud-content.com
151.101.202.214,static-cdn.jtvnw.net
13.107.42.12,dm2305.storage.live.com
23.208.43.170,www.zhihu.com
17.248.187.69,gateway.icloud.com
118.89.204.190,video.zhihu.com
118.89.204.190,video.zhihu.com
52.109.6.6,roaming.officeapps.live.com
47.246.24.230,unpkg.zhimg.com
52.35.183.78,ekg.riotgames.com
23.208.43.170,lens.zhihu.com
172.217.11.46,clients4.google.com
13.107.42.12,d.docs.live.net
172.217.11.46,clients4.google.com
52.109.2.16,officeclient.microsoft.com
52.109.2.16,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
23.248.167.29,vdn3.vzuu.com
52.109.4.5,mrodevicemgr.officeapps.live.com
172.217.11.46,clients4.google.com
23.59.156.105,officecdn.microsoft.com
107.155.58.98,s1.url.cn
23.246.7.183,ipv4-c355-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
203.205.254.34,web.qun.qq.com
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
45.57.91.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
52.35.183.78,ekg.riotgames.com
52.114.75.78,mobile.pipe.aria.microsoft.com
52.114.75.78,mobile.pipe.aria.microsoft.com
31.13.66.4,www.messenger.com
52.217.10.84,a360-statusdashboard.s3.amazonaws.com
13.225.62.53,ui-dls360.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.10.46,i9.ytimg.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.42.12,d.docs.live.net
104.25.138.23,manganelo.com
13.107.136.9,nyu0-my.sharepoint.com
