23.21.193.169,duckduckgo.com
96.6.27.66,api1.origin.com
151.101.32.193,imgur.com
151.101.200.193,s.imgur.com
13.107.42.12,d.docs.live.net
151.101.200.193,api.imgur.com
23.111.9.35,use.fontawesome.com
151.101.1.208,sdk.iad-01.braze.com
35.153.150.137,rt.imgur.com
35.153.150.137,rt.imgur.com
20.36.219.28,activity.windows.com
172.217.10.110,sb-ssl.google.com
52.19.12.108,push.prod.netflix.com
31.13.66.19,scontent.xx.fbcdn.net
68.67.179.90,ib.adnxs.com
68.67.179.90,ib.adnxs.com
172.253.122.188,mtalk.google.com
151.101.1.194,clarium.global.ssl.fastly.net
18.214.24.118,protected-by.clarium.io
72.21.206.141,aax-us-east.amazon-adsystem.com
208.185.50.26,beacon-us-iad3.rubiconproject.com
72.21.206.141,aax.amazon-adsystem.com
107.178.246.49,tapestry.tapad.com
172.253.122.188,mtalk.google.com
52.22.170.95,ads.everesttech.net
104.244.37.20,dt.adsafeprotected.com
104.106.67.86,dco-assets.everestads.net
35.161.26.223,video-edge-41682c.pdx01.abs.hls.ttvnw.net
172.217.6.202,ajax.googleapis.com
31.13.66.35,www.facebook.com
72.21.206.141,aax-us-east.amazon-adsystem.com
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
31.13.66.19,static.xx.fbcdn.net
31.13.66.19,static.xx.fbcdn.net
31.13.66.19,static.xx.fbcdn.net
35.153.150.137,rt.imgur.com
35.153.150.137,rt.imgur.com
35.153.150.137,rt.imgur.com
96.6.24.64,us-prof.np.community.playstation.net
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
172.217.12.170,firebasestorage.googleapis.com
172.253.122.188,mtalk.google.com
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
151.101.66.167,static.twitchcdn.net
17.248.135.142,p42-keyvalueservice.icloud.com
104.244.37.20,dt.adsafeprotected.com
209.15.224.17,use-tor.adsrvr.org
35.211.229.244,fk.unicornengine.net
8.43.72.44,beacon-us-iad2.rubiconproject.com
23.44.160.153,cdn.doubleverify.com
23.44.160.153,cdn.doubleverify.com
204.154.111.131,rtb2.doubleverify.com
162.159.130.233,discordapp.com
204.154.111.131,tps604.doubleverify.com
204.154.111.131,tps604.doubleverify.com
68.67.179.90,ib.adnxs.com
68.67.179.90,ib.adnxs.com
18.206.31.91,s.update.rubiconproject.com
18.204.190.178,s.adzmath.com
13.225.212.31,d.agkn.com
34.233.34.112,bofa.demdex.net
104.67.19.143,c.betrad.com
23.44.160.29,code.createjs.com
204.154.111.131,tps30.doubleverify.com
34.68.125.225,rpc.znly.co
104.17.209.9,api.golinkapi.com
204.154.111.131,tps.doubleverify.com
18.204.190.178,s.adzmath.com
18.204.190.178,s.adzmath.com
17.134.127.249,gs-loc.apple.com
3.134.55.82,geo.moatads.com
52.114.77.33,mobile.pipe.aria.microsoft.com
