8.240.125.252,cdn.mos.cms.futurecdn.net
13.107.42.12,d.docs.live.net
172.217.3.99,fonts.gstatic.com
52.27.175.219,keystone.zillow.com
52.35.43.36,proxy.zillowapi.com
172.217.6.194,googleads.g.doubleclick.net
13.225.212.47,photos.zillowstatic.com
13.225.212.47,photos.zillowstatic.com
18.206.7.161,m.dlx.addthis.com
18.206.7.161,m.dlx.addthis.com
216.58.217.206,www.youtube.com
69.94.68.21,uib.ff.avast.com
52.25.170.114,ekg.riotgames.com
130.211.26.229,s.joinhoney.com
172.217.11.65,lh3.googleusercontent.com
13.225.62.59,analytics.digicomm.home.nyu.edu
96.6.24.89,xp.apple.com
23.43.59.169,play.itunes.apple.com
216.165.46.10,newclasses.nyu.edu
172.217.10.3,maps.gstatic.com
216.165.47.16,shibboleth.nyu.edu
172.217.14.78,clients1.google.com
54.236.84.111,f-log-extension.grammarly.io
35.186.220.184,collector-pxhyx10rg3.px-cloud.net
104.119.189.80,resources.tidal.com
158.69.228.158,funnyjunk.com
172.217.5.206,s.ytimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
173.194.207.109,imap.gmail.com
52.25.170.114,ekg.riotgames.com
216.165.46.10,newclasses.nyu.edu
172.217.222.108,imap.gmail.com
52.109.88.38,nexus.officeapps.live.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.17.143.21,loadouts.na2.leagueoflegends.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
52.25.170.114,ekg.riotgames.com
17.248.187.15,gateway-carry.icloud.com
52.27.175.219,keystone.zillow.com
68.67.179.91,nym1-ib.adnxs.com
68.67.179.91,nym1-ib.adnxs.com
185.167.164.43,c1.adform.net
68.67.179.113,ib.adnxs.com
35.245.104.119,static.hotjar.com
96.6.27.66,api1.origin.com
23.43.59.138,steamcommunity-a.akamaihd.net
104.69.91.157,steamcommunity.com
104.69.91.157,steamcommunity.com
147.75.96.23,vc.hotjar.io
52.200.224.11,adult.yourblocksite.com
99.84.32.82,media.cheggcdn.com
52.202.107.102,srv-2020-03-04-02.pixel.parsely.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.65.153,slack.com
148.153.64.18,message.bilibili.com
104.16.1.92,na.ledge.leagueoflegends.com
23.15.197.57,steamcdn-a.akamaihd.net
148.153.64.18,api.vc.bilibili.com
34.223.233.223,video-edge-41682c.pdx01.abs.hls.ttvnw.net
52.179.129.229,arc.msn.com
99.84.32.105,d2vlcm61l7u1fs.cloudfront.net
13.226.39.14,ipm-release.cengage.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.121.97,www.webassign.net
104.17.209.240,zn4sdbrpmkpvwjafx-cengage.siteintercept.qualtrics.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
23.2.40.27,init.itunes.apple.com
23.43.59.146,se2.itunes.apple.com
23.43.59.209,play.itunes.apple.com
17.120.254.31,carrierbundle.itunes.apple.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
203.205.248.47,203.205.248.47
13.107.3.128,config.edge.skype.com
104.196.12.179,eg.poly.edu
17.248.187.201,p42-keyvalueservice.icloud.com
172.217.7.10,www.googleapis.com
172.217.7.10,www.googleapis.com
172.217.7.10,www.googleapis.com
172.217.7.10,www.googleapis.com
172.217.7.10,www.googleapis.com
172.217.7.10,www.googleapis.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
17.248.187.76,p42-keyvalueservice.icloud.com
96.7.64.12,settings-ssl.xboxlive.com
162.159.129.233,discordapp.com
162.159.130.233,discordapp.com
104.16.121.97,www.webassign.net
52.114.36.3,v10.events.data.microsoft.com
104.16.121.97,www.webassign.net
13.107.42.12,d.docs.live.net
13.226.39.21,wa-client-eventing-production01.cengage.info
96.7.64.152,us-prof.np.community.playstation.net
104.16.37.99,data.riotgames.com
172.217.12.133,mail.google.com
31.13.66.4,www.messenger.com
104.16.0.92,na.ledge.leagueoflegends.com
23.15.197.80,steamcdn-a.akamaihd.net
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.47,dealer.spotify.com
31.13.71.52,i.instagram.com
31.13.71.52,i.instagram.com
31.13.71.3,edge-mqtt.facebook.com
31.13.66.4,graph.facebook.com
70.37.74.6,checkappexec.microsoft.com
162.159.130.232,media.discordapp.net
52.25.170.114,ekg.riotgames.com
23.62.132.253,bag.itunes.apple.com
17.248.135.176,gateway.icloud.com
17.248.187.143,gateway.icloud.com
162.159.133.233,discordapp.com
52.179.129.229,arc.msn.com
52.25.170.114,ekg.riotgames.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
35.161.179.71,ekg.riotgames.com
104.85.170.42,bag.itunes.apple.com
68.67.181.207,nym1-ib.adnxs.com
68.67.181.207,nym1-ib.adnxs.com
185.167.164.49,c1.adform.net
68.67.179.113,ib.adnxs.com
35.245.134.230,static.hotjar.com
35.245.181.246,script.hotjar.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
162.159.134.233,discordapp.com
104.16.122.97,www.webassign.net
13.226.39.26,wa-client-eventing-production01.cengage.info
99.84.46.165,slack.com
17.57.144.52,courier.push.apple.com
13.107.136.9,nyu0-my.sharepoint.com
52.25.170.114,ekg.riotgames.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.48.35.66,www.netflix.com
172.253.63.188,mtalk.google.com
40.90.22.191,login.live.com
23.43.56.193,play.itunes.apple.com
104.16.1.92,na.ledge.leagueoflegends.com
104.107.127.223,presence.gog.com
172.253.63.188,mtalk.google.com
3.224.214.85,rtm.tnt-ea.com
31.13.71.52,graph.instagram.com
13.107.42.12,d.docs.live.net
13.225.212.51,snippets.cdn.mozilla.net
13.225.212.51,snippets.cdn.mozilla.net
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
172.217.9.238,translate.google.com
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
35.161.179.71,ekg.riotgames.com
23.51.179.110,www1.nyc.gov
172.217.7.10,translate.googleapis.com
172.217.10.68,www.google.com
52.114.6.46,v10.events.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
173.194.61.71,r1---sn-ab5l6nzk.googlevideo.com
173.194.61.71,r1---sn-ab5l6nzk.googlevideo.com
35.161.179.71,ekg.riotgames.com
17.167.225.11,query.ess.apple.com
13.107.255.16,peer4-ash.msedge.net
13.107.246.254,tring.clo.footprintdns.com
52.114.88.20,mobile.pipe.aria.microsoft.com
52.114.88.20,mobile.pipe.aria.microsoft.com
204.79.197.254,a-ring.msedge.net
204.79.197.222,fp.msedge.net
35.164.116.34,ekg.riotgames.com
180.169.106.30,casper.saschina.org
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
35.161.179.71,ekg.riotgames.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
74.119.119.151,bidder.criteo.com
104.196.12.179,eg.poly.edu
52.179.129.229,arc.msn.com
68.67.181.207,nym1-ib.adnxs.com
68.67.181.207,nym1-ib.adnxs.com
104.85.170.42,radio-activity.itunes.apple.com
185.167.164.49,c1.adform.net
68.67.179.113,ib.adnxs.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
20.36.219.28,activity.windows.com
148.153.64.18,message.bilibili.com
99.84.46.165,slack.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.42,wirelessdevicestats.googleapis.com
35.186.224.53,spclient.wg.spotify.com
162.159.135.233,discordapp.com
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
23.51.179.110,www1.nyc.gov
148.153.64.18,api.vc.bilibili.com
