17.132.29.71,us-east-1.blobstore.apple.com
13.107.42.12,d.docs.live.net
17.248.135.118,edge-085.usnyc.icloud-content.com
34.226.225.83,datarouter.ol.epicgames.com
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
17.248.135.118,edge-085.usnyc.icloud-content.com
17.57.12.11,gsp64-ssl.ls.apple.com
23.40.28.235,www.naver.com
96.6.24.104,ssl.pstatic.net
96.6.25.209,pm.pstatic.net
96.6.25.209,s.pstatic.net
20.36.218.63,settings-win.data.microsoft.com
52.114.75.78,v10.events.data.microsoft.com
175.158.5.161,castbox.shopping.naver.com
210.89.170.12,nv.veta.naver.com
96.6.25.209,s.pstatic.net
104.17.209.9,api.golinkapi.com
210.89.170.12,nv.veta.naver.com
75.2.53.94,capi.grammarly.com
210.89.170.12,nv.veta.naver.com
210.89.171.11,l.www.naver.com
125.209.234.94,ac.search.naver.com
210.89.171.11,l.www.naver.com
31.13.66.19,scontent.xx.fbcdn.net
203.104.164.17,cc.naver.com
125.209.230.167,search.naver.com
20.36.219.28,activity.windows.com
96.6.24.104,ssl.pstatic.net
13.107.42.12,d.docs.live.net
104.110.156.58,search.like.naver.com
104.110.156.58,search.like.naver.com
104.110.156.58,search.like.naver.com
125.209.226.239,static.nid.naver.com
125.209.210.52,er.search.naver.com
125.209.226.239,static.nid.naver.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
8.36.113.137,events.gfe.nvidia.com
184.28.190.8,resources.tidal.com
17.253.97.207,mesu.apple.com
17.248.135.92,gateway.icloud.com
31.13.66.19,scontent.xx.fbcdn.net
17.249.121.246,api-glb-nyc.smoot.apple.com
104.17.89.51,www.change.org
172.217.10.10,chat-pa.clients6.google.com
104.17.88.51,www.change.org
172.217.10.10,chat-pa.clients6.google.com
104.16.31.91,na.ledge.leagueoflegends.com
172.217.10.78,www.google-analytics.com
40.67.188.15,presence-heartbeat.xboxlive.com
74.125.192.157,stats.g.doubleclick.net
54.172.134.242,logx.optimizely.com
204.79.197.200,bat.bing.com
172.217.11.34,googleads.g.doubleclick.net
31.13.71.36,www.facebook.com
172.217.6.205,accounts.google.com
172.217.10.68,www.google.com
52.218.236.179,ubp-common-us-prod.s3.amazonaws.com
52.218.235.40,s3-us-west-2.amazonaws.com
172.217.12.142,www.google-analytics.com
13.107.136.9,nyu0-my.sharepoint.com
52.208.192.84,slug.onelink.me
13.226.39.16,streamapi.majorleaguegaming.com
52.114.158.92,v20.events.data.microsoft.com
149.56.126.48,funnyjunk.com
104.18.45.69,bigmemes.funnyjunk.com
104.18.44.69,memeworld.funnyjunk.com
13.226.39.16,streamapi.majorleaguegaming.com
17.248.187.68,p14-keyvalueservice.icloud.com
13.226.39.16,streamapi.majorleaguegaming.com
13.226.39.16,streamapi.majorleaguegaming.com
23.78.182.45,www.autodesk.com
52.179.129.229,arc.msn.com
17.248.135.206,api.apple-cloudkit.com
148.153.38.118,api.vc.bilibili.com
109.244.153.16,ssl.ptlogin2.qq.com
101.89.38.41,ptlogin2.qzone.qq.com
172.217.12.170,maps.googleapis.com
61.129.7.12,h5.qzone.qq.com
23.40.28.198,cdn.optimizely.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
104.196.12.179,eg.poly.edu
23.78.199.149,a11391265293.cdn.optimizely.com
68.67.179.121,nym1-ib.adnxs.com
68.67.179.121,nym1-ib.adnxs.com
185.167.164.49,c1.adform.net
68.67.160.76,ib.adnxs.com
52.109.12.5,www.onenote.com
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
157.55.109.226,apis.live.net
157.55.109.226,apis.live.net
203.243.39.11,www.safedriving.or.kr
203.243.39.11,www.safedriving.or.kr
203.243.39.11,www.safedriving.or.kr
203.243.39.11,www.safedriving.or.kr
203.243.39.11,www.safedriving.or.kr
203.243.39.11,www.safedriving.or.kr
203.217.239.16,dapi.kakao.com
157.185.170.144,t1.daumcdn.net
27.0.237.144,s1.daumcdn.net
13.225.62.63,api-cache.blizzcon.com
203.217.238.40,i1.daumcdn.net
203.217.239.16,dapi.kakao.com
24.105.29.76,telemetry-in.battle.net
203.133.172.18,map2.daumcdn.net
27.0.237.155,map0.daumcdn.net
27.0.237.155,map0.daumcdn.net
203.133.172.18,map2.daumcdn.net
27.0.237.155,map0.daumcdn.net
27.0.237.155,map1.daumcdn.net
203.133.172.18,map3.daumcdn.net
27.0.237.155,map1.daumcdn.net
27.0.237.155,map0.daumcdn.net
203.133.172.18,map3.daumcdn.net
27.0.237.155,map1.daumcdn.net
203.133.172.18,map2.daumcdn.net
27.0.237.155,map1.daumcdn.net
203.133.172.18,map3.daumcdn.net
203.133.172.18,map3.daumcdn.net
203.133.172.18,map2.daumcdn.net
13.226.37.39,d3cv4a9a9wh0bt.cloudfront.net
148.153.38.118,message.bilibili.com
204.79.197.200,www.bing.com
172.217.11.10,chat-pa.clients6.google.com
172.217.11.10,chat-pa.clients6.google.com
40.91.72.120,presence-heartbeat.xboxlive.com
20.36.218.208,presence-heartbeat.xboxlive.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings.data.microsoft.com
184.28.190.8,resources.tidal.com
216.165.47.12,www.nyu.edu
40.121.3.131,wdcp.microsoft.com
157.185.163.114,p2.music.126.net
157.185.163.114,p2.music.126.net
184.86.88.32,m8.music.126.net
59.111.239.62,httpdns.n.netease.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
13.107.42.12,d.docs.live.net
203.217.239.16,dapi.kakao.com
27.0.237.144,s1.daumcdn.net
157.185.163.114,p3.music.126.net
172.217.10.238,play.google.com
13.107.136.9,nyu0-my.sharepoint.com
204.79.197.200,www.bing.com
