23.43.56.192,steamcommunity-a.akamaihd.net
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
40.90.22.192,login.live.com
40.90.22.192,login.live.com
52.34.152.98,ekg.riotgames.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
20.36.219.28,activity.windows.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.107.42.12,bn1301.storage.live.com
172.217.9.229,mail.google.com
17.142.171.5,gsp64-ssl.ls.apple.com
52.114.132.23,mobile.pipe.aria.microsoft.com
52.114.132.23,mobile.pipe.aria.microsoft.com
13.107.42.254,l-ring.msedge.net
104.46.111.78,3fb46c97d611138b3009302d31d9f76d.clo.footprintdns.com
13.107.42.14,rum14.perf.linkedin.com
204.79.197.222,fp.msedge.net
31.13.66.4,www.messenger.com
198.27.121.189,bigcdnjs4.funnyjunk.com
52.114.32.7,mobile.pipe.aria.microsoft.com
20.36.219.28,activity.windows.com
20.36.219.28,activity.windows.com
17.248.187.204,gateway.icloud.com
17.248.135.141,gateway.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
137.221.106.102,us.battle.net
198.27.121.189,bigcdnjs4.funnyjunk.com
52.34.152.98,ekg.riotgames.com
104.17.143.21,loadouts.na2.leagueoflegends.com
52.179.129.229,arc.msn.com
13.226.39.48,api-cache.blizzcon.com
148.153.38.118,api.bilibili.com
164.52.33.179,data.bilibili.com
172.217.11.42,appsitemsuggest-pa.clients6.google.com
172.217.10.138,appsitemsuggest-pa.clients6.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
52.89.126.68,ekg.riotgames.com
24.105.29.76,telemetry-in.battle.net
52.34.152.98,ekg.riotgames.com
13.107.42.12,d.docs.live.net
13.226.31.153,slack.com
45.57.90.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
192.99.103.81,bigcdnjs2.funnyjunk.com
35.186.224.47,dealer.spotify.com
23.77.240.204,api1.origin.com
13.88.181.35,spoc.norton.com
13.107.3.128,config.edge.skype.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
104.196.12.179,eg.poly.edu
3.230.98.22,protected-by.clarium.io
68.67.160.186,nym1-ib.adnxs.com
68.67.160.186,nym1-ib.adnxs.com
34.194.140.102,magnetic.t.domdex.com
162.125.36.1,d.dropbox.com
185.167.164.39,c1.adform.net
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
68.67.179.122,ib.adnxs.com
104.107.127.223,presence.gog.com
162.125.36.1,d.dropbox.com
23.21.193.169,duckduckgo.com
162.125.36.1,d.dropbox.com
140.177.18.77,www.wolframalpha.com
162.125.36.1,d.dropbox.com
162.125.36.1,d.dropbox.com
140.177.18.77,www.wolframalpha.com
140.177.18.77,www.wolframalpha.com
162.125.36.1,d.dropbox.com
13.225.66.77,addons-ecs.forgesvc.net
13.225.66.77,addons-ecs.forgesvc.net
184.86.88.32,m8.music.126.net
157.185.163.114,p2.music.126.net
59.111.239.62,httpdns.n.netease.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
157.185.163.114,p1.music.126.net
23.77.240.204,api1.origin.com
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p3.music.126.net
