13.74.179.117,slscr.update.microsoft.com
40.70.224.144,fe2cr.update.microsoft.com
172.217.12.193,apidata.googleusercontent.com
162.159.129.233,discordapp.com
31.13.66.10,edge-mqtt.facebook.com
17.57.144.53,courier.push.apple.com
23.77.242.14,px.moatads.com
52.114.32.24,v10.events.data.microsoft.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
35.160.15.72,ekg.riotgames.com
52.114.32.24,v10.events.data.microsoft.com
17.142.169.199,gsp64-ssl.ls.apple.com
106.75.240.150,live.bilibili.com
52.179.129.229,arc.msn.com
40.69.220.46,geo.prod.do.dsp.mp.microsoft.com
31.13.66.10,edge-mqtt.facebook.com
23.75.184.181,kv801.prod.do.dsp.mp.microsoft.com
23.75.184.181,cp801.prod.do.dsp.mp.microsoft.com
52.114.128.10,v20.events.data.microsoft.com
35.164.116.34,ekg.riotgames.com
52.114.32.24,v10.events.data.microsoft.com
172.217.10.68,www.google.com
52.218.244.250,ubp-common-us-prod.s3.amazonaws.com
151.101.1.195,forms.gle
52.218.196.200,s3-us-west-2.amazonaws.com
173.194.197.94,beacons2.gvt2.com
172.217.11.14,docs.google.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
172.217.6.238,clients1.google.com
35.172.89.115,engineering.nyu.edu
35.172.89.115,engineering.nyu.edu
35.172.89.115,engineering.nyu.edu
35.172.89.115,engineering.nyu.edu
35.172.89.115,engineering.nyu.edu
172.217.12.142,www.google-analytics.com
104.107.183.156,cloud.typography.com
31.13.66.19,connect.facebook.net
148.153.38.118,api.vc.bilibili.com
31.13.66.35,www.facebook.com
216.165.47.10,nyu.edu
216.165.47.12,www.nyu.edu
13.225.62.53,tag.getdrip.com
104.17.143.21,loadouts.na2.leagueoflegends.com
207.189.124.57,act.online.engineering.nyu.edu
52.114.32.24,v10.events.data.microsoft.com
13.226.37.16,d14jnfavjicsbe.cloudfront.net
35.172.89.115,engineering.nyu.edu
31.13.66.174,www.instagram.com
52.109.6.6,roaming.officeapps.live.com
13.107.42.12,d.docs.live.net
13.107.3.128,edge.skype.com
52.109.6.6,roaming.officeapps.live.com
18.232.233.193,aascraperservice.prod.us-east-1.scraper.assistant.a2z.com
54.239.21.125,identity.browserapps.amazon.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
31.13.71.3,edge-mqtt.facebook.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
