208.89.12.91,accdn.lpsnmedia.net
54.86.243.162,owserv.aniview.com
13.226.39.31,content.overwolf.com
13.226.39.31,content.overwolf.com
13.226.39.31,content.overwolf.com
52.201.9.133,ads.adaptv.advertising.com
199.127.204.100,tag.1rx.io
52.87.38.120,ipnvi-v83it.ads.tremorhub.com
104.36.115.111,hbopenbid.pubmatic.com
52.201.9.133,ads.adaptv.advertising.com
52.207.80.222,targeting.unrulymedia.com
199.127.204.100,tag.1rx.io
23.77.241.21,vpaid.pubmatic.com
199.187.193.140,www9.smartadserver.com
23.77.241.77,as-sec.casalemedia.com
159.89.38.128,vast.doubleverify.com
172.217.12.162,cm.g.doubleclick.net
209.204.233.110,a3538.casalemedia.com
74.6.138.75,pr-bh.ybp.yahoo.com
52.205.38.105,prebid.technoratimedia.com
34.197.249.209,pixel.advertising.com
68.67.160.134,nym1-ib.adnxs.com
151.101.2.49,sync-tm.everesttech.net
52.45.33.138,ups.analytics.yahoo.com
3.93.252.59,match.adsrvr.org
23.111.8.18,vpaid.doubleverify.com
23.77.241.5,acdn.adnxs.com
199.127.207.6,sync.1rx.io
23.77.242.14,svastx.moatads.com
18.211.147.11,vtrk.doubleverify.com
104.126.114.102,cdn.doubleverify.com
23.77.241.21,ads.pubmatic.com
204.13.197.86,rb.adnxs.com
34.225.203.85,rtr.innovid.com
23.77.241.63,s-static.innovid.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
54.83.139.94,geo.moatads.com
52.203.189.247,acp-ss-ue1.adobe.io
205.185.216.42,servedby.flashtalking.com
205.185.216.42,servedby.flashtalking.com
104.36.115.110,vid.pubmatic.com
23.77.242.14,px.moatads.com
18.208.82.216,spixel.adsafeprotected.com
172.217.12.142,www.google-analytics.com
23.193.219.220,aktrack.pubmatic.com
23.193.219.220,aktrack.pubmatic.com
104.126.114.102,cdn3.doubleverify.com
13.225.62.126,ssor.platform.californiatimes.com
13.226.39.12,dss.platform.californiatimes.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
23.77.241.63,s-static.innovid.com
23.77.242.14,px.moatads.com
52.202.116.134,s.innovid.com
52.202.116.134,s.innovid.com
52.0.185.54,ag.innovid.com
52.0.185.54,ag.innovid.com
18.205.118.151,mb.moatads.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
35.244.140.139,playwire-d.openx.net
104.36.115.111,hbopenbid.pubmatic.com
52.86.83.182,bktr2-06hdl.ads.tremorhub.com
52.200.113.94,track1.aniview.com
68.67.179.164,nym1-ib.adnxs.com
68.67.179.164,nym1-ib.adnxs.com
13.107.136.9,nyu0-my.sharepoint.com
185.167.164.43,c1.adform.net
68.67.181.211,ib.adnxs.com
148.153.64.18,api.bilibili.com
104.42.39.77,api.momentumdash.com
31.13.66.35,www.facebook.com
31.13.66.19,static.xx.fbcdn.net
31.13.66.19,static.xx.fbcdn.net
18.211.147.11,vtrk.doubleverify.com
205.185.216.10,cdn.flashtalking.com
104.126.114.7,bayerusftvideo830745064851.s.moatpixel.com
104.126.114.7,bayerusftvideo830745064851.s.moatpixel.com
104.126.114.7,bayerusftvideo830745064851.s.moatpixel.com
205.185.216.42,servedby.flashtalking.com
23.193.218.108,stat.flashtalking.com
13.225.62.57,secure-gl.imrworldwide.com
52.200.113.94,track1.aniview.com
52.206.247.174,insight.adsrvr.org
199.127.204.110,a-iad.1rx.io
204.154.111.115,tps.doubleverify.com
199.127.204.110,a-iad.1rx.io
50.115.92.13,use-va1.adsrvr.org
199.127.204.110,a-iad.1rx.io
199.127.204.110,a-iad.1rx.io
3.210.145.129,adrta.com
104.81.12.105,sb.scorecardresearch.com
205.185.216.10,cdn.flashtalking.com
172.217.12.142,www.google-analytics.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
192.184.68.139,pixel.quantserve.com
130.211.115.4,data.ad-score.com
13.225.62.27,pushkin-cf.tidal.com
104.126.114.7,bayerusftvideo830745064851.s.moatpixel.com
192.184.68.139,pixel.quantserve.com
23.77.242.14,px.moatads.com
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.28,video-iad3-1.xx.fbcdn.net
130.211.115.4,data.ad-score.com
31.13.66.4,edge-chat.facebook.com
192.35.249.124,search.spotxchange.com
13.78.168.230,sls.update.microsoft.com
192.35.249.120,sync.search.spotxchange.com
52.86.83.182,bktr2-06hdl.ads.tremorhub.com
192.35.249.111,event.spotxchange.com
170.76.216.244,usersync.videoamp.com
52.1.232.25,pxl.iqm.com
192.35.249.111,event.spotxchange.com
192.35.249.111,event.spotxchange.com
104.81.12.105,sb.scorecardresearch.com
104.81.12.105,sb.scorecardresearch.com
63.34.192.46,ad.sxp.smartclip.net
13.78.168.230,sls.update.microsoft.com
104.81.12.105,sb.scorecardresearch.com
52.200.113.94,track1.aniview.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.201.97.41,partners.tremorhub.com
3.91.171.232,kinesis.us-east-1.amazonaws.com
157.55.212.205,checkappexec.microsoft.com
52.114.6.46,v10.events.data.microsoft.com
151.101.202.248,i.scdn.co
23.193.218.108,stat.flashtalking.com
52.206.247.174,insight.adsrvr.org
23.55.235.72,upos-hz-mirrorakam.akamaized.net
52.200.113.94,track1.aniview.com
172.217.12.138,chat-pa.clients6.google.com
172.217.12.138,chat-pa.clients6.google.com
35.227.229.34,api.bounceexchange.com
35.190.62.200,events.bouncex.net
164.52.34.38,data.bilibili.com
116.67.63.33,mwpt.mma.go.kr
23.193.218.108,stat.flashtalking.com
23.77.242.14,px.moatads.com
52.206.247.174,insight.adsrvr.org
199.127.204.110,a-iad.1rx.io
52.200.113.94,track1.aniview.com
13.107.42.12,bn1305.storage.live.com
