104.18.122.104,asia.tas.riotgames.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.9.246,i.ytimg.com
52.34.152.98,ekg.riotgames.com
17.253.97.203,mesu.apple.com
172.217.12.142,tools.google.com
172.217.12.170,home-devices.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.3.99,www.gstatic.com
17.248.135.80,gateway.icloud.com
203.205.219.229,client.show.qq.com
35.186.224.53,spclient.wg.spotify.com
172.217.6.226,ade.googlesyndication.com
104.16.35.99,data.riotgames.com
148.153.64.18,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
17.248.135.80,gateway.icloud.com
104.16.0.92,na.ledge.leagueoflegends.com
52.4.201.142,sirius.mwbsys.com
17.248.135.80,gateway.icloud.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
17.248.135.80,gateway.icloud.com
68.67.160.25,nym1-ib.adnxs.com
180.169.106.30,casper.saschina.org
68.67.160.25,nym1-ib.adnxs.com
185.167.164.51,c1.adform.net
104.17.209.9,api.golinkapi.com
68.67.179.164,ib.adnxs.com
151.101.1.253,t.wayfair.com
17.111.103.19,humb.apple.com
17.248.135.80,gateway.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
216.165.46.10,newclasses.nyu.edu
104.17.209.9,api.golinkapi.com
13.225.65.153,slack.com
52.179.129.229,arc.msn.com
52.40.135.92,ekg.riotgames.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
52.109.88.39,nexus.officeapps.live.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
35.186.224.53,spclient.wg.spotify.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
162.159.134.233,discordapp.com
23.98.151.170,checkappexec.microsoft.com
23.78.208.56,init.itunes.apple.com
17.248.135.80,gateway.icloud.com
23.193.217.205,xp.apple.com
17.248.135.80,gateway.icloud.com
17.248.135.202,metrics.icloud.com
35.186.224.47,dealer.spotify.com
104.40.91.191,smartscreen-prod.microsoft.com
119.3.65.116,message.bilibili.com
17.137.166.4,gsa.apple.com
120.92.174.135,api.vc.bilibili.com
17.248.187.197,api.apple-cloudkit.com
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.19,scontent.xx.fbcdn.net
17.253.97.203,mesu.apple.com
120.92.174.135,api.vc.bilibili.com
172.217.12.206,redirector.gvt1.com
173.194.131.136,r2---sn-ab5l6n6l.gvt1.com
13.225.62.56,api-cache.blizzcon.com
151.101.202.167,gql.twitch.tv
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
104.97.145.219,api.steampowered.com
172.217.3.106,telephonyspamprotect-pa.googleapis.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
