205.180.85.140,eyeota-sync.dotomi.com
3.15.119.113,s.thebrighttag.com
68.67.160.74,ib.adnxs.com
156.154.200.36,aa.agkn.com
18.213.127.229,x.dlx.addthis.com
34.232.140.51,tag.crsspxl.com
40.117.168.241,ns.ixiaa.com
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
209.15.36.33,pixel-sync.sitescout.com
52.45.231.117,track1.aniview.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
104.114.165.191,ubiservices.cdn.ubi.com
172.217.10.226,adservice.google.com
54.175.87.114,ups.analytics.yahoo.com
54.175.87.114,ups.analytics.yahoo.com
23.10.89.229,stags.bluekai.com
208.68.39.56,vast.doubleverify.com
172.217.10.226,pagead2.googlesyndication.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
23.43.255.148,cdn.doubleverify.com
18.235.25.252,t.myvisualiq.net
54.210.216.147,vtrk.doubleverify.com
52.72.58.48,ads.everesttech.net
172.217.10.14,gcdn.2mdn.net
34.96.105.8,tr.blismedia.com
52.201.166.40,magnetic.t.domdex.com
35.207.24.140,rtb.mfadsrvr.com
23.43.254.235,px.moatads.com
104.20.114.14,prod-01.escapefromtarkov.com
173.194.131.139,r5---sn-ab5l6n6l.c.2mdn.net
104.106.67.86,dco-assets.everestads.net
104.36.115.110,vid.pubmatic.com
3.20.15.177,mb.moatads.com
23.193.219.220,aktrack.pubmatic.com
23.193.219.220,aktrack.pubmatic.com
23.43.255.148,cdn3.doubleverify.com
18.208.78.141,insight.adsrvr.org
151.139.128.10,cdn.intergi.com
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
104.20.114.14,prod-01.escapefromtarkov.com
172.217.10.226,pagead2.googlesyndication.com
35.244.140.139,playwire-d.openx.net
104.36.115.111,hbopenbid.pubmatic.com
18.235.125.177,bktr2-06hdl.ads.tremorhub.com
173.194.131.139,r5---sn-ab5l6n6l.c.2mdn.net
173.194.131.139,r5---sn-ab5l6n6l.c.2mdn.net
192.35.249.124,search.spotxchange.com
148.153.64.18,api.bilibili.com
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
23.43.252.201,cdn.spotxcdn.com
52.1.232.25,pxl.iqm.com
216.239.32.21,x.mdhv.io
170.76.216.244,usersync.videoamp.com
192.35.249.127,sync.search.spotxchange.com
192.35.249.111,event.spotxchange.com
192.35.249.111,event.spotxchange.com
192.35.249.111,event.spotxchange.com
185.199.110.154,github.githubassets.com
192.30.253.112,github.com
104.127.43.201,sb.scorecardresearch.com
104.127.43.201,sb.scorecardresearch.com
52.31.140.49,ad.sxp.smartclip.net
104.127.43.201,sb.scorecardresearch.com
52.201.97.41,partners.tremorhub.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
52.45.231.117,track1.aniview.com
54.225.106.38,api.groupme.com
54.197.236.197,i.groupme.com
162.125.36.1,d.dropbox.com
172.217.10.14,gcdn.2mdn.net
18.208.78.141,insight.adsrvr.org
52.45.231.117,track1.aniview.com
151.101.64.133,avatars3.githubusercontent.com
173.194.131.139,r5---sn-ab5l6n6l.c.2mdn.net
172.217.12.142,www.google-analytics.com
192.30.253.125,live.github.com
34.196.247.240,collector.githubapp.com
140.82.114.5,api.github.com
172.217.6.194,googleads4.g.doubleclick.net
204.154.111.111,tps.doubleverify.com
54.210.216.147,vtrk.doubleverify.com
204.154.111.111,tps.doubleverify.com
35.190.72.21,idsync.rlcdn.com
50.115.92.8,use-va1.adsrvr.org
3.223.10.9,nep.advangelists.com
170.76.216.244,u.videoamp.com
52.21.44.227,dpm.demdex.net
52.200.142.60,beacon.krxd.net
35.190.90.30,odr.mookie1.com
34.206.5.1,events.tremorhub.com
52.73.223.232,adrta.com
172.217.12.142,www.google-analytics.com
54.174.84.64,usermatch.krxd.net
130.211.115.4,data.ad-score.com
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
35.186.224.53,spclient.wg.spotify.com
130.211.115.4,data.ad-score.com
164.52.33.179,data.bilibili.com
184.28.206.200,applog.musical.ly
54.84.124.217,polka.typekit.com
40.90.22.190,login.live.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.115.14,trading.escapefromtarkov.com
18.208.78.141,insight.adsrvr.org
85.195.103.130,notifier-02.escapefromtarkov.com
3.91.171.132,kinesis.us-east-1.amazonaws.com
130.211.115.4,data.ad-score.com
52.45.231.117,track1.aniview.com
34.230.114.151,rtm.tnt-ea.com
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
31.13.66.4,graph.facebook.com
52.45.231.117,track1.aniview.com
172.217.6.194,ade.googlesyndication.com
34.206.5.1,events.tremorhub.com
35.241.52.229,cdp.cloud.unity3d.com
13.68.168.63,spoc.norton.com
192.30.253.125,live.github.com
172.217.7.3,update.googleapis.com
128.116.112.44,users.roblox.com
18.208.78.141,insight.adsrvr.org
35.186.224.47,dealer.spotify.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.6.194,ade.googlesyndication.com
34.206.5.1,events.tremorhub.com
52.45.231.117,track1.aniview.com
59.110.148.212,privilege.lenovo.com.cn
172.217.12.142,www.google-analytics.com
151.101.202.214,api.twitch.tv
130.211.115.4,data.ad-score.com
172.217.10.226,pagead2.googlesyndication.com
104.20.114.14,launcher.escapefromtarkov.com
104.26.13.24,clientlogs.eft-project.com
87.250.250.119,mc.yandex.ru
193.182.15.115,audio-sp-dca.spotifycdn.net
162.159.130.233,discordapp.com
104.17.143.21,loadouts.na2.leagueoflegends.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
192.108.239.254,usher.ttvnw.net
52.114.77.164,v10.events.data.microsoft.com
31.13.66.4,www.messenger.com
216.98.62.23,msr-public-ubiservices.ubi.com
52.34.152.98,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
104.126.113.104,iphone-ld.apple.com
185.199.110.154,github.githubassets.com
192.30.253.112,github.com
31.13.66.4,graph.facebook.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
192.30.253.125,live.github.com
128.2.42.79,s3.andrew.cmu.edu
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
52.114.158.91,self.events.data.microsoft.com
52.4.149.171,socialgateway.cmu.edu
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
54.239.21.139,identity.browserapps.amazon.com
185.151.204.50,view.adjust.com
130.211.16.53,d.joinhoney.com
128.2.42.79,s3.andrew.cmu.edu
128.2.42.79,s3.andrew.cmu.edu
192.16.31.139,www.dota2.com
23.43.56.184,steamuserimages-a.akamaihd.net
23.43.56.184,steamuserimages-a.akamaihd.net
23.43.56.184,steamuserimages-a.akamaihd.net
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
192.30.253.125,live.github.com
54.82.219.113,dt.adsafeprotected.com
128.238.155.11,128.238.155.11
59.111.239.62,httpdns.n.netease.com
148.153.64.18,api.bilibili.com
128.238.155.11,128.238.155.11
164.52.33.179,data.bilibili.com
192.30.253.125,live.github.com
148.153.64.18,message.bilibili.com
40.91.72.120,presence-heartbeat.xboxlive.com
52.179.129.229,arc.msn.com
54.243.68.36,api.overwolf.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
162.159.130.233,discordapp.com
