13.225.212.24,rumcdn.geoedge.be
34.205.169.52,gw.geoedge.be
184.28.206.200,applog.musical.ly
52.114.128.10,v10.events.data.microsoft.com
45.57.91.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
34.251.209.123,www.netflix.com
20.36.218.63,settings-win.data.microsoft.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
40.90.22.190,login.live.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
52.114.128.10,v10.events.data.microsoft.com
17.56.48.13,query.ess.apple.com
128.116.112.44,users.roblox.com
13.107.3.128,config.edge.skype.com
13.68.168.63,spoc.norton.com
52.114.77.34,v20.events.data.microsoft.com
172.217.11.46,app-measurement.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
35.186.224.47,dealer.spotify.com
2.18.227.39,www.dw.com
130.211.26.229,s.joinhoney.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
3.213.171.170,dt.adsafeprotected.com
23.246.7.188,occ-0-1001-2430.1.nflxso.net
34.251.209.123,www.netflix.com
34.251.209.123,www.netflix.com
17.134.127.249,gs-loc.apple.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
17.248.135.113,api.apple-cloudkit.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
52.114.158.91,v10.events.data.microsoft.com
23.40.28.191,api1.origin.com
20.36.218.63,settings-win.data.microsoft.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.66.63,i.instagram.com
31.13.71.3,edge-mqtt.facebook.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
31.13.66.63,graph.instagram.com
31.13.66.63,graph.instagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
52.179.129.229,arc.msn.com
52.114.158.91,v10.events.data.microsoft.com
13.68.92.143,ris.api.iris.microsoft.com
