23.43.252.147,officecdn.microsoft.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
35.186.224.53,spclient.wg.spotify.com
222.88.93.85,sdk1xyajs-data.xycdn.com
123.162.191.217,sdk1xyajs-data.xycdn.com
172.217.10.106,firebasestorage.googleapis.com
13.225.65.153,slack.com
148.153.38.118,api.bilibili.com
52.1.79.74,datarouter-prod.ak.epicgames.com
40.67.188.15,presence-heartbeat.xboxlive.com
104.16.35.99,playerpreferences.riotgames.com
35.164.116.34,ekg.riotgames.com
222.88.93.85,sdk1xyajs-data.xycdn.com
173.194.185.166,r1---sn-ab5sznlk.googlevideo.com
204.154.111.128,rtb0.doubleverify.com
204.154.111.128,tps622.doubleverify.com
13.88.28.53,v10.events.data.microsoft.com
204.154.111.128,tps622.doubleverify.com
205.185.216.42,servedby.flashtalking.com
205.185.216.42,cdn.flashtalking.com
204.154.111.128,tps.doubleverify.com
13.107.42.12,bn1305.storage.live.com
52.239.184.42,onedriveclucprodbn20003.blob.core.windows.net
148.153.64.18,api.vc.bilibili.com
52.179.129.229,arc.msn.com
54.213.85.107,video-edge-f5abf9.pdx01.abs.hls.ttvnw.net
204.154.111.130,tps10202.doubleverify.com
204.154.111.128,tps10239.doubleverify.com
13.88.28.53,v10.events.data.microsoft.com
13.88.28.53,v10.events.data.microsoft.com
222.88.93.85,sdk1xyajs-data.xycdn.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
13.88.28.53,v10.events.data.microsoft.com
128.116.112.44,presence.roblox.com
52.6.253.9,account-public-service-prod03.ol.epicgames.com
52.109.76.34,nexus.officeapps.live.com
172.217.10.10,instantmessaging-pa.googleapis.com
173.222.103.209,www.expedia.com
31.13.66.4,graph.facebook.com
128.116.112.44,presence.roblox.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
104.16.3.92,pbe.ledge.leagueoflegends.com
104.18.96.33,acs.test.leagueoflegends.com
172.217.7.14,play.google.com
104.16.3.92,pbe.ledge.leagueoflegends.com
172.217.6.234,wirelessdevicestats.googleapis.com
172.217.6.234,wirelessdevicestats.googleapis.com
35.186.224.53,api.spotify.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
