17.248.187.78,gateway-carry.icloud.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
176.34.155.181,char-lw-nl-005-4.warthunder.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
35.186.224.47,dealer.spotify.com
223.111.215.22,sdk1xyajs-data.xycdn.com
130.211.16.53,d.joinhoney.com
223.111.215.20,sdk1xyajs-data.xycdn.com
216.98.62.71,msr-public-ubiservices.ubi.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
223.111.215.20,sdk1xyajs-data.xycdn.com
148.153.38.118,message.bilibili.com
172.217.12.138,safebrowsing.googleapis.com
34.230.111.29,rtm.tnt-ea.com
148.153.64.18,api.vc.bilibili.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.179.129.229,arc.msn.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
34.199.213.18,www.fscta65w.com
34.199.213.18,www.fscta65w.com
223.111.215.19,sdk1xyajs-data.xycdn.com
223.111.215.19,sdk1xyajs-data.xycdn.com
223.111.215.19,sdk1xyajs-data.xycdn.com
13.107.136.9,nyu0-my.sharepoint.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
148.153.64.18,api.bilibili.com
35.186.224.25,login5.spotify.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
35.241.52.229,cdp.cloud.unity3d.com
223.111.215.19,sdk1xyajs-data.xycdn.com
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.53,spclient.wg.spotify.com
162.159.134.233,discordapp.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
172.217.10.234,play.googleapis.com
172.217.6.205,accounts.google.com
13.226.38.153,slack.com
123.162.190.116,sdk1xyajs-data.xycdn.com
223.111.215.19,sdk1xyajs-data.xycdn.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
128.116.112.44,users.roblox.com
128.116.112.44,presence.roblox.com
128.116.112.44,presence.roblox.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
118.89.204.192,video.zhihu.com
23.248.167.13,static.zhihu.com
23.248.167.13,static.zhihu.com
47.246.24.230,unpkg.zhimg.com
47.246.24.230,unpkg.zhimg.com
173.222.100.177,lens.zhihu.com
23.248.167.28,vdn3.vzuu.com
118.89.204.192,video.zhihu.com
222.88.91.72,sdk1xyajs-data.xycdn.com
172.217.6.234,safebrowsing.googleapis.com
172.217.7.14,play.google.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
148.153.38.118,api.bilibili.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.40.28.191,api1.origin.com
123.162.191.218,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.246.7.189,occ-0-1001-2430.1.nflxso.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
128.116.112.44,users.roblox.com
52.17.27.129,www.netflix.com
23.246.7.189,occ-0-1001-2430.1.nflxso.net
52.17.27.129,www.netflix.com
52.17.27.129,www.netflix.com
52.17.27.129,www.netflix.com
52.17.27.129,www.netflix.com
17.167.192.128,gs-loc.apple.com
216.165.47.12,www.nyu.edu
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
34.232.20.110,datarouter.ol.epicgames.com
23.48.20.53,bag.itunes.apple.com
172.217.10.46,docs.google.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
31.13.66.35,www.facebook.com
31.13.66.19,scontent.xx.fbcdn.net
20.36.218.63,settings-win.data.microsoft.com
222.88.93.86,sdk1xyajs-data.xycdn.com
40.90.22.183,login.live.com
222.88.93.85,sdk1xyajs-data.xycdn.com
52.179.129.229,arc.msn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
20.36.218.63,settings-win.data.microsoft.com
17.248.187.142,p14-keyvalueservice.icloud.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
13.107.136.9,nyu0-my.sharepoint.com
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
148.153.64.18,api.bilibili.com
173.222.103.209,www.expedia.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
222.88.93.86,sdk1xyajs-data.xycdn.com
23.48.21.197,gspe19-ssl.ls.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
52.114.76.35,v10.events.data.microsoft.com
17.142.169.199,gsp64-ssl.ls.apple.com
222.88.93.85,sdk1xyajs-data.xycdn.com
151.101.130.167,static.twitchcdn.net
222.88.93.86,sdk1xyajs-data.xycdn.com
23.48.21.197,gspe19-ssl.ls.apple.com
23.48.21.197,gspe19-ssl.ls.apple.com
