172.217.9.246,i.ytimg.com
172.217.12.161,yt3.ggpht.com
52.1.184.222,datarouter.ol.epicgames.com
203.205.249.140,grouptalk.c2c.qq.com
128.116.112.44,users.roblox.com
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
13.68.168.63,spoc.norton.com
52.179.129.229,arc.msn.com
40.67.188.15,presence-heartbeat.xboxlive.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
172.217.9.229,mail.google.com
13.107.3.128,config.edge.skype.com
23.38.167.80,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
39.106.232.147,ldc.lenovo.com.cn
39.106.232.147,ldc.lenovo.com.cn
23.194.120.195,api1.origin.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.12.142,tools.google.com
172.217.10.10,home-devices.googleapis.com
173.222.103.209,www.expedia.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.204.86.45,dl-debug.dropbox.com
52.89.126.68,ekg.riotgames.com
52.179.129.229,arc.msn.com
128.116.112.44,presence.roblox.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,api.spotify.com
35.186.224.53,api.spotify.com
35.169.20.42,opstm.paradoxplaza.com
128.238.155.11,128.238.155.11
148.153.64.18,message.bilibili.com
104.16.119.50,auth.riotgames.com
128.238.155.11,128.238.155.11
104.18.25.250,pas.geo.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
203.205.249.177,203.205.249.177
52.89.119.182,ekg.riotgames.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
172.217.10.138,wirelessdevicestats.googleapis.com
172.217.10.138,wirelessdevicestats.googleapis.com
128.116.112.44,users.roblox.com
148.153.38.118,api.vc.bilibili.com
152.195.12.171,liveupdate.symantecliveupdate.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
13.225.64.158,d3cv4a9a9wh0bt.cloudfront.net
13.225.64.158,d3cv4a9a9wh0bt.cloudfront.net
13.107.136.9,nyu0-my.sharepoint.com
104.16.199.132,entitlements.auth.riotgames.com
52.109.124.24,nexus.officeapps.live.com
128.116.112.44,users.roblox.com
52.109.124.24,nexus.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
52.89.119.182,ekg.riotgames.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.215.32.37,slug.onelink.me
52.218.249.248,s3-us-west-2.amazonaws.com
52.218.241.138,ubp-common-us-prod.s3.amazonaws.com
52.179.129.229,arc.msn.com
23.246.7.175,ipv4-c347-nyc001-ix.1.oca.nflxvideo.net
35.165.119.189,profile.accounts.firefox.com
52.35.202.182,api.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
52.25.154.57,ece4.playfabapi.com
17.57.12.11,gsp64-ssl.ls.apple.com
180.169.106.30,casper.saschina.org
128.116.112.44,users.roblox.com
23.38.167.80,steamcdn-a.akamaihd.net
23.43.56.195,steamstore-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
40.79.70.158,array503.prod.do.dsp.mp.microsoft.com
172.217.10.238,play.google.com
52.109.124.24,nexus.officeapps.live.com
52.109.124.24,nexus.officeapps.live.com
173.222.103.209,www.expedia.com
40.67.188.15,presence-heartbeat.xboxlive.com
34.251.181.150,www.netflix.com
172.253.122.188,mtalk.google.com
13.107.136.9,nyu0-my.sharepoint.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
13.107.42.12,dm2305.storage.live.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
13.225.64.158,d3cv4a9a9wh0bt.cloudfront.net
23.43.56.195,steamstore-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
52.114.75.78,mobile.pipe.aria.microsoft.com
52.114.75.78,mobile.pipe.aria.microsoft.com
152.195.12.135,liveupdate.symantec.com
172.217.10.74,youtubei.googleapis.com
172.217.10.238,play.google.com
172.217.11.42,addons-pa.clients6.google.com
18.213.202.210,edgeapi.slack.com
172.217.10.238,play.google.com
172.217.12.138,addons-pa.clients6.google.com
18.213.202.210,edgeapi.slack.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
17.248.135.174,gateway.icloud.com.cn
172.217.10.234,safebrowsing.googleapis.com
17.248.135.202,metrics.icloud.com
17.164.1.38,lcdn-locator.apple.com
52.179.129.229,arc.msn.com
183.3.226.31,ptlogin2.qq.com
183.3.226.119,ptlogin2.y.qq.com
148.153.38.118,message.bilibili.com
17.248.135.117,api.apple-cloudkit.com
182.92.244.228,dsp.lenovo.com.cn
172.217.12.142,tools.google.com
128.116.112.44,users.roblox.com
203.205.255.88,c.y.qq.com
172.217.10.234,remotedesktop-pa.googleapis.com
172.217.10.234,remotedesktop-pa.googleapis.com
23.192.6.82,y.gtimg.cn
23.192.6.82,y.gtimg.cn
203.205.255.185,u.y.qq.com
203.205.239.181,report.huatuo.qq.com
203.205.239.168,pingfore.qq.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
38.106.231.204,osfsr.lenovomm.com
130.211.16.53,d.joinhoney.com
112.90.77.170,huatuospeed.weiyun.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
182.92.244.228,dsp.lenovo.com.cn
103.10.4.244,mb-update.asus.com
39.96.106.241,hao.lenovo.com.cn
103.10.4.244,mb-update.asus.com
162.159.130.233,discordapp.com
38.106.231.204,osfsr.lenovomm.com
13.107.136.9,nyu0-my.sharepoint.com
47.95.131.3,nsl.lenovo.com.cn
23.43.56.201,steamcommunity-a.akamaihd.net
23.43.56.201,steamcommunity-a.akamaihd.net
39.96.106.241,hao.lenovo.com.cn
17.248.216.6,p13-sharedstreams.icloud.com.cn
182.92.244.228,dsp.lenovo.com.cn
