52.218.228.19,ubp-common-us-prod.s3.amazonaws.com
172.217.12.161,yt3.ggpht.com
31.13.66.4,www.messenger.com
72.21.81.200,r6pcaddons.azureedge.net
34.250.61.125,www.netflix.com
104.16.3.92,pbe.ledge.leagueoflegends.com
17.248.187.205,gateway-carry.icloud.com
17.248.187.205,gateway-carry.icloud.com
17.132.30.57,us-east-1.blobstore.apple.com
17.132.18.5,us-east-1.blobstore.apple.com
17.248.135.17,gateway-carry.icloud.com
23.194.120.195,api1.origin.com
17.248.135.83,metrics.icloud.com
35.165.119.189,profile.accounts.firefox.com
52.35.202.182,api.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
162.125.19.130,telemetry.dropbox.com
104.25.138.23,manganelo.com
17.167.194.47,gsp85-ssl.ls.apple.com
3.221.245.228,public-ubiservices.ubi.com
104.27.204.92,bu2.mkklcdnbuv1.com
172.217.10.131,fonts.gstatic.com
128.116.112.44,presence.roblox.com
31.13.66.19,connect.facebook.net
34.214.172.133,exchange.adtrue.com
31.13.66.35,www.facebook.com
74.119.119.139,gum.criteo.com
104.36.115.78,sshowads.pubmatic.com
8.28.7.84,simage4.pubmatic.com
74.119.119.139,gum.criteo.com
172.217.12.202,fonts.googleapis.com
104.18.34.137,static.adtruedsp.com
54.71.54.95,track.adtrue.com
68.67.179.153,secure.adnxs.com
74.119.119.149,csm.va.us.criteo.net
23.194.121.5,ads.pubmatic.com
52.179.129.229,arc.msn.com
54.68.78.151,track.adtruedsp.com
216.200.233.95,mathid.mathtag.com
172.217.12.170,chat-pa.clients6.google.com
68.67.160.132,nym1-ib.adnxs.com
23.40.28.254,aktrack.pubmatic.com
172.217.10.40,www.googletagmanager.com
172.217.12.142,www.google-analytics.com
104.27.188.119,platform.bidgear.com
88.214.193.146,ssp-nj.webtradehub.com
104.27.189.119,imp.bidgear.com
88.214.193.146,ssp-nj.webtradehub.com
88.214.193.146,ssp-nj1.webtradehub.com
17.248.132.183,gateway-carry.icloud.com
88.214.193.146,ssp-nj1.webtradehub.com
104.17.33.205,cdn.run-syndicate.com
37.157.4.28,adx.adform.net
213.174.153.229,wvhba6470p.com
104.17.31.205,run-syndicate.com
190.93.246.34,runative-syndicate.com
3.221.245.228,public-ubiservices.ubi.com
104.16.212.59,cdn.runative-syndicate.com
17.248.187.143,metrics.icloud.com
213.174.153.229,allmygreatestlife.com
213.196.2.2,r.remarketingpixel.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
213.174.153.229,allmygoodlife.com
213.174.153.229,allmygoodlife.com
128.116.112.44,users.roblox.com
115.236.96.246,sdk-log-scdn.yfdts.net
3.221.245.228,public-ubiservices.ubi.com
3.221.245.228,public-ubiservices.ubi.com
3.221.245.228,public-ubiservices.ubi.com
3.221.245.228,public-ubiservices.ubi.com
3.221.245.228,public-ubiservices.ubi.com
52.216.92.27,ubisoft-uplay-savegames.s3.amazonaws.com
173.222.103.209,www.expedia.com
40.91.72.120,presence-heartbeat.xboxlive.com
104.40.91.191,checkappexec.microsoft.com
23.43.56.201,steamcdn-a.akamaihd.net
23.43.56.201,steamcdn-a.akamaihd.net
104.91.166.96,steamstore-a.akamaihd.net
52.54.131.67,g44.p4.webrootcloudav.com
52.114.74.45,v10.events.data.microsoft.com
137.221.106.104,nydus.battle.net
137.221.106.102,us.battle.net
23.48.94.154,bnetus-a.akamaihd.net
128.116.112.44,presence.roblox.com
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
172.217.31.238,www.google-analytics.com
54.235.178.21,e.crashlytics.com
