17.142.171.9,gs-loc.apple.com
35.164.116.34,ekg.riotgames.com
52.40.103.85,profile.accounts.firefox.com
18.237.204.52,sync-740-us-west-2.sync.services.mozilla.com
54.187.92.209,api.accounts.firefox.com
34.95.71.207,webextensions.settings.services.mozilla.com
128.116.112.44,users.roblox.com
148.153.64.18,message.bilibili.com
104.110.159.148,www.amazon.com
128.116.112.44,assetgame.roblox.com
54.209.12.68,locations-prod.tile-api.com
52.179.129.229,arc.msn.com
128.116.112.44,ephemeralcounters.api.roblox.com
172.217.9.229,mail.google.com
148.153.38.118,api.vc.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
128.116.112.44,users.roblox.com
3.217.207.251,public-ubiservices.ubi.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
182.92.244.228,dsp.lenovo.com.cn
13.224.253.69,api-cache.blizzcon.com
24.105.29.76,telemetry-in.battle.net
172.217.10.234,safebrowsing.googleapis.com
38.106.231.204,osfsr.lenovomm.com
128.116.112.44,assetdelivery.roblox.com
172.217.10.226,googleads.g.doubleclick.net
128.116.112.44,users.roblox.com
128.116.112.44,assetgame.roblox.com
52.7.111.248,datarouter-prod.ak.epicgames.com
52.114.76.35,v10.events.data.microsoft.com
128.116.112.44,ecsv2.roblox.com
17.248.135.202,api.apple-cloudkit.com
13.107.42.12,api.onedrive.com
52.179.129.229,arc.msn.com
173.222.102.152,api1.origin.com
23.54.179.102,configuration.ls.apple.com
128.116.112.44,users.roblox.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.124.21,nexus.officeapps.live.com
3.221.245.228,public-ubiservices.ubi.com
3.221.245.228,public-ubiservices.ubi.com
216.98.62.23,msr-public-ubiservices.ubi.com
52.109.124.21,nexus.officeapps.live.com
74.125.0.198,r1---sn-ab5sznly.googlevideo.com
172.217.7.10,wirelessdevicestats.googleapis.com
172.217.7.10,wirelessdevicestats.googleapis.com
216.98.62.23,msr-public-ubiservices.ubi.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,api.spotify.com
162.159.129.233,discordapp.com
17.142.169.200,gsp64-ssl.ls.apple.com
23.218.107.10,weather-data.apple.com
23.218.107.10,weather-data.apple.com
20.36.218.63,settings-win.data.microsoft.com
35.160.15.72,ekg.riotgames.com
128.116.112.44,users.roblox.com
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.35,www.facebook.com
52.114.77.34,v10.events.data.microsoft.com
23.78.210.178,configuration.ls.apple.com
104.16.120.50,auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
35.160.15.72,ekg.riotgames.com
17.57.144.164,courier.push.apple.com
52.37.144.240,ece4.playfabapi.com
17.167.194.47,gsp85-ssl.ls.apple.com
104.16.198.132,entitlements.auth.riotgames.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
35.186.224.53,spclient.wg.spotify.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.107.136.9,nyu0-my.sharepoint.com
172.217.7.3,update.googleapis.com
35.160.15.72,ekg.riotgames.com
17.142.169.200,gsp64-ssl.ls.apple.com
76.223.7.58,metrics-collector.s-onetag.com
3.221.116.27,public-ubiservices.ubi.com
172.217.12.174,www.youtube.com
72.21.81.200,r6pcaddons.azureedge.net
3.221.245.228,public-ubiservices.ubi.com
162.159.134.233,discordapp.com
128.116.112.44,users.roblox.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.54.180.7,ubiservices.cdn.ubi.com
216.165.47.12,www.nyu.edu
23.43.56.201,steamcommunity-a.akamaihd.net
23.43.56.201,steamcommunity-a.akamaihd.net
23.10.85.13,store.steampowered.com
17.248.142.6,p10-caldav.icloud.com
23.43.56.185,steamstore-a.akamaihd.net
23.43.56.185,steamstore-a.akamaihd.net
23.43.56.185,steamstore-a.akamaihd.net
23.43.56.185,steamstore-a.akamaihd.net
23.43.56.185,steamstore-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
172.217.12.142,www.google-analytics.com
23.43.56.185,steamstore-a.akamaihd.net
128.116.112.44,users.roblox.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.10.138,securetoken.googleapis.com
52.179.129.229,arc.msn.com
216.98.62.72,msr-public-ubiservices.ubi.com
151.101.194.167,static.twitchcdn.net
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
148.153.38.118,api.vc.bilibili.com
35.160.15.72,ekg.riotgames.com
13.226.39.96,api-cache.blizzcon.com
134.170.179.106,xsts.auth.xboxlive.com
128.116.112.44,users.roblox.com
134.170.179.106,xsts.auth.xboxlive.com
148.153.64.18,message.bilibili.com
35.186.224.53,spclient.wg.spotify.com
104.16.3.92,na.ledge.leagueoflegends.com
23.54.186.161,livetileedge.dsx.mp.microsoft.com
23.54.186.161,livetileedge.dsx.mp.microsoft.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
24.105.29.76,telemetry-in.battle.net
104.16.2.92,na.ledge.leagueoflegends.com
88.99.186.154,easylist-downloads.adblockplus.org
143.166.11.227,cloud.dell.com
143.166.11.227,cloud.dell.com
128.116.112.44,users.roblox.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
52.179.129.229,arc.msn.com
