172.217.11.46,www.google-analytics.com
128.116.112.44,users.roblox.com
123.162.190.116,sdk1xyajs-data.xycdn.com
99.84.55.12,api-cache.blizzcon.com
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
31.13.71.1,www.messenger.com
23.111.9.57,twemoji.maxcdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
24.105.29.76,telemetry-in.battle.net
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
52.0.113.44,datarouter-prod.ak.epicgames.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.167.194.230,gsp64-ssl.ls.apple.com
148.153.64.18,api.bilibili.com
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,api.onedrive.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
23.194.120.195,api1.origin.com
182.92.244.228,dsp.lenovo.com.cn
23.54.160.8,upos-hz-mirrorakam.akamaized.net
17.167.194.230,gsp64-ssl.ls.apple.com
38.106.231.204,osfsr.lenovomm.com
128.116.112.44,users.roblox.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
172.217.12.138,wirelessdevicestats.googleapis.com
172.217.12.138,wirelessdevicestats.googleapis.com
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
148.153.38.118,api.bilibili.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
172.217.10.66,googleads.g.doubleclick.net
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
13.225.226.153,slack.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
23.43.59.210,steamcdn-a.akamaihd.net
23.43.59.210,steamcdn-a.akamaihd.net
23.43.59.210,steamcdn-a.akamaihd.net
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
148.153.38.118,api.bilibili.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
13.107.136.9,nyu0-my.sharepoint.com
52.179.129.229,arc.msn.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
23.54.160.8,upos-hz-mirrorakam.akamaized.net
54.225.147.125,tracking.overwolf.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
148.153.38.118,api.bilibili.com
172.217.10.234,safebrowsing.googleapis.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
34.226.18.247,polka.typekit.com
128.116.112.44,users.roblox.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
123.162.190.116,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.35,www.facebook.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
162.159.134.233,discordapp.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
23.40.20.53,api.weather.com
17.248.135.168,gateway.icloud.com
216.165.47.12,www.nyu.edu
148.153.38.118,api.bilibili.com
35.172.81.156,rtm.tnt-ea.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
13.107.136.9,nyu0-my.sharepoint.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
172.217.10.74,remotedesktop-pa.googleapis.com
172.217.10.74,remotedesktop-pa.googleapis.com
52.114.88.20,mobile.pipe.aria.microsoft.com
148.153.38.118,api.bilibili.com
148.153.38.118,api.vc.bilibili.com
35.186.224.53,spclient.wg.spotify.com
173.222.102.152,api1.origin.com
162.159.130.233,discordapp.com
34.204.62.144,river.data.ea.com
151.101.202.248,i.scdn.co
23.54.160.41,upos-hz-mirrorakam.akamaized.net
34.204.62.144,river.data.ea.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
35.186.224.53,spclient.wg.spotify.com
193.182.15.115,audio-sp-dca.spotifycdn.net
13.226.38.153,slack.com
34.204.62.144,river.data.ea.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
23.78.210.178,configuration.ls.apple.com
134.170.179.199,xsts.auth.xboxlive.com
134.170.179.199,xsts.auth.xboxlive.com
148.153.38.118,message.bilibili.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
23.54.186.161,livetileedge.dsx.mp.microsoft.com
23.54.186.161,livetileedge.dsx.mp.microsoft.com
148.153.38.118,api.bilibili.com
35.186.224.53,spclient.wg.spotify.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
222.88.91.72,sdk1xyajs-data.xycdn.com
