49.51.20.228,www.wegame.com.cn
172.217.7.14,redirector.googlevideo.com
173.194.31.72,r2---sn-ab5szn7z.googlevideo.com
173.194.31.72,r2---sn-ab5szn7z.googlevideo.com
172.217.9.246,i.ytimg.com
172.217.12.161,yt3.ggpht.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.47,dealer.spotify.com
17.248.135.92,api.apple-cloudkit.com
58.250.9.42,nacc-misc-cu.3g.qq.com
120.204.11.148,nacc-misc-cm.3g.qq.com
183.3.226.16,nacc-misc-ct.3g.qq.com
17.248.187.203,gateway-carry.icloud.com
121.51.141.58,nacc-misc-cap.3g.qq.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
5.62.44.197,shepherd.ff.avast.com
49.51.65.181,account.sogou.com
49.51.65.181,account.sogou.com
49.51.65.181,account.sogou.com
52.169.123.48,array603.prod.do.dsp.mp.microsoft.com
49.51.65.181,account.sogou.com
20.36.219.28,activity.windows.com
104.17.57.91,rl-cdn.psyonix.com
172.217.10.84,psyonix-rl.appspot.com
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,us-prof.np.community.playstation.net
104.124.101.2,image.api.np.km.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,us-prof.np.community.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,us-prof.np.community.playstation.net
35.160.238.177,brain.foresee.com
13.225.230.86,atc.studybreakmedia.com
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
211.234.127.21,logs.81plug.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.16,shibboleth.nyu.edu
40.90.22.185,login.live.com
70.37.74.6,checkappexec.microsoft.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
203.205.219.229,client.show.qq.com
18.215.74.201,datarouter-prod.ak.epicgames.com
31.13.66.4,upload.messenger.com
31.13.66.19,scontent.xx.fbcdn.net
52.179.129.229,arc.msn.com
3.224.214.85,rtm.tnt-ea.com
13.107.3.128,config.edge.skype.com
23.192.27.236,resource.np.ac.playstation.net
104.124.102.28,asm.np.community.playstation.net
173.223.75.56,fus01.ps4.update.playstation.net
104.126.112.17,fswitch.dl.playstation.net
23.40.30.29,asm.np.community.playstation.net
104.124.102.28,us-evnt-edge.np.community.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
23.40.30.29,asm.np.community.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.101.2,sn.api.np.km.playstation.net
104.124.102.28,us-gmsg.np.community.playstation.net
23.40.28.244,commerce.api.np.km.playstation.net
23.192.31.185,csla.np.community.playstation.net
