101.89.125.227,s2.mini.wpscdn.cn
52.109.76.33,nexus.officeapps.live.com
172.217.31.227,ssl.gstatic.com
108.177.125.189,cello.client-channel.google.com
23.221.202.83,api1.origin.com
23.221.202.83,secure.download.dm.origin.com
23.221.202.83,secure.download.dm.origin.com
23.221.202.83,secure.download.dm.origin.com
31.13.66.35,www.facebook.com
104.20.36.14,theappreciationengine.com
147.75.79.185,vc.hotjar.io
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.193,twitter.com
103.235.46.191,hm.baidu.com
182.92.244.228,dsp.lenovo.com.cn
172.217.10.1,ci4.googleusercontent.com
172.217.6.193,ci3.googleusercontent.com
40.126.5.33,login.microsoftonline.com
40.126.5.33,login.microsoftonline.com
20.36.219.28,activity.windows.com
40.81.47.78,aad.cs.dds.microsoft.com
17.249.162.38,gsp-ssl.ls.apple.com
172.217.3.99,www.gstatic.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
85.195.119.219,prod-02.escapefromtarkov.com
148.153.38.118,api.vc.bilibili.com
182.92.244.228,dsp.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
148.153.38.118,api.vc.bilibili.com
148.153.64.18,message.bilibili.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
152.199.4.33,az416426.vo.msecnd.net
152.199.4.33,az416426.vo.msecnd.net
128.116.112.44,users.roblox.com
40.71.12.235,dc.services.visualstudio.com
52.179.129.229,arc.msn.com
31.13.66.28,video-iad3-1.xx.fbcdn.net
52.114.76.37,browser.pipe.aria.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.248.167.11,api.flash.cn
23.248.167.11,api.flash.cn
121.29.54.65,tongji.flash.cn
172.217.12.206,drive.google.com
172.217.10.138,signaler-pa.clients6.google.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
40.90.22.192,login.live.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
13.107.42.12,cid-d93c27fb3193ec6f.users.storage.live.com
152.195.55.22,gfwsl.geforce.com
134.170.179.87,device.auth.xboxlive.com
152.195.55.22,gfwsl.geforce.com
134.170.179.91,title.auth.xboxlive.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
104.114.166.109,storeedgefd.dsx.mp.microsoft.com
8.36.80.215,events.gfe.nvidia.com
35.186.224.47,dealer.spotify.com
34.227.0.168,prd-collector-anon.playbuzz.com
23.221.200.35,xp.apple.com
23.54.160.43,play.itunes.apple.com
17.248.135.136,api.apple-cloudkit.com
23.192.69.74,steam-chat.com
34.194.197.94,nummus.robinhood.com
172.217.7.14,www.youtube.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
40.119.2.214,settings-win.data.microsoft.com
52.17.229.109,www.netflix.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
104.114.166.109,livetileedge.dsx.mp.microsoft.com
39.106.232.147,ldc.lenovo.com.cn
59.110.148.212,privilege.lenovo.com.cn
125.39.83.105,ledge-wt1.lol.qq.com
17.248.135.209,metrics.icloud.com
172.217.7.3,update.googleapis.com
35.186.224.53,spclient.wg.spotify.com
31.13.66.35,www.facebook.com
13.91.131.76,enterprise.activity.windows.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
34.192.142.203,ec.razer.com
172.217.7.14,www.youtube.com
172.217.7.14,www.youtube.com
47.94.120.88,show.lenovo.com.cn
34.192.176.107,crumbs.robinhood.com
52.200.251.60,crumbs.robinhood.com
203.205.253.140,clients.browser.qq.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
52.114.132.74,v10.events.data.microsoft.com
47.95.131.3,nsl.lenovo.com.cn
40.119.2.214,settings-win.data.microsoft.com
59.110.148.212,privilege.lenovo.com.cn
47.95.131.3,nsl.lenovo.com.cn
172.217.9.228,www.google.com
204.79.197.200,cn.bing.com
128.116.112.44,users.roblox.com
104.193.88.112,sta.vgs.lenovo.com.cn
204.79.197.200,www.bing.com
162.159.134.232,media.discordapp.net
162.159.133.232,images-ext-2.discordapp.net
47.95.178.31,video-collect.vgs.lenovo.com.cn
52.2.255.246,orgsync.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
13.107.3.128,config.edge.skype.com
40.79.65.78,geo.prod.do.dsp.mp.microsoft.com
104.69.60.103,kv501.prod.do.dsp.mp.microsoft.com
104.69.60.103,cp501.prod.do.dsp.mp.microsoft.com
104.69.60.103,disc501.prod.do.dsp.mp.microsoft.com
172.217.10.234,safebrowsing.googleapis.com
40.97.188.2,outlook.office365.com
172.217.12.206,www.youtube.com
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
172.217.12.194,googleads.g.doubleclick.net
172.217.7.6,static.doubleclick.net
172.217.12.161,yt3.ggpht.com
40.126.2.0,login.windows.net
74.125.172.24,r2---sn-ab5szn7e.googlevideo.com
74.125.172.24,r2---sn-ab5szn7e.googlevideo.com
172.217.9.246,i.ytimg.com
54.244.28.12,ece4.playfabapi.com
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
209.85.144.109,imap.gmail.com
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
172.217.197.108,imap.gmail.com
40.97.188.226,outlook.office365.com
172.217.9.234,chat-pa.clients6.google.com
172.217.9.234,chat-pa.clients6.google.com
52.179.129.229,arc.msn.com
172.217.197.108,imap.gmail.com
40.97.188.226,outlook.office365.com
172.217.197.108,imap.gmail.com
172.217.12.174,www.youtube.com
172.217.12.131,ssl.gstatic.com
52.34.114.135,cn.ekg.riotgames.com
172.217.12.161,i-cdn-cnn-com.cdn.ampproject.org
172.217.12.161,sdc-cnn-com.cdn.ampproject.org
172.217.12.161,www-i-cdn-cnn-com.cdn.ampproject.org
172.217.12.161,www-i-cdn-cnn-com.cdn.ampproject.org
172.217.12.161,www-i-cdn-cnn-com.cdn.ampproject.org
172.217.12.161,www-i-cdn-cnn-com.cdn.ampproject.org
172.217.12.161,www-i-cdn-cnn-com.cdn.ampproject.org
40.97.188.226,outlook.office365.com
23.10.93.204,cdn.cnn.com
23.10.93.204,cdn.cnn.com
151.101.1.67,fave.api.cnn.io
172.217.10.3,d-11004511501149531343.ampproject.net
23.221.200.229,widgets.outbrain.com
104.16.88.20,cdn.jsdelivr.net
23.10.93.204,sdc.cnn.com
151.101.2.2,odb.outbrain.com
54.87.174.42,ads.yieldmo.com
3.232.15.196,agility.cnn.com
74.119.119.131,static.criteo.net
23.51.166.141,ads.rubiconproject.com
13.33.83.104,c.amazon-adsystem.com
13.33.83.104,c.amazon-adsystem.com
52.201.79.146,dpm.demdex.net
18.204.119.80,www.ugdturner.com
40.97.188.226,outlook.office365.com
34.197.26.103,turner2.demdex.net
192.243.250.58,cm.everesttech.net
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
128.116.112.44,users.roblox.com
172.217.197.108,imap.gmail.com
3.137.42.155,secure-us.imrworldwide.com
23.54.160.25,s.cdn.turner.com
172.217.6.238,clients4.google.com
35.164.248.150,api.segment.io
52.205.199.154,smetrics.cnn.com
74.119.119.139,gum.criteo.com
54.165.221.12,beacon.krxd.net
192.35.249.120,sync.search.spotxchange.com
75.98.70.31,bea4.v.fwmrm.net
63.251.88.56,aa.agkn.com
208.185.50.90,token.rubiconproject.com
104.244.42.195,analytics.twitter.com
107.23.99.139,r.nexac.com
34.193.175.208,ml314.com
40.97.188.226,outlook.office365.com
31.13.66.19,connect.facebook.net
63.251.88.56,aa.agkn.com
104.244.42.197,t.co
75.98.70.72,bea4.cnn.com
68.67.178.10,secure.adnxs.com
40.97.188.226,outlook.office365.com
100.24.148.82,r.dlx.addthis.com
34.203.21.82,fw.adsafeprotected.com
100.24.148.82,r.dlx.addthis.com
34.199.97.231,sync.crwdcntrl.net
52.94.232.32,s.amazon-adsystem.com
143.204.147.7,d.agkn.com
17.142.171.6,gsp64-ssl.ls.apple.com
18.208.82.216,sc.iasds01.com
31.13.71.36,www.facebook.com
104.244.37.20,dt.adsafeprotected.com
172.217.197.155,bid.g.doubleclick.net
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
172.217.3.102,s0.2mdn.net
23.10.89.229,stags.bluekai.com
185.167.164.51,c1.adform.net
34.202.210.254,cs.chocolateplatform.com
18.214.203.220,magnetic.t.domdex.com
23.46.53.12,px.moatads.com
107.23.27.63,ping.chartbeat.net
23.51.188.134,apis.playstove.com
151.101.1.7,amp.cnn.com
151.101.1.67,www.cnn.com
172.217.3.106,fonts.googleapis.com
40.97.188.226,outlook.office365.com
211.234.127.21,logs.81plug.com
172.217.10.46,i9.ytimg.com
23.221.200.45,tcheck.outbrainimg.com
64.202.112.95,log.outbrainimg.com
104.196.12.179,eg.poly.edu
23.221.200.229,widgets.outbrain.com
23.221.200.229,widgets.outbrain.com
23.221.200.229,widgets.outbrain.com
13.33.46.158,de9a11s35xj3d.cloudfront.net
70.42.32.95,mcdp-nydc1.outbrain.com
35.190.72.21,idsync.rlcdn.com
104.106.181.138,tags.bluekai.com
68.67.179.89,ib.adnxs.com
63.251.88.56,aa.agkn.com
64.202.112.127,b1sync.zemanta.com
35.211.99.204,x.bidswitch.net
3.214.153.177,match.adsrvr.org
74.119.119.150,dis.criteo.com
104.16.11.243,cd.navdmp.com
52.168.140.71,px.powerlinks.com
50.16.174.192,ps.eyeota.net
85.114.159.93,dsp.adfarm1.adition.com
35.211.99.204,x.bidswitch.net
70.42.32.127,amplify-imp.outbrain.com
64.202.112.31,sync.outbrain.com
64.202.112.31,sync.outbrain.com
147.75.39.192,loadus.exelator.com
54.84.204.111,id.geistm.com
64.202.112.31,sync.outbrain.com
64.202.112.31,sync.outbrain.com
52.196.218.160,sync-jp.im-apps.net
192.132.33.46,bttrack.com
192.96.200.41,sync.aralego.com
172.217.6.206,fcmatch.google.com
185.184.8.30,creativecdn.com
23.192.48.155,matchadsrvr.yieldmo.com
172.217.10.78,fcmatch.youtube.com
104.26.4.103,cdn.aralego.net
70.42.32.95,mcdp-nydc1.outbrain.com
70.42.32.95,mcdp-nydc1.outbrain.com
70.42.32.95,mcdp-nydc1.outbrain.com
70.42.32.95,mcdp-nydc1.outbrain.com
23.221.200.229,libs.outbrain.com
70.42.32.95,mcdp-nydc1.outbrain.com
23.221.200.45,images.outbrainimg.com
23.221.200.45,images.outbrainimg.com
23.221.200.45,images.outbrainimg.com
70.42.32.95,videoclientsservicescalls.outbrain.com
23.221.200.242,static.yieldmo.com
192.229.173.16,abs.twimg.com
104.244.42.193,twitter.com
192.229.173.16,abs.twimg.com
3.91.171.142,kinesis.us-east-1.amazonaws.com
3.91.171.142,kinesis.us-east-1.amazonaws.com
3.91.171.142,kinesis.us-east-1.amazonaws.com
3.91.171.142,kinesis.us-east-1.amazonaws.com
35.163.89.99,profile.accounts.firefox.com
52.26.159.112,api.accounts.firefox.com
