172.217.12.200,ssl.google-analytics.com
8.36.80.215,events.gfe.nvidia.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
66.218.84.137,us.search.yahoo.com
13.226.37.224,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,www.roblox.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
128.116.112.44,metrics.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,friends.roblox.com
128.116.112.44,games.roblox.com
128.116.112.44,notifications.roblox.com
128.116.112.44,chat.roblox.com
128.116.112.44,chat.roblox.com
128.116.112.44,notifications.roblox.com
128.116.112.44,locale.roblox.com
104.27.163.46,api.roblox.plus
35.186.224.53,api.spotify.com
99.84.112.48,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,presence.roblox.com
128.116.112.44,presence.roblox.com
128.116.112.44,games.roblox.com
128.116.112.44,games.roblox.com
128.116.112.44,games.roblox.com
128.116.112.44,metrics.roblox.com
209.206.41.43,realtime.roblox.com
128.116.112.44,presence.roblox.com
128.116.112.44,presence.roblox.com
128.116.112.44,contacts.roblox.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,presence.roblox.com
128.116.112.44,contacts.roblox.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,thumbnails.roblox.com
54.68.57.244,proxy.gamestream.nvidia.com
23.6.117.17,tr.rbxcdn.com
128.116.112.44,users.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,assetgame.roblox.com
35.241.52.229,cdp.cloud.unity3d.com
128.116.112.44,auth.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,auth.roblox.com
23.6.117.34,weather-data.apple.com
104.69.13.228,clientsettingscdn.roblox.com
128.116.112.44,ephemeralcounters.api.roblox.com
128.116.112.44,ephemeralcounters.api.roblox.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
54.164.83.253,datarouter.ol.epicgames.com
37.157.4.28,adx.adform.net
23.47.146.53,init.itunes.apple.com
23.6.117.34,weather-data.apple.com
23.6.117.34,weather-data.apple.com
23.6.117.34,weather-data.apple.com
23.6.117.34,weather-data.apple.com
13.107.3.128,config.edge.skype.com
209.206.41.43,realtime.roblox.com
104.69.13.228,clientsettingscdn.roblox.com
128.116.112.44,ephemeralcounters.api.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
17.248.187.133,p62-keyvalueservice.icloud.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,api.roblox.com
20.36.218.208,presence-heartbeat.xboxlive.com
34.224.241.139,orgsync.com
128.116.112.44,thumbnails.roblox.com
128.116.112.44,abtesting.roblox.com
128.116.112.44,gameinternationalization.roblox.com
128.116.112.44,groups.roblox.com
13.107.21.200,platform.bing.com
128.116.112.44,api.roblox.com
128.116.112.44,assetdelivery.roblox.com
128.116.112.44,api.roblox.com
148.153.38.118,api.vc.bilibili.com
208.111.135.93,c1.rbxcdn.com
69.28.184.77,c7.rbxcdn.com
208.111.135.93,c4.rbxcdn.com
96.17.64.11,settings-ssl.xboxlive.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
20.36.218.63,settings.data.microsoft.com
173.194.68.109,smtp.gmail.com
173.194.68.109,smtp.gmail.com
13.107.3.128,config.edge.skype.com
52.109.88.34,nexusrules.officeapps.live.com
52.109.88.34,nexusrules.officeapps.live.com
52.179.129.229,arc.msn.com
52.41.52.138,cn.ekg.riotgames.com
172.217.10.10,chat-pa.clients6.google.com
31.13.66.35,www.facebook.com
31.13.66.35,www.facebook.com
31.13.66.35,www.facebook.com
31.13.66.35,www.facebook.com
37.157.4.28,adx.adform.net
40.121.3.131,wdcp.microsoft.com
17.142.169.199,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
128.116.112.44,users.roblox.com
13.107.5.91,www.xboxab.com
31.13.66.35,www.facebook.com
35.186.224.53,spclient.wg.spotify.com
162.247.242.21,bam.nr-data.net
34.224.241.139,orgsync.com
104.244.42.2,api.twitter.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
99.84.112.85,d3cv4a9a9wh0bt.cloudfront.net
52.0.113.44,datarouter-prod.ak.epicgames.com
35.186.224.53,spclient.wg.spotify.com
8.36.80.215,events.gfe.nvidia.com
172.217.9.246,i.ytimg.com
172.217.12.161,yt3.ggpht.com
172.217.3.99,www.gstatic.com
74.125.172.44,r6---sn-ab5szn7l.googlevideo.com
74.125.172.44,r6---sn-ab5szn7l.googlevideo.com
172.217.11.42,safebrowsing.googleapis.com
23.192.75.231,api.steampowered.com
85.195.119.219,prod-02.escapefromtarkov.com
128.116.112.44,users.roblox.com
52.45.246.242,update.avastbrowser.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
24.105.29.76,telemetry-in.battle.net
128.116.112.44,ephemeralcounters.api.roblox.com
172.217.10.67,www.gstatic.com
173.194.61.44,r6---sn-ab5szne7.googlevideo.com
23.194.68.219,download.lenovo.com
104.196.12.179,eg.poly.edu
172.217.3.106,play.googleapis.com
52.179.129.229,arc.msn.com
35.186.224.47,dealer.spotify.com
17.248.187.9,gateway-carry.icloud.com
173.194.185.103,r1---sn-ab5sznle.googlevideo.com
173.194.185.103,r1---sn-ab5sznle.googlevideo.com
94.130.23.95,w2g-mtrx.watch2gether.com
40.90.22.192,login.live.com
151.101.2.49,opps.taboola.com
104.244.37.20,dt.adsafeprotected.com
172.217.10.133,inbox.google.com
23.40.30.102,xp.apple.com
23.43.56.25,play.itunes.apple.com
52.109.120.21,nexus.officeapps.live.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.7.10,chat-pa.clients6.google.com
172.217.9.229,mail.google.com
8.36.80.192,events.gfe.nvidia.com
52.190.240.132,steamcloudlrsuswest.blob.core.windows.net
172.217.11.16,steamcloud-us-west1.storage.googleapis.com
52.202.15.112,autohdvideoapi.com
172.217.197.189,6.client-channel.google.com
172.217.10.240,steamcloud-us-east1.storage.googleapis.com
104.196.12.179,eg.poly.edu
52.114.128.43,browser.pipe.aria.microsoft.com
20.150.50.4,steamclouduseast2.blob.core.windows.net
40.90.22.183,login.live.com
13.107.3.128,edge.skype.com
52.114.142.67,api.asm.skype.com
52.114.77.28,prod.registrar.skype.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
128.116.112.44,assetdelivery.roblox.com
69.28.184.77,c3.rbxcdn.com
18.211.148.148,nummus.robinhood.com
172.217.7.10,semanticlocation-pa.googleapis.com
34.206.107.202,crumbs.robinhood.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
17.248.135.74,gateway.icloud.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
172.217.10.130,googleads.g.doubleclick.net
20.36.218.63,settings-win.data.microsoft.com
13.107.3.128,config.edge.skype.com
172.253.122.108,imap.gmail.com
13.107.5.88,outlookmobile-office365-tas.msedge.net
172.217.9.234,www.googleapis.com
