172.217.12.130,securepubads.g.doubleclick.net
35.186.224.53,spclient.wg.spotify.com
172.253.63.188,mtalk.google.com
172.217.7.2,pagead2.googlesyndication.com
20.190.135.56,graph.microsoft.com
172.217.7.2,pagead2.googlesyndication.com
35.186.224.25,adeventtracker.spotify.com
172.217.10.129,tpc.googlesyndication.com
172.217.19.99,csi.gstatic.com
13.107.42.12,bn1305.storage.live.com
52.114.128.9,mobile.pipe.aria.microsoft.com
40.77.224.11,skydrivesync.policies.live.net
52.239.150.170,onedriveclucproddm20001.blob.core.windows.net
35.186.224.53,spclient.wg.spotify.com
20.36.219.28,activity.windows.com
134.170.179.106,xsts.auth.xboxlive.com
23.192.75.231,api.steampowered.com
23.43.56.96,steamcommunity-a.akamaihd.net
20.36.244.137,title.mgt.xboxlive.com
20.36.218.208,presence-heartbeat.xboxlive.com
20.36.218.208,presence-heartbeat.xboxlive.com
162.159.129.233,discordapp.com
13.107.42.12,bn1305.storage.live.com
13.107.42.12,api.onedrive.com
23.38.167.33,steamcdn-a.akamaihd.net
13.107.42.12,bn1305.storage.live.com
148.153.64.18,cm.bilibili.com
52.177.166.224,skydrive.wns.windows.com
13.107.42.12,bn1305.storage.live.com
13.107.42.12,bn1305.storage.live.com
23.48.215.219,static.nvidiagrid.net
52.34.151.122,api-mifit-us.huami.com
13.88.23.8,checkappexec.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.114.88.21,self.events.data.microsoft.com
52.114.88.21,self.events.data.microsoft.com
17.248.135.82,p11-caldav.icloud.com
52.2.255.246,orgsync.com
17.248.135.82,p11-caldav.icloud.com
23.48.215.219,static.nvidiagrid.net
8.36.80.244,events.gfe.nvidia.com
164.52.34.38,data.bilibili.com
8.36.80.215,events.gfe.nvidia.com
148.153.64.18,api.bilibili.com
35.186.224.47,dealer.spotify.com
128.116.112.44,users.roblox.com
148.153.38.118,api.vc.bilibili.com
128.116.112.44,presence.roblox.com
52.114.74.43,v20.events.data.microsoft.com
52.179.129.229,arc.msn.com
128.238.155.11,128.238.155.11
52.114.36.3,v10.events.data.microsoft.com
128.238.155.11,128.238.155.11
104.244.42.1,twitter.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
192.16.31.139,www.dota2.com
192.16.31.139,www.dota2.com
192.16.31.139,www.dota2.com
23.43.56.88,steamuserimages-a.akamaihd.net
20.36.218.63,settings-win.data.microsoft.com
52.114.76.34,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
54.243.120.80,tracking.overwolf.com
54.243.120.80,tracking.overwolf.com
166.88.21.181,api.stratz.com
162.159.135.233,discordapp.com
172.217.10.234,safebrowsing.googleapis.com
172.217.10.37,mail.google.com
13.88.23.8,checkappexec.microsoft.com
162.159.130.232,media.discordapp.net
128.116.112.44,users.roblox.com
17.57.144.9,courier.push.apple.com
23.193.216.119,iphone-ld.apple.com
148.153.64.18,api.bilibili.com
17.248.187.144,p42-keyvalueservice.icloud.com
13.68.93.109,slscr.update.microsoft.com
35.186.224.53,spclient.wg.spotify.com
23.194.121.23,gspe1-ssl.ls.apple.com
172.253.122.188,mtalk.google.com
52.114.75.150,v10.events.data.microsoft.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
148.153.64.18,message.bilibili.com
64.233.186.94,beacons2.gvt2.com
85.195.119.219,prod-02.escapefromtarkov.com
8.36.80.244,events.gfe.nvidia.com
130.211.16.53,d.joinhoney.com
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
185.199.108.153,darkreader.github.io
172.217.12.202,fonts.googleapis.com
172.217.6.205,accounts.google.com
3.234.115.12,sstats.adobe.com
172.217.12.170,www.googleapis.com
185.199.111.153,darkreader.org
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
130.211.26.229,s.joinhoney.com
52.6.10.250,auth.grammarly.com
172.217.12.142,www.google-analytics.com
3.214.204.44,data.grammarly.com
54.236.84.111,f-log-extension.grammarly.io
17.57.144.164,courier.push.apple.com
54.246.111.145,a.wunderlist.com
23.47.147.57,gspe35-ssl.ls.apple.com
17.167.192.94,gsp85-ssl.ls.apple.com
172.217.10.10,googlehomefoyer-pa.googleapis.com
54.217.231.170,avatars.wunderlist.io
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.12.163,clientservices.googleapis.com
8.36.80.244,events.gfe.nvidia.com
172.217.10.46,docs.google.com
17.142.169.199,gsp64-ssl.ls.apple.com
172.217.11.36,www.google.com
17.248.135.12,gateway.icloud.com
66.163.35.36,sec-tws-prod-vip.webex.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.193,lh3.googleusercontent.com
172.217.6.200,ssl.google-analytics.com
54.243.120.80,tracking.overwolf.com
172.217.12.142,www.google-analytics.com
172.253.63.188,mtalk.google.com
172.217.3.99,www.gstatic.com
13.226.39.94,game-events-status.overwolf.com
54.243.68.36,api.overwolf.com
172.217.9.234,firebasestorage.googleapis.com
54.225.97.71,rewardsapi.overwolf.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
148.153.64.18,api.bilibili.com
35.186.197.135,app-analytics.snapchat.com
17.253.97.202,fides-pol.apple.com
172.217.9.234,firebasestorage.googleapis.com
52.2.255.246,orgsync.com
52.2.255.246,orgsync.com
172.217.12.174,calendar.google.com
13.225.212.57,slack.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
17.248.135.12,gateway.icloud.com
128.116.112.44,users.roblox.com
17.248.135.118,edge-085.usnyc.icloud-content.com
17.248.135.118,edge-085.usnyc.icloud-content.com
17.248.135.118,edge-085.usnyc.icloud-content.com
23.51.184.143,store.steampowered.com
17.253.97.202,fides-pol.apple.com
17.248.187.7,p42-content.icloud.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.253.97.206,fides-pol.apple.com
128.116.112.44,presence.roblox.com
52.114.75.150,v10.events.data.microsoft.com
192.229.173.16,ton.twimg.com
192.229.173.16,ton.twimg.com
52.179.129.229,arc.msn.com
17.253.97.206,fides-pol.apple.com
17.253.97.206,fides-pol.apple.com
17.253.97.206,fides-pol.apple.com
172.217.10.46,play.google.com
13.226.37.39,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.46,i9.ytimg.com
172.217.10.234,safebrowsing.googleapis.com
