104.196.12.179,eg.poly.edu
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.12.170,remotedesktop-pa.googleapis.com
40.90.22.189,login.live.com
172.217.7.14,play.google.com
216.98.55.11,static2.ubi.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
172.217.10.3,beacons5.gvt3.com
128.116.112.44,users.roblox.com
13.88.28.53,v10.events.data.microsoft.com
88.214.194.54,colossusssp.com
3.229.136.72,protected-by.clarium.io
72.21.91.41,cdn.revjet.com
72.21.91.41,cdn.revjet.com
34.194.140.102,magnetic.t.domdex.com
74.201.215.185,ads.revjet.com
185.167.164.42,c1.adform.net
72.21.91.41,cdn.revjet.com
216.223.26.44,pix.revjet.com
72.21.91.41,cdn.revjet.com
88.214.194.54,colossusssp.com
13.88.28.53,v10.events.data.microsoft.com
40.90.22.189,login.live.com
13.225.62.96,desktop.tidal.com
23.215.130.216,client-api.itunes.apple.com
23.48.20.53,apps.mzstatic.com
52.72.164.94,spocs.getpocket.com
23.193.216.83,getpocket.cdn.mozilla.net
52.179.129.229,arc.msn.com
172.217.12.142,www.google-analytics.com
107.23.97.250,auth.grammarly.com
52.200.53.54,data.grammarly.com
52.4.194.144,f-log-extension.grammarly.io
34.193.254.51,gnar.grammarly.com
5.62.44.229,analytics.ff.avast.com
34.234.17.59,www.fscta65w.com
34.234.17.59,www.fscta65w.com
173.222.100.177,www.zhihu.com
69.28.62.188,app-cdn.2q10.com
69.28.62.188,chassis-cdn.appcloudcdn.com
13.226.27.57,l9bjkkhaycw6f8f4.soundcloud.com
3.217.207.251,public-ubiservices.ubi.com
20.36.218.63,settings-win.data.microsoft.com
17.248.135.170,gateway-asset.icloud-content.com
104.27.138.150,epic7x.com
104.16.125.175,unpkg.com
151.139.128.10,cdn.intergi.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
13.226.39.123,cdn.pubguru.com
13.225.62.95,api-cache.blizzcon.com
23.194.120.195,api1.origin.com
20.36.218.63,settings-win.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
13.107.3.128,config.edge.skype.com
23.194.120.77,r4.res.office365.com
40.100.174.2,c4661cfe8cc04a5cbb5af2ebab9d7524.fp.measure.office.com
40.97.190.18,acdc-direct.office.com
13.107.18.11,outlook.office.com
13.107.6.163,upload.fp.measure.office.com
35.241.52.229,cdp.cloud.unity3d.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
40.90.22.187,login.live.com
172.253.122.109,imap.gmail.com
128.116.112.44,users.roblox.com
85.195.119.219,prod-02.escapefromtarkov.com
148.153.38.118,message.bilibili.com
172.217.10.234,safebrowsing.googleapis.com
13.225.62.105,slack.com
134.209.129.254,e.serverbid.com
88.214.194.64,colossusssp.com
69.166.1.15,apex.go.sonobi.com
54.86.222.40,datarouter.ol.epicgames.com
185.167.164.42,c1.adform.net
172.217.6.238,clients6.google.com
31.13.66.19,external-iad3-1.xx.fbcdn.net
172.217.6.238,clients6.google.com
31.13.66.28,video-iad3-1.xx.fbcdn.net
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
31.13.66.19,scontent.xx.fbcdn.net
35.186.224.47,dealer.spotify.com
13.226.27.57,l9bjkkhaycw6f8f4.soundcloud.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
23.40.30.89,urlconfig.api.playstation.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.202,signaler-pa.clients6.google.com
172.217.12.202,signaler-pa.clients6.google.com
23.40.28.244,sn.api.np.km.playstation.net
23.192.79.73,fus01.ps4.update.playstation.net
23.194.120.19,fswitch.dl.playstation.net
172.217.3.100,www.google.com
52.11.213.215,api.accounts.firefox.com
52.39.207.76,profile.accounts.firefox.com
23.10.92.253,csla.np.community.playstation.net
23.192.76.227,rnps-crl.dl.playstation.net
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
23.194.120.19,fswitch.dl.playstation.net
23.192.79.73,fus01.ps4.update.playstation.net
23.192.12.155,friends.rnps.dl.playstation.net
23.194.120.246,static-resource.np.community.playstation.net
