104.17.209.9,api.golinkapi.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
3.227.62.15,pixel.adsafeprotected.com
104.244.39.20,dt.adsafeprotected.com
128.116.112.44,presence.roblox.com
128.116.112.44,users.roblox.com
23.23.43.12,datarouter.ol.epicgames.com
104.27.139.150,epic7x.com
104.16.125.175,unpkg.com
151.139.128.10,cdn.intergi.com
13.225.212.57,cdn.pubguru.com
172.217.12.202,home-devices.googleapis.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
172.217.6.238,clients6.google.com
172.217.6.238,clients6.google.com
50.17.6.49,river.data.ea.com
104.196.12.179,eg.poly.edu
13.68.92.143,ris.api.iris.microsoft.com
52.109.76.30,nexusrules.officeapps.live.com
104.244.39.20,dt.adsafeprotected.com
20.36.218.63,settings-win.data.microsoft.com
35.165.44.141,shavar.services.mozilla.com
35.186.224.53,spclient.wg.spotify.com
52.86.70.22,datarouter.ol.epicgames.com
128.116.112.44,users.roblox.com
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.196.193.148,receive-lp1.dg.srv.nintendo.net
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.35,www.facebook.com
130.211.16.53,d.joinhoney.com
172.217.6.234,googlehomefoyer-pa.googleapis.com
17.167.194.47,gsp85-ssl.ls.apple.com
52.72.195.128,river.data.ea.com
52.114.128.44,v10.events.data.microsoft.com
23.212.34.217,store.steampowered.com
23.194.131.219,resources.tidal.com
172.217.9.238,www.youtube.com
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
172.217.10.22,i.ytimg.com
172.217.10.78,translate.google.com
172.217.3.106,translate.googleapis.com
172.217.12.161,yt3.ggpht.com
134.209.131.220,e.serverbid.com
172.217.6.193,lh3.googleusercontent.com
69.166.1.15,apex.go.sonobi.com
69.166.1.15,apex.go.sonobi.com
5.62.44.161,uib.ff.avast.com
172.217.3.106,android.googleapis.com
104.244.39.20,dt.adsafeprotected.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.193,twitter.com
20.36.218.63,settings-win.data.microsoft.com
59.111.239.61,httpdns.n.netease.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
173.194.61.9,r3---sn-ab5szn7r.googlevideo.com
173.194.61.9,r3---sn-ab5szn7r.googlevideo.com
128.116.112.44,users.roblox.com
52.72.195.128,river.data.ea.com
52.179.129.229,arc.msn.com
31.13.66.35,www.facebook.com
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.25,login5.spotify.com
35.186.224.53,spclient.wg.spotify.com
172.217.11.16,steamcloud-us-east1.storage.googleapis.com
17.167.192.128,gs-loc.apple.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
172.217.10.48,steamcloud-us-west1.storage.googleapis.com
