172.217.9.228,www.google.com
20.36.219.28,activity.windows.com
40.126.2.39,login.windows.net
40.90.136.163,storage.live.com
20.38.122.228,onedriveclubproddm20027.blob.core.windows.net
172.217.7.3,update.googleapis.com
172.217.6.234,safebrowsing.googleapis.com
3.228.241.16,datarouter.ol.epicgames.com
103.235.46.191,hm.baidu.com
120.55.238.118,1361514.s2.udesk.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
47.246.17.232,assets-cli.s2.udesk.cn
47.101.18.10,stats.hanmaker.com
216.165.47.16,shibboleth.nyu.edu
47.101.18.10,stats.hanmaker.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
172.217.11.14,encrypted-tbn0.gstatic.com
172.217.11.14,encrypted-tbn0.gstatic.com
172.217.11.14,encrypted-tbn0.gstatic.com
172.217.11.14,encrypted-tbn0.gstatic.com
172.217.11.14,encrypted-tbn0.gstatic.com
172.217.11.14,encrypted-tbn0.gstatic.com
216.165.47.12,www.nyu.edu
47.101.43.130,basevistor.s2.udesk.cn
47.101.43.130,basevistor.s2.udesk.cn
128.116.112.44,users.roblox.com
104.244.42.193,twitter.com
103.235.46.191,hm.baidu.com
34.198.169.36,dora.robinhood.com
148.153.64.18,api.vc.bilibili.com
172.217.10.110,sb-ssl.google.com
34.224.241.139,orgsync.com
34.224.241.139,orgsync.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
69.166.1.15,apex.go.sonobi.com
165.227.252.242,e.serverbid.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
68.67.179.89,nym1-ib.adnxs.com
68.67.179.89,nym1-ib.adnxs.com
185.167.164.49,c1.adform.net
68.67.179.89,ib.adnxs.com
172.217.9.229,mail.google.com
216.52.49.13,app.avention.com
52.41.38.113,ekg.riotgames.com
34.224.241.139,orgsync.com
162.159.130.233,cdn.discordapp.com
34.236.168.109,fls-na.amazon.com
13.225.57.191,www.amazon.com
128.116.112.44,users.roblox.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.249.105.246,api.smoot.apple.com
8.36.80.236,events.gfe.nvidia.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
104.16.3.92,na.ledge.leagueoflegends.com
52.41.38.113,ekg.riotgames.com
23.40.30.102,xp.apple.com
216.52.49.13,app.avention.com
23.43.56.211,play.itunes.apple.com
52.179.129.229,arc.msn.com
104.16.35.99,playerpreferences.riotgames.com
13.249.43.37,www.chegg.com
151.101.0.194,www.strawpoll.me
52.41.38.113,ekg.riotgames.com
13.226.39.27,slack.com
24.105.29.76,telemetry-in.battle.net
54.243.120.80,tracking.overwolf.com
216.239.38.21,api-lp1.znc.srv.nintendo.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.54.160.40,steambroadcast.akamaized.net
52.41.38.113,ekg.riotgames.com
17.248.187.196,gateway.icloud.com.cn
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
52.168.20.22,client.teamviewer.com
157.185.163.114,p2.music.126.net
157.185.163.114,p2.music.126.net
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
35.186.224.47,dealer.spotify.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
65.55.44.109,vortex.data.microsoft.com
40.71.12.231,dc.services.visualstudio.com
128.116.112.44,users.roblox.com
31.13.66.19,scontent.xx.fbcdn.net
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.179.89,nym1-ib.adnxs.com
68.67.179.89,nym1-ib.adnxs.com
185.167.164.49,c1.adform.net
172.217.10.42,signaler-pa.clients6.google.com
68.67.179.89,ib.adnxs.com
162.247.242.20,bam.nr-data.net
104.196.12.179,eg.poly.edu
216.52.49.13,app.avention.com
216.165.46.10,newclasses.nyu.edu
222.186.35.81,message.bilibili.com
172.217.12.202,play.googleapis.com
172.217.6.205,accounts.google.com
216.165.47.16,login.nyu.edu
216.165.47.16,shibboleth.nyu.edu
23.194.120.30,configuration.apple.com
34.68.125.225,rpc.znly.co
17.134.127.249,gs-loc.apple.com
222.186.35.81,message.bilibili.com
104.26.15.9,counter.timegate.vip
72.21.81.200,az667904.vo.msecnd.net
54.239.31.63,feed.browserapps.amazon.com
172.217.10.138,remotedesktop-pa.googleapis.com
172.217.10.138,remotedesktop-pa.googleapis.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
104.17.148.7,wikibuy.com
104.17.148.7,site.wikibuy.com
52.109.120.22,nexus.officeapps.live.com
104.17.189.102,files.ivaws.com
216.165.47.12,www.nyu.edu
24.105.29.76,telemetry-in.battle.net
216.165.47.16,shibboleth.nyu.edu
80.249.164.218,hss2.dnvodcdn.me
65.55.44.109,vortex.data.microsoft.com
172.217.10.74,wirelessdevicestats.googleapis.com
172.217.10.74,wirelessdevicestats.googleapis.com
34.198.166.64,prd-collector-anon.playbuzz.com
40.67.188.15,presence-heartbeat.xboxlive.com
176.9.120.167,api.fs-studios.com
104.196.12.179,eg.poly.edu
31.13.66.28,video.xx.fbcdn.net
151.101.250.214,api.twitch.tv
52.179.129.229,arc.msn.com
104.26.15.9,key.timegate.vip
52.114.32.24,v10.events.data.microsoft.com
17.248.135.113,gateway.icloud.com
17.248.135.209,gateway.icloud.com
17.248.135.10,gateway.icloud.com
13.226.39.48,api-cache.blizzcon.com
20.36.218.63,settings-win.data.microsoft.com
23.98.151.170,checkappexec.microsoft.com
203.205.255.248,q2.qlogo.cn
13.68.92.143,ris.api.iris.microsoft.com
34.226.151.95,play.hulu.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
24.105.29.76,telemetry-in.battle.net
20.36.218.63,settings-win.data.microsoft.com
52.114.77.34,self.events.data.microsoft.com
52.114.132.73,v20.events.data.microsoft.com
128.1.102.21,sqimg.qq.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
208.91.159.11,p.hulu.com
3.132.110.231,rtr.innovid.com
52.204.121.209,i79zj-tzyj9.ads.tremorhub.com
52.2.255.246,orgsync.com
52.2.255.246,orgsync.com
107.21.1.140,home.hulu.com
172.217.10.46,play.google.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
