31.13.65.7,scontent-atl3-1.xx.fbcdn.net
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
150.109.206.96,dlied1.qq.com
35.161.179.71,ekg.riotgames.com
52.1.232.25,pxl.iqm.com
13.225.62.30,content.overwolf.com
68.67.179.165,nym1-ib.adnxs.com
13.225.62.30,content.overwolf.com
31.13.66.35,www.facebook.com
68.67.179.165,nym1-ib.adnxs.com
185.167.164.51,c1.adform.net
68.67.179.166,ib.adnxs.com
154.8.131.191,mqtt-web.zhihu.com
52.204.121.209,bktr2-06hdl.ads.tremorhub.com
52.204.121.209,bktr2-06hdl.ads.tremorhub.com
35.164.116.34,ekg.riotgames.com
192.35.249.111,event.spotxchange.com
52.1.232.25,pxl.iqm.com
52.39.13.177,ps4updptl.us.np.community.playstation.net
104.107.53.36,sb.scorecardresearch.com
172.253.122.108,imap.gmail.com
172.217.11.19,cloud.bluestacks.com
162.159.129.233,discordapp.com
172.253.122.108,imap.gmail.com
35.161.182.116,video-edge-eff325.pdx01.abs.hls.ttvnw.net
13.225.62.49,errors.figma.com
13.225.212.90,static.figma.com
52.87.63.98,prd-collector-anon.playbuzz.com
52.34.208.16,ekg.riotgames.com
3.91.171.221,kinesis.us-east-1.amazonaws.com
52.109.20.3,officeclient.microsoft.com
52.109.20.3,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
35.186.224.53,api.spotify.com
52.109.4.5,mrodevicemgr.officeapps.live.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
35.186.224.47,dealer.spotify.com
52.88.194.44,www.figma.com
204.79.197.200,www.bing.com
35.186.224.53,spclient.wg.spotify.com
107.23.154.79,sentinel-desktop.twitchsvc.net
199.187.193.165,www9.smartadserver.com
128.116.112.44,users.roblox.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
54.165.228.255,premiumsrv.aniview.com
34.197.7.226,playbuzzmm.ads.tremorhub.com
54.236.157.166,s2s.aniview.com
199.187.193.165,www9.smartadserver.com
199.187.193.165,www9.smartadserver.com
199.187.193.165,www9.smartadserver.com
199.187.193.165,www9.smartadserver.com
13.107.3.254,s-ring.msedge.net
13.107.246.10,fp-afd.azureedge.net
13.107.255.16,peer4-ash.msedge.net
13.107.6.254,b-ring.msedge.net
131.253.33.254,a-ring-fallback.msedge.net
20.45.71.249,1889c4c67d3cfdb1c2df86121c4a043c.clo.footprintdns.com
199.187.193.133,r-tmk.sascdn.com
199.187.193.133,r-tmk.sascdn.com
52.88.194.44,www.figma.com
13.107.6.163,ce938d7c7f342df1d2a21c4498f669a8.clo.footprintdns.com
111.221.29.40,fe3.delivery.mp.microsoft.com
13.225.212.90,static.figma.com
13.107.3.128,config.edge.skype.com
74.125.0.55,r1---sn-ab5l6nzr.c.2mdn.net
74.125.0.55,r1---sn-ab5l6nzr.c.2mdn.net
13.225.212.90,static.figma.com
23.218.107.187,fp-as.azureedge.net
23.194.122.10,px.moatads.com
3.230.35.253,p99nxpivfscyverz.me
13.225.64.158,d3cv4a9a9wh0bt.cloudfront.net
23.67.197.105,cp801.prod.do.dsp.mp.microsoft.com
