34.227.0.168,prd-collector-anon.playbuzz.com
68.67.153.61,prebid.adnxs.com
52.1.232.25,pxl.iqm.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
104.107.172.146,sb.scorecardresearch.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
170.76.216.244,usersync.videoamp.com
204.13.197.71,rb.adnxs.com
216.239.32.21,x.mdhv.io
170.76.216.244,usersync.videoamp.com
216.239.32.21,x.mdhv.io
52.202.73.177,vast.extremereach.io
52.22.235.223,playbuzzmm.ads.tremorhub.com
199.187.193.140,www9.smartadserver.com
199.187.193.140,www9.smartadserver.com
199.187.193.140,www9.smartadserver.com
172.217.12.206,img.youtube.com
23.43.57.56,steamuserimages-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.40.29.175,bcat-list-lp1.cdn.nintendo.net
13.225.62.128,cdn1.extremereach.io
13.226.39.31,content.overwolf.com
107.21.10.81,track1.aniview.com
23.194.122.10,px.moatads.com
23.194.122.10,px.moatads.com
192.35.249.124,iad02-search.spotxchange.com
3.216.33.209,beacons.extremereach.io
148.153.38.118,api.vc.bilibili.com
151.101.250.248,i.scdn.co
35.244.186.129,u.openx.net
130.211.115.4,data.ad-score.com
54.164.251.147,adrta.com
192.35.249.112,event.spotxchange.com
34.226.29.7,beacon.krxd.net
192.35.249.112,iad02-event.spotxchange.com
35.160.15.72,ekg.riotgames.com
23.10.89.229,tags.bluekai.com
147.75.39.192,loadm.exelator.com
170.76.216.244,usersync.videoamp.com
34.192.85.74,dpm.demdex.net
130.211.115.4,data.ad-score.com
35.190.72.21,idsync.rlcdn.com
23.10.89.229,tags.bluekai.com
204.2.197.201,idpix.media6degrees.com
54.164.251.147,adrta.com
172.217.12.194,cm.g.doubleclick.net
172.217.10.110,fcmatch.google.com
151.139.128.10,cdn.intergi.com
172.217.10.142,fcmatch.youtube.com
104.36.115.111,hbopenbid.pubmatic.com
18.235.125.177,bktr2-06hdl.ads.tremorhub.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.194.120.30,sync.itunes.apple.com
130.211.115.4,data.ad-score.com
199.187.193.165,www9.smartadserver.com
23.194.120.30,init.itunes.apple.com
18.235.25.252,t.myvisualiq.net
52.109.12.20,nexusrules.officeapps.live.com
23.43.56.217,client-api.itunes.apple.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
151.101.0.133,raw.githubusercontent.com
23.194.120.30,init.itunes.apple.com
107.21.10.81,track1.aniview.com
23.40.30.102,xp.apple.com
184.27.177.200,sb.scorecardresearch.com
162.159.134.233,cdn.discordapp.com
52.1.232.25,pxl.iqm.com
17.174.1.5,guzzoni.apple.com
172.217.197.108,imap.gmail.com
54.165.228.255,premiumsrv.aniview.com
3.91.171.220,kinesis.us-east-1.amazonaws.com
216.239.32.21,x.mdhv.io
18.235.125.177,bktr2-06hdl.ads.tremorhub.com
192.35.249.112,event.spotxchange.com
170.76.216.244,usersync.videoamp.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
104.107.172.146,sb.scorecardresearch.com
104.107.172.146,sb.scorecardresearch.com
104.107.172.146,sb.scorecardresearch.com
