88.198.10.10,easylist-downloads.adblockplus.org
173.194.123.98,apis.google.com
216.58.219.237,accounts.google.com
173.194.123.108,oauth.googleusercontent.com
173.194.123.111,ssl.gstatic.com
23.65.243.33,s-static.ak.facebook.com
173.252.110.27,www.facebook.com
91.189.89.22,videosearch.ubuntu.com
91.189.89.22,videosearch.ubuntu.com
173.194.123.78,safebrowsing.google.com
173.194.123.64,safebrowsing-cache.google.com
173.252.110.27,www.facebook.com
173.252.120.6,facebook.com
209.148.205.26,fbstatic-a.akamaihd.net
209.148.205.26,fbstatic-a.akamaihd.net
24.156.140.33,fbcdn-profile-a.akamaihd.net
209.148.205.26,fbstatic-a.akamaihd.net
209.148.205.26,fbstatic-a.akamaihd.net
209.148.205.26,fbstatic-a.akamaihd.net
